Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,NEWTS
47,9.513636935813194,17.201321083430503,16.784053395060617,16.403388213856445
48,9.645745967850544,17.790145652936108,17.065968032691153,16.69302891942117
49,9.693196223830336,18.050722037983938,17.398571922346676,16.97518372244989
50,9.82530915718181,18.336810538290717,17.83055096000515,17.29774079217607
51,9.914270988960839,18.46253124544148,18.031977905862092,17.506918055694864
52,10.111106590296387,18.66119952749857,18.382303109977904,17.86716334739382
53,10.216067463220115,18.89265054274799,18.693940447166305,18.208275403772824
54,10.39522246197246,19.144835792457894,19.0177388342791,18.493792795735576
55,10.556613442285533,19.39313336134662,19.277575266446217,18.756126428271614
56,10.71326659852377,19.601320409413656,19.734883729606842,19.074205643396127
57,10.808271837993713,19.847616422852617,20.018679135676965,19.43854520955589
58,10.919860695851657,20.122016869540424,20.21754501733979,19.805909646473253
59,11.063165456714986,20.36814753960666,20.59698205520671,20.047444630059083
60,11.213589310597463,20.61224124638354,20.86201846587135,20.350095636451368
61,11.325257153094821,20.890598722679464,21.08819381665448,20.58155246851133
62,11.407428607820346,21.215653303411138,21.323887436730853,20.823364728839216
63,11.504008301991153,21.51155513632071,21.743993421483115,21.139538367386738
64,11.62037219829536,21.827331963582402,22.13164953805543,21.443137590651933
65,11.688574067930755,22.080380979307414,22.45109375104304,21.670706570548123
66,11.826872695356247,22.472155166124782,22.77647032440435,21.964702665304664
67,11.883647846588003,22.814949209553987,23.0177289853467,22.152532580317956
68,12.00109420630254,23.21601760585626,23.398595450506797,22.383117607196265
69,12.064554842002881,23.645735573480824,23.644286786455158,22.6180292036562
70,12.13857934042294,24.03440996599262,23.885799797072465,22.81367395295662
71,12.217585143963763,24.27048987421384,24.187504046075162,23.262915482363063
72,12.371907616682986,24.62278976577301,24.560989774956322,23.578480119783315
73,12.466194764273617,24.916971152201747,24.761091955172578,23.785036491475346
74,12.554923289136983,25.19257373347983,25.041639251505565,24.108277124950824
75,12.73968621757751,25.55637903865866,25.285946953580613,24.354105599664294
76,12.848706224714789,25.853682030542586,25.624001642288267,24.62763319889809
77,12.92489988216212,26.236543018257215,25.829992281672883,24.890234594865046
78,12.979009529573839,26.43913446949344,26.1405777167975,25.174270309393343
79,13.15555340423301,26.79353962608417,26.408387007859602,25.561870561817663
80,13.186091216232537,27.176747422287992,26.620072030401992,25.876798057184782
81,13.221951405676265,27.361391428112665,26.913931965683325,26.205155305370276
82,13.25691037011011,27.834745028719045,27.259662408275506,26.508638860014365
83,13.43656276468183,28.069044485017752,27.488473609149203,26.7279025232972
84,13.551061309180023,28.3530519042691,27.747114548756166,26.996451325221535
85,13.606482797663912,28.665262057063995,27.920256844706415,27.26949416598351
86,13.637819415199768,29.006910848310447,28.247295990026657,27.62130864426918
87,13.688967037641095,29.42571996969725,28.523090014827215,27.88775093845976
88,13.721618071339373,29.63039779484051,28.731930475970266,28.115871471595142
89,13.745768389681043,29.97444570492309,28.904035093685273,28.29088560191918
90,13.955240187555512,30.282001939067317,29.17400665812619,28.430427983687245
91,14.123601154089991,30.565505008530124,29.56262306753548,28.713655977871305
92,14.27393727533711,30.822303421402,29.76386003508399,28.967352833284213
93,14.452845867004934,31.141893409894777,30.00687294544299,29.130033291235122
94,14.561270381726496,31.253629459510982,30.110872443349145,29.381642279804645
95,14.718492135326946,31.634259126647425,30.417954998936516,29.74628804358631
96,14.837611910012964,32.065248137097306,30.651015682039674,29.97704933642163
97,14.963274599438199,32.333127073241336,30.90413488154623,30.252458338563475
98,15.070036009995842,32.63195636229801,31.223533557781604,30.502280062892225
99,15.25457143062484,33.01376429117493,31.413867705632356,30.722493420240376
100,15.341034468956096,33.311034121662786,31.755493289358714,30.946230323922258
101,15.426733028013487,33.59524504669314,31.968948836529357,31.16961133780677
102,15.484309366041876,33.83146085492595,32.28126143834252,31.44388126922238
103,15.553617436457333,34.0684302470649,32.44659730371879,31.59058356128698
104,15.616246293397307,34.3790388200139,32.745443804264,31.737442535153253
105,15.62688247382476,34.700439803560975,32.95191175085169,31.889543969638083
106,15.63751865425221,34.97994484568686,33.218182815310435,32.177720026064875
107,15.7426927085411,35.32649027296391,33.50449891154979,32.41054488468962
108,15.810207284070534,35.65252491234309,33.63129887682,32.613868395565504
109,15.820843464497987,35.951578494614424,33.8769100787599,32.840503659902446
110,15.948555330589333,36.25382033320967,34.124526990799794,32.94327815986005
111,16.02641692299309,36.49832319025436,34.316288650743196,33.234357158611516
112,16.088521265236125,36.78422292153249,34.631120800376706,33.3771862102224
113,16.21894379135242,37.107004519220865,34.90974605112526,33.687486451562975
114,16.27000185417203,37.37036417567519,35.17219346377317,33.910287753606994
115,16.322502267184873,37.61193115880574,35.40494824056355,33.97903046286929
116,16.406688150071243,38.01170240170181,35.553297725903576,34.13403270628042
117,16.482851676341063,38.354887263016906,35.798718886144904,34.41331448584388
118,16.493487856768514,38.745158478954394,35.99459643007458,34.60448296931988
119,16.513415311216235,39.07882210431005,36.12980236579109,34.7183477605437
120,16.548969074228268,39.393180688259136,36.32086527300818,34.908730422031645
121,16.622321154094944,39.645583093132174,36.654611672056106,35.101580292526165
122,16.632957334522395,39.99349183362506,36.76064868225159,35.312277739665866
123,16.67245512550938,40.34796767400815,36.87950646445894,35.48440438889054
124,16.77123491443253,40.61440567764603,37.10164925396749,35.645559915349814
125,16.8353505477018,41.006876593353205,37.266347891116794,35.83307226933794
126,16.845986728129255,41.23421077502665,37.48412387499183,35.88889614109381
127,16.88970950193108,41.53656147084065,37.748956142019566,36.03479521642953
128,16.909321907144857,41.75527056255542,37.941230069660016,36.14357068617136
129,17.00432567045345,42.01999124569357,38.2003764276803,36.29338099370742
130,17.106221550012503,42.273157208579136,38.43699643200044,36.36610716701585
131,17.168836869303462,42.53178067077104,38.70040786629495,36.60556796313697
132,17.247076137700553,42.74537894970025,38.83557178261661,36.71135076636885
133,17.29131834472619,42.98478689265046,38.967576799237236,36.88145432435566
134,17.35634824993989,43.31675953626868,39.23051798233111,36.99538581507694
135,17.377382074538303,43.65698325062668,39.35168369288827,37.15211241983541
136,17.3857355153921,43.95843015985196,39.668964067022586,37.31141094789446
137,17.394088956245895,44.29801710064572,39.74436640075338,37.548086364989395
138,17.45183590169822,44.54997903672958,40.02932571029393,37.828637917858984
139,17.590419490493883,44.94838481434438,40.246352858780014,38.0463851727817
140,17.64489073121606,45.2841322008775,40.464808632395,38.19014921313259
141,17.707802192062573,45.39831163350213,40.64587285498453,38.3332493617039
142,17.80887001689381,45.68048889897058,40.82359402456311,38.44568989887263
143,17.916454578843254,45.95100095103035,41.00039624058842,38.57663505194871
144,17.999442937218536,46.2600946437891,41.2456860661626,38.721766321330804
145,18.048406141330116,46.58880122075759,41.398213369591204,38.815917332501655
146,18.147058673680036,46.85512820702216,41.544512443964926,38.97192900079443
147,18.21799179877968,47.26205300498819,41.78563897256215,39.055243860264156
148,18.30237335985129,47.58713509047142,41.91350133081782,39.196135437986456
149,18.310726800705087,47.81455348271876,42.20960393837571,39.33202397143863
150,18.363562291074427,48.073975511495306,42.45226810576118,39.39959138511527
151,18.480856041400717,48.25014471304376,42.699549074761826,39.514804541919375
152,18.570239308712384,48.6030107926523,42.83505565754765,39.69898045962961
153,18.631080307432136,49.084500993503795,43.06249358403122,39.77236326490537
154,18.766334435413505,49.319155659355175,43.23405619333488,39.91311292476986
155,18.886468659222885,49.546694728201146,43.385019390889894,40.0195789652462
156,18.945042425785164,49.963563075400664,43.63556195659221,40.10813423169956
157,19.070288099692593,50.27623729294555,43.875252214250736,40.28422450574071
158,19.18545693014071,50.55944933570981,44.00264878965768,40.41184475771537
159,19.2682461714542,50.750553869672196,44.19853172524275,40.51123034253366
160,19.359193829582754,51.107833625404886,44.33716548428056,40.66947633636961
161,19.452074772593612,51.34831439574943,44.498221939035105,40.8129566722446
162,19.45237705816214,51.48243380560393,44.69697216331994,40.909595315764534
163,19.513840202555997,51.79711729645834,44.81893271730916,41.1092591918754
164,19.60888638598731,52.003921126147965,44.988421859566856,41.2097876971297
165,19.711899539605707,52.40684456179575,45.14900099672802,41.337247421423136
166,19.771721142275087,52.65715341806548,45.2472794082128,41.51865739046892
167,19.780074583128883,52.985423033363816,45.3700411199876,41.59716285294833
168,19.926781156756107,53.227181887533504,45.40002423753064,41.68074797598187
169,20.00947739671335,53.50743103490203,45.528789932801494,41.81999112040697
170,20.02616937097533,53.8524861887935,45.73199433414786,41.92297314123547
171,20.034522811829127,54.22875835974967,45.97020465240668,41.98246691733833
172,20.19433390300375,54.505339423056796,46.04088995168716,42.0939807747491
173,20.21942023702249,54.75290705847202,46.112998086609345,42.24969022426997
174,20.267355544442175,54.963399638099034,46.311605027489705,42.396788775923795
175,20.522511205591343,55.32082408567402,46.487576077638245,42.59218385172811
176,20.597787772852918,55.55815739441606,46.60931708291884,42.64828069821097
177,20.679883138369085,55.94267246847054,46.70162119429682,42.73546953851526
178,20.75636530270838,56.25185866586405,46.97351626521234,42.82373267896868
179,20.764416457993647,56.49516972454173,47.225275258434806,42.90053059404697
180,20.82709773057581,56.76110735487632,47.300729229102465,43.00114142804547
181,20.85397985371643,56.99067124553026,47.34097854821568,43.16095922934536
182,21.023138113682936,57.41218336707262,47.52974463232425,43.258144399646554
183,21.07758112151325,57.709115503453994,47.69786775417488,43.31127918416379
184,21.103490394853445,57.95607800647239,47.70925720182902,43.3989981565432
185,21.136524994305525,58.13454498280512,47.90947534427637,43.50895972829589
186,21.155744679224096,58.38937758744837,47.97176125288777,43.58320780081412
187,21.227268935597156,58.797014870437486,48.05738169288911,43.77602644682781
188,21.23532009088242,59.024671176513834,48.16754581560551,43.90782318819257
189,21.289911421854484,59.314439947246356,48.31496169776425,44.03794534788467
190,21.29796257713975,59.55351630650216,48.49816386403454,44.17032736784664
191,21.3765751428917,59.75629845448759,48.66164502909838,44.313820679941045
192,21.384626298176965,59.982394524876234,48.78103211665218,44.38968605845835
193,21.495389020820994,60.27867465730145,48.92255188625483,44.5039930083186
194,21.58398430678701,60.552117159657826,49.194544942949754,44.616615210597395
195,21.672328761864343,60.81886398372203,49.31646166005096,44.658464738747874
196,21.68037991714961,61.03549166430098,49.44880658398711,44.70782965154858
197,21.745309467536863,61.34567228011649,49.51740329169385,44.79579776311036
198,21.79054028189414,61.68732863675724,49.69102711162317,44.85277586517002
199,21.81577138194787,62.012555412184234,49.84887712412379,44.93326415906579
200,21.979502478870067,62.285641377654066,50.00058641304575,45.052656938256234
201,21.987553634155333,62.59850605860358,50.1782146827413,45.07435622789778
202,22.100594538180257,62.89163069232244,50.33061748291537,45.235431219419254
203,22.201671061598283,63.253973574968576,50.428100169718995,45.29815498712574
204,22.21896320178505,63.60956804845807,50.56326020449798,45.49551012217252
205,22.270746354030088,64.01146726058809,50.64169493316407,45.609119619946064
206,22.423716202938955,64.25244476025036,50.72544709710967,45.63653294119306
207,22.530663630103003,64.53222433135737,50.881677742751386,45.72214197103635
208,22.558917878710286,64.79109795098942,50.96699283389716,45.77033522827147
209,22.566969033995555,65.0221071660452,51.11595958421473,45.79015883341807
210,22.606979122431127,65.22228305751018,51.17908850932217,45.903947783829736
211,22.632394816394942,65.42620489604384,51.27256445492217,46.0425181346278
212,22.64044597168021,65.6429617041025,51.290343680633626,46.16185270891209
213,22.742103480907254,66.03067123001395,51.43222472536663,46.1868129723788
214,22.89588244556745,66.30235919403097,51.60980114941058,46.22493251663424
215,23.03714439838955,66.56401603325618,51.696446934444374,46.30194838581012
216,23.045195553674816,66.8916358761338,51.73743671162772,46.4012589136982
217,23.083809245703257,67.16997469129815,51.91656903545015,46.44782389494162
218,23.091860400988526,67.50277340070038,51.99199045941058,46.526310688981525
219,23.16531688283277,67.88677140397809,52.0191184601764,46.66389803551273
220,23.230069306821733,68.07871450272175,52.17111577297595,46.74818902193961
221,23.258465884636035,68.33687795123181,52.25308070154712,46.785460638934005
222,23.308767715055474,68.67105197674644,52.28339264391822,46.842283514409914
223,23.344958346199594,68.94775789514962,52.29412558399166,46.94436912172611
224,23.437086677318575,69.21706933694561,52.46421376540873,47.059090097987294
225,23.44513783260384,69.53332360770858,52.584224430948396,47.17800879834363
226,23.585026983589067,69.7016210259616,52.73306457950629,47.23901297387889
227,23.657015698556915,70.04186528626276,52.83664332581327,47.31978092820696
228,23.830557759017516,70.23370439350255,53.049044311750905,47.40719968520803
229,23.884340264098316,70.41033026920687,53.13674983676473,47.54181991405072
230,23.9723446953274,70.64907165775072,53.18116400082405,47.576154107548334
231,24.07982540264241,70.94610998160101,53.18237854202306,47.61970232364623
232,24.223950470359576,71.27680398229069,53.339761047026784,47.72209813905474
233,24.232001625644845,71.57652368756662,53.493048299064434,47.78376901029888
234,24.24005278093011,71.74574207686723,53.65108729988689,47.903644525918644
235,24.339869499077363,72.1081093648761,53.735940221530676,47.95188498502942
236,24.43810970678097,72.40761933248166,53.76777469255867,47.95423132178703
237,24.45076450534243,72.64798316460471,53.8449462665865,48.008064180082776
238,24.4588156606277,72.91950887171757,53.99070947836135,48.09825416998201
239,24.5997119727461,73.29429994611158,54.09846160889005,48.130319646641425
240,24.662393245328264,73.54371095795999,54.15947334501794,48.14644352128061
241,24.752281821451213,73.83825838451135,54.216703967640036,48.29355427805201
242,24.834768777196178,74.17140031863684,54.32593252580049,48.29988643192038
243,24.91728114551058,74.38438823715074,54.392055703453494,48.33034633085336
244,25.068172697565082,74.60331046014156,54.47135963478998,48.3371321352313
245,25.152664383387496,74.96235974825603,54.620436630056346,48.36587792095992
246,25.237156069209913,75.1324032057808,54.68589542984621,48.399230429525765
247,25.30257885083874,75.43786390271154,54.73880208143339,48.43024493181021
248,25.4030304863686,75.76944051973393,54.86135034477941,48.46804776952045
249,25.48582747825413,76.03733472119518,54.897296306243845,48.58599314590738
250,25.571938585849324,76.33461242973439,54.97589831893985,48.61363334626044
251,25.617677456219887,76.5741724201017,55.00544384120229,48.61393563182897
252,25.668974542034523,76.72062560333391,55.09017279438319,48.62813284234114
253,25.68358158990616,76.9296382228165,55.13988873021962,48.781770777287804
254,25.786310987642327,77.22172696069491,55.18109610627444,48.82620166845886
255,25.815710080722745,77.50241529711253,55.24598406717807,48.84833656009357
256,25.830547040385955,77.88907418541041,55.359119203185195,48.99555679781676
257,25.92963660319277,78.22419200265806,55.467269932575014,49.07553684142488
258,25.974595151929257,78.4150674239931,55.58952440960644,49.07705366819242
259,26.01150791777406,78.62012944563074,55.701463308087156,49.18300645425725
260,26.04163310204329,78.91363280127682,55.77695860191354,49.19100679983421
261,26.211121650503184,79.13314001550752,55.788074155697345,49.22472927967346
262,26.280446623244945,79.34298326870825,55.83692648147579,49.23197368917232
263,26.331743709059577,79.70200847782743,55.91238547058781,49.33472993662993
264,26.38509313050863,80.04557961291955,55.94953764635064,49.33503222219845
265,26.476548237475907,80.40110950437585,56.047256644767614,49.39343197837165
266,26.63680577751874,80.64360957834862,56.20653097730669,49.42187373979904
267,26.694624102830186,80.95048512373015,56.24561968723573,49.459047211928784
268,26.880805313110265,81.18741529267113,56.289084903568906,49.459349497497314
269,26.888856468395534,81.38815119175663,56.296837241510445,49.51475094620164
270,26.8969076236808,81.63962246238664,56.406227445639956,49.70509646470949
271,26.997486329621204,81.80379094544041,56.48175745260588,49.718207055848424
