Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit
449,39.45799861277119,41.103192328390136,18.150156017404917
0,0.4617065504994141,0.30364894479284654,0.30364894479284654
450,39.458401926669225,41.103192328390136,18.150156017404917
1,0.6994332245955596,0.6456848823316879,0.6597037966550461
451,39.46285289134816,41.11332373912828,18.150920894318265
2,1.09765638253629,1.0565986081683065,1.1535688553929138
3,1.5116023034253794,1.5246461693205529,1.6057135157143798
452,39.544852124961956,41.11332373912828,18.150920894318265
4,1.8114378436103629,1.8478378535100248,1.9370507434194948
453,39.58753014560852,41.12464774769513,18.158997296695002
5,1.9944668356991844,2.268511944133673,2.3398890886543136
454,39.70123329146652,41.12910215023065,18.164789306317076
6,2.30105973874774,2.6683374998275813,2.7876005362663614
455,39.70559123639448,41.131169383225874,18.169147251245043
7,2.4902105437923274,3.0600703931538584,3.1229543297720608
456,39.708821909424515,41.138602919474216,18.212677017826177
8,2.7756775430347496,3.5067940829252215,3.537883795203732
457,39.74007444252827,41.15025072177195,18.212729193447966
9,3.051378273558902,3.964034953204087,3.987412766228064
458,39.80710903300346,41.16580385393494,18.218811960016566
10,3.2181341142214053,4.464984116845818,4.365115501545278
459,39.849324795965536,41.16580385393494,18.227146860405462
11,3.476561562255477,4.7966451045295795,4.69925027106522
12,3.726162671051565,5.177743814652774,5.1844390768378075
460,39.85170666922003,41.1751244227013,18.229528733659954
461,39.889056103159064,41.17651145421914,18.24064083156437
13,3.95769017690088,5.580407013747827,5.628233670506763
462,39.89058191795317,41.17879287366645,18.24064083156437
14,4.179802064363215,5.929954052588735,5.994379060027659
15,4.439689459822278,6.365532322680684,6.385405662633299
463,40.00993791985847,41.17879287366645,18.252442801437194
16,4.61240797299973,6.779760674381192,6.755358552608318
464,40.11529349760166,41.1803522817517,18.253145164057464
17,4.804914309756043,7.146659921260456,7.105943527936789
465,40.13492289438843,41.19048369248985,18.26213815403097
18,5.089398046335559,7.424264481076989,7.458128557610232
466,40.22652062533814,41.19609785241923,18.280144406743275
19,5.293802496525335,7.834201298268866,7.799932410931364
467,40.226971811560006,41.19724105629856,18.280144406743275
20,5.529042878809622,8.24675070897712,8.195072533135075
21,5.727734370470973,8.709745704822485,8.677291167046029
468,40.28596803194363,41.20126330949091,18.282336221269933
469,40.290682354424334,41.211323887538825,18.29513373275315
22,5.874855705944272,9.134328736344209,8.987613546617796
470,40.399969000588484,41.211323887538825,18.29649860312811
23,6.153893985443218,9.545926130218655,9.366368808245838
471,40.48097582803088,41.211323887538825,18.29649860312811
24,6.220361547895976,9.912360296356082,9.602212724465689
472,40.48251152999808,41.211323887538825,18.308597047354674
25,6.515172894663101,10.283347468026353,9.795829747393292
26,6.635415675915228,10.689221754950402,9.95297851023436
473,40.5138849438451,41.211323887538825,18.309361924268018
27,6.78926527181571,11.109018666239868,10.062192100025948
474,40.55950560306418,41.211323887538825,18.309361924268018
28,7.010960926608666,11.465465725975578,10.19248911833065
29,7.042309395055805,11.927404680509973,10.329158804303102
475,40.5646406748326,41.218621553613254,18.31487774554384
476,40.65577195857592,41.22179003561826,18.318046227548848
30,7.211884546426056,12.395352156678118,10.471422277103898
31,7.351735324623502,12.759920784558698,10.580373361262934
477,40.65857660570841,41.222072357848575,18.325580368476384
32,7.395529631894878,13.183317776437372,10.791819352414297
478,40.66078987723145,41.222072357848575,18.32758002352728
33,7.597426949356472,13.610389207025344,10.934300753335794
34,7.693087838171063,13.989245507224936,11.039813021973128
35,7.9140053613662715,14.443920728091493,11.111202095774871
36,8.11152643793674,14.871723886953333,11.197810648866405
479,40.700078875782744,41.22285083029164,18.32758002352728
480,40.709989211122696,41.2248022177004,18.345181939121524
37,8.148140113811714,15.172027293442719,11.373386590387282
38,8.399687008068776,15.616956422487007,11.447337511179104
39,8.519375089806765,15.900758953226717,11.527703283917829
481,40.77370307881608,41.22544242361594,18.345822145037058
40,8.627490908829689,16.288585640679422,11.558569072683227
482,40.8744216100379,41.22544242361594,18.346061305484195
483,40.92222309116448,41.22555241848645,18.3475871202783
41,8.767190331361927,16.730361689380633,11.672650240789276
484,40.92676556407277,41.22929421670943,18.360997133917728
485,40.950588430628365,41.22933867512454,18.36340172658942
42,8.980195462190714,17.088363273890167,11.77196377977943
