Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.6412726650784161,0.23881766526102766,0.6900581376947643
1,1.2825453301568321,0.8800903303394437,1.3234631422506555
2,1.923817995235248,1.570148468034208,1.9647358073290717
3,2.5650906603136643,2.0436122489717548,2.635689342764209
4,3.2063633253920805,2.7145657844068922,3.109153123701756
5,3.8476359904704966,3.347970788962783,3.582616904639303
6,4.063001397402617,3.5633361958949035,3.582616904639303
7,4.301819062663645,3.5633361958949035,3.8214345699003305
8,4.540636727924673,3.5633361958949035,4.060252235161358
9,4.7794543931857,3.7787016028270237,4.275617642093478
10,5.018272058446728,4.449655138262162,4.275617642093478
11,5.257089723707756,4.688472803523189,4.490983049025599
12,5.495907388968783,5.378530941217954,5.181041186720363
13,5.734725054229811,6.01980360629637,5.814446191276255
14,5.973542719490839,6.493267387233917,6.287909972213802
15,6.212360384751866,7.126672391789809,6.5267276374748295
16,6.451178050012894,7.126672391789809,7.1976811729099675
17,7.122131585448032,7.365490057050836,7.671144953847515
18,7.3609492507090595,7.838953837988384,8.36120309154228
19,7.599766915970087,8.054319244920503,9.002475756620695
20,7.838584581231115,8.687724249476394,9.673429292055832
21,8.077402246492142,8.687724249476394,9.673429292055832
22,8.31621991175317,9.32899691455481,10.306834296611724
23,8.555037577014197,10.019055052249575,10.306834296611724
24,8.793855242275225,10.234420459181695,10.522199703543844
25,9.464808777710362,10.473238124442723,10.737565110475964
26,9.70362644297139,11.14419165987786,11.37883777555438
27,9.942444108232417,11.14419165987786,11.37883777555438
28,10.181261773493445,11.35955706680998,11.37883777555438
29,10.814666778049336,11.598374732071008,11.37883777555438
30,11.053484443310364,11.598374732071008,11.617655440815408
31,11.69475710838878,12.071838513008554,11.833020847747528
32,11.933574773649807,12.705243517564446,12.306484628685075
33,12.574847438728224,12.705243517564446,12.306484628685075
34,12.813665103989251,13.346516182642862,12.977438164120212
35,13.484618639424388,13.58533384790389,13.618710829198628
36,13.723436304685416,13.80069925483601,13.857528494459656
37,13.938801711617536,14.490757392530774,14.072893901391776
38,14.177619376878564,15.161710927965911,14.288259308323896
39,14.416437042139592,15.161710927965911,14.503624715256016
40,14.65525470740062,15.635174708903458,14.718990122188137
41,14.894072372661647,15.850540115835578,14.957807787449164
42,15.132890037922675,15.850540115835578,15.196625452710192
43,15.371707703183702,16.483945120391468,15.837898117788608
44,15.61052536844473,16.483945120391468,15.837898117788608
45,15.82589077537685,16.722762785652495,16.053263524720727
46,16.06470844063788,16.722762785652495,16.292081189981754
47,16.303526105898907,16.938128192584614,16.292081189981754
48,16.542343771159935,17.579400857663032,16.507446596913873
49,16.781161436420962,18.052864638600578,16.507446596913873
50,16.99652684335308,18.291682303861606,16.507446596913873
51,17.23534450861411,18.291682303861606,17.140851601469762
52,17.474162173875136,18.98174044155637,17.140851601469762
53,17.712979839136164,18.98174044155637,17.356217008401885
54,17.95179750439719,19.197105848488487,17.595034673662912
55,18.19061516965822,19.868059383923626,17.595034673662912
56,18.429432834919247,19.868059383923626,17.81040008059503
57,18.668250500180275,19.868059383923626,18.04921774585606
58,18.907068165441302,20.083424790855744,18.288035411117086
59,19.14588583070233,20.083424790855744,18.526853076378114
60,19.384703495963358,20.322242456116772,18.526853076378114
61,19.623521161224385,20.963515121195186,18.526853076378114
62,19.862338826485413,21.436978902132733,19.160258080934003
63,20.552396964180176,22.070383906688622,19.160258080934003
64,20.791214629441203,22.070383906688622,19.793663085489893
65,21.424619633997093,22.28574931362074,19.793663085489893
66,21.66343729925812,22.52456697888177,19.793663085489893
67,21.902254964519148,22.52456697888177,20.03248075075092
68,22.141072629780176,22.998030759819315,20.03248075075092
69,22.78234529485859,22.998030759819315,20.505944531688467
70,23.021162960119618,23.213396166751437,20.744762196949495
71,23.259980625380646,23.213396166751437,20.744762196949495
72,23.498798290641673,23.884349702186576,20.983579862210522
73,23.7376159559027,24.123167367447603,21.65453339764566
74,23.97643362116373,24.123167367447603,21.89335106290669
75,24.215251286424756,24.756572372003493,21.89335106290669
76,24.454068951685784,24.97193777893561,21.89335106290669
77,24.69288661694681,24.97193777893561,21.89335106290669
78,24.93170428220784,25.661995916630374,21.89335106290669
79,25.170521947468867,25.900813581891402,22.132168728167716
80,25.409339612729894,25.900813581891402,22.132168728167716
81,25.648157277990922,26.11617898882352,22.347534135099835
82,25.88697494325195,26.589642769761067,23.018487670534974
83,26.125792608512977,26.589642769761067,23.018487670534974
84,26.364610273774005,27.23091543483948,23.018487670534974
85,26.603427939035033,27.23091543483948,23.018487670534974
86,26.84224560429606,27.446280841771603,23.018487670534974
87,26.84224560429606,27.446280841771603,23.659760335613388
88,26.84224560429606,27.68509850703263,23.659760335613388
89,26.84224560429606,27.68509850703263,23.659760335613388
90,27.057611011228182,28.35605204246777,23.659760335613388
91,27.057611011228182,28.829515823405316,23.659760335613388
92,27.057611011228182,29.044881230337438,23.659760335613388
93,27.057611011228182,29.678286234893328,23.659760335613388
94,27.057611011228182,29.678286234893328,24.34981847330815
95,27.057611011228182,29.917103900154356,24.34981847330815
96,27.057611011228182,30.60716203784912,24.34981847330815
97,27.057611011228182,30.822527444781237,24.34981847330815
98,27.057611011228182,30.822527444781237,24.34981847330815
99,27.057611011228182,30.822527444781237,24.34981847330815
100,27.691016015784072,30.822527444781237,24.34981847330815
101,27.691016015784072,31.46380010985965,24.34981847330815
102,27.691016015784072,31.937263890797198,24.34981847330815
103,27.9298336810451,31.937263890797198,24.34981847330815
104,27.9298336810451,32.17608155605823,24.34981847330815
105,28.14519908797722,32.39144696299035,24.823282254245697
106,28.14519908797722,32.39144696299035,24.823282254245697
107,28.14519908797722,32.39144696299035,24.823282254245697
108,28.384016753238246,32.39144696299035,24.823282254245697
109,28.384016753238246,33.02485196754624,24.823282254245697
110,28.857480534175792,33.02485196754624,25.296746035183244
111,28.857480534175792,33.24021737447836,25.296746035183244
112,28.857480534175792,33.47903503973939,25.296746035183244
113,28.857480534175792,33.69440044667151,25.296746035183244
114,28.857480534175792,33.69440044667151,25.296746035183244
115,28.857480534175792,33.69440044667151,25.296746035183244
116,29.07284594110791,33.69440044667151,25.296746035183244
117,29.07284594110791,34.16786422760906,25.296746035183244
118,29.07284594110791,34.40668189287009,25.296746035183244
119,29.07284594110791,34.40668189287009,25.296746035183244
120,29.07284594110791,34.40668189287009,25.296746035183244
121,29.07284594110791,34.62204729980221,25.296746035183244
122,29.07284594110791,34.62204729980221,25.296746035183244
123,29.07284594110791,35.29300083523735,25.296746035183244
124,29.28821134804003,35.29300083523735,25.296746035183244
125,29.28821134804003,35.93427350031577,25.296746035183244
126,29.28821134804003,36.1730911655768,25.296746035183244
127,29.28821134804003,36.1730911655768,25.296746035183244
128,29.28821134804003,36.1730911655768,25.296746035183244
129,29.28821134804003,36.1730911655768,25.296746035183244
130,29.28821134804003,36.38845657250892,25.296746035183244
131,29.761675128977576,36.38845657250892,25.296746035183244
132,30.432628664412714,37.02186157706481,25.296746035183244
133,30.432628664412714,37.260679242325836,25.296746035183244
134,30.432628664412714,37.734143023263385,25.296746035183244
135,30.432628664412714,38.42420116095815,25.296746035183244
136,30.671446329673742,38.63956656789027,25.296746035183244
137,30.671446329673742,38.63956656789027,25.296746035183244
138,30.671446329673742,38.63956656789027,25.296746035183244
139,30.671446329673742,38.85493197482239,25.296746035183244
140,31.34239986510888,38.85493197482239,25.296746035183244
141,31.557765272041003,39.09374964008342,25.296746035183244
142,31.557765272041003,39.09374964008342,25.296746035183244
143,32.247823409735766,39.332567305344455,25.296746035183244
144,32.247823409735766,39.332567305344455,25.986804172878006
145,32.247823409735766,39.54793271227658,25.986804172878006
146,32.247823409735766,40.02139649321413,25.986804172878006
147,32.247823409735766,40.02139649321413,26.20216957981013
148,32.247823409735766,40.692350028649265,26.20216957981013
149,32.918776945170904,40.90771543558139,26.20216957981013
150,32.918776945170904,41.548988100659805,26.89222771750489
151,32.918776945170904,42.182393105215695,26.89222771750489
152,33.60883508286567,42.87245124291046,26.89222771750489
153,34.279788618300806,42.87245124291046,26.89222771750489
154,34.51860628356184,42.87245124291046,26.89222771750489
155,34.99207006449939,43.11126890817149,26.89222771750489
156,34.99207006449939,43.32663431510361,26.89222771750489
157,34.99207006449939,43.32663431510361,26.89222771750489
158,34.99207006449939,43.54199972203573,26.89222771750489
159,34.99207006449939,43.54199972203573,26.89222771750489
160,34.99207006449939,43.54199972203573,26.89222771750489
161,34.99207006449939,43.54199972203573,26.89222771750489
162,34.99207006449939,43.757365128967855,27.13104538276592
163,35.633342729577805,43.996182794228886,27.13104538276592
164,35.633342729577805,44.469646575166436,27.13104538276592
165,35.633342729577805,44.469646575166436,27.13104538276592
166,35.633342729577805,44.68501198209856,27.13104538276592
167,35.633342729577805,44.68501198209856,27.13104538276592
168,35.633342729577805,45.326284647176976,27.13104538276592
169,35.633342729577805,45.326284647176976,27.346410789698037
170,35.633342729577805,45.326284647176976,27.346410789698037
171,35.633342729577805,45.799748428114526,27.346410789698037
172,35.633342729577805,45.799748428114526,27.346410789698037
173,35.872160394838836,46.01511383504665,27.346410789698037
174,35.872160394838836,46.01511383504665,27.346410789698037
175,35.872160394838836,46.68606737048179,27.346410789698037
176,35.872160394838836,47.31947237503768,27.346410789698037
177,35.872160394838836,47.31947237503768,27.346410789698037
178,36.345624175776386,47.55829004029871,27.346410789698037
179,36.345624175776386,47.77365544723083,27.346410789698037
180,36.345624175776386,47.77365544723083,27.585228454959065
181,36.819087956713936,47.77365544723083,27.585228454959065
182,36.819087956713936,47.77365544723083,27.585228454959065
183,36.819087956713936,47.98902085416295,27.585228454959065
184,36.819087956713936,48.4624846351005,27.585228454959065
185,36.819087956713936,48.4624846351005,27.585228454959065
186,36.819087956713936,48.70130230036153,27.585228454959065
187,36.819087956713936,48.70130230036153,27.585228454959065
188,36.819087956713936,48.70130230036153,27.585228454959065
189,36.819087956713936,48.916667707293655,27.585228454959065
190,36.819087956713936,48.916667707293655,27.585228454959065
191,37.05790562197497,49.60672584498842,27.585228454959065
192,37.05790562197497,50.247998510066836,27.585228454959065
193,37.05790562197497,50.46336391699896,27.585228454959065
194,37.05790562197497,50.46336391699896,27.585228454959065
195,37.05790562197497,50.70218158225998,27.585228454959065
196,37.05790562197497,50.70218158225998,27.585228454959065
197,37.05790562197497,50.70218158225998,27.585228454959065
198,37.05790562197497,51.17564536319753,27.585228454959065
199,37.699178287053385,51.17564536319753,27.585228454959065
200,38.38923642474815,51.17564536319753,27.585228454959065
201,38.38923642474815,51.391010770129654,27.585228454959065
202,38.38923642474815,51.606376177061776,27.585228454959065
203,39.030509089826566,51.606376177061776,27.585228454959065
204,39.030509089826566,51.84519384232281,27.585228454959065
205,39.030509089826566,51.84519384232281,27.585228454959065
206,39.030509089826566,51.84519384232281,27.585228454959065
207,39.030509089826566,51.84519384232281,27.585228454959065
208,39.030509089826566,51.84519384232281,27.585228454959065
209,39.030509089826566,52.06055924925493,27.585228454959065
