Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
0,0.4866248056834935,0.4393378539486294,0.4393378539486294,0.4393378539486294
1,1.0443387151648809,0.9243899785974798,0.9243899785974798,0.9243899785974798
2,1.5554542111519676,1.334544299699888,1.334544299699888,1.334544299699888
3,1.8129472472466486,1.6928440204686108,1.6928440204686108,1.6928440204686108
4,2.0073869428347364,2.3042596473442107,2.3042596473442107,2.3042596473442107
5,2.289776116702558,2.6939989095265022,2.6939989095265022,2.6939989095265022
6,2.8135565146580697,3.210096885227074,3.210096885227074,3.210096885227074
7,3.2460354900945405,3.6597357825041796,3.6597357825041796,3.6597357825041796
8,3.5376869894979555,4.156579930309353,4.156579930309353,4.156579930309353
9,3.7140152767480656,4.765176217516826,4.765176217516826,4.765176217516826
10,4.156235620979848,4.795358785549666,5.120928316688139,4.940295580201911
11,4.2514447350192714,4.861472052982827,5.469971376658682,5.1375380015916345
12,4.552819556101592,4.926354838564729,5.759117220380324,5.384244962100969
13,4.901304344816976,4.932506976085813,6.101254114855359,5.592759605095464
14,5.058555583608939,5.036775148255399,6.475079040098942,6.060933563802763
15,5.365167929584248,5.193779010682401,6.79029215250782,6.4134236899477886
16,5.597541691945966,5.304868878130891,7.250297552174963,6.73995605780496
17,5.8177472177498775,5.436514352305838,7.592390320500407,7.011500419039697
18,6.059292355402983,5.549634207618845,7.930379838064117,7.25746302550135
19,6.177752632455565,5.580571313738157,8.304423369032957,7.3929664529738925
20,6.338029645541739,5.604907464973559,8.740142552014746,7.565893324024057
21,6.466174991891384,5.775979725212861,8.956056569373185,7.757093910336484
22,6.684204598942432,5.883843839651063,9.29431501402565,8.148601608451484
23,6.865723434034895,5.993652573304807,9.586152136990622,8.398211602189672
24,7.054975193589897,6.12883678123802,9.888214614339974,8.513200088499667
25,7.170082720375953,6.226348612323027,10.100944894080055,8.5907066538584
26,7.359413493886633,6.36813195208834,10.342354489131603,8.647293521089711
27,7.553814696185645,6.429076768114672,10.525867997520692,8.772695879229305
28,7.758191812442949,6.544895361334289,10.677557465467837,8.887562675230193
29,7.855043789554711,6.57507792936713,10.97983157947184,8.908180988227375
30,8.018808682643993,6.636815151315636,11.267568181478666,8.995390015514685
