Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.7575633759366617
1,0.6596664920907227
2,0.4698000518777393
3,0.2329910388759076
4,0.22009584744634375
5,0.19115075310865212
6,0.10809643965853863
7,0.12072915313077606
8,0.11472751906852212
9,0.10960141772671343
10,0.10068332806035765
11,0.09246354232965127
12,0.08616440858415929
13,0.0815593622305428
14,0.0786342345057052
15,0.07686634895258472
16,0.0693695551961501
17,0.07035893871421486
18,0.06994757025907192
19,0.06811761342117331
20,0.06693643173383146
21,0.06747757167272415
22,0.06771005198051355
23,0.0669678636633453
24,0.07765092625614435
25,0.06284439050837462
26,0.06456960072322557
27,0.06354074314326737
28,0.0633969895319446
29,0.06373017209356369
30,0.06367296520914353
31,0.0619615417935888
32,0.06131142452067663
33,0.060555712417565945
34,0.05702521789241625
35,0.05756603652447223
36,0.050238648598813926
37,0.045751450251656584
38,0.046219331057216276
39,0.045454684770418245
40,0.046259687406665716
41,0.04515696415999032
42,0.04556607055919541
43,0.044922081981054254
44,0.043839827626528535
45,0.04264495351192092
46,0.04094549396716991
47,0.0408418968938874
48,0.041290584514880865
49,0.041303842664935995
50,0.04159436409487212
51,0.04081450825587028
52,0.04074298952583595
53,0.04217575692112518
54,0.04287964066032122
55,0.042826909890060244
56,0.04219197093888753
57,0.042190839458652075
58,0.04225622113431453
59,0.04220963238979951
60,0.04229638067813695
61,0.04254567783579831
62,0.04259787568361411
63,0.04222828506233303
64,0.04225407141697102
65,0.042864646139997374
66,0.04285664193957767
67,0.041746822187318885
68,0.04267128155707368
69,0.04168997307206847
70,0.04213785578277512
71,0.04324598275805978
72,0.04504554685499697
73,0.04231288987453942
74,0.043463586677801404
75,0.043081844727524785
76,0.04300244709832664
77,0.04316335022948681
78,0.04337258665120082
79,0.04395013264596319
80,0.043821328432137666
81,0.04627189120758971
82,0.04614590204956998
83,0.046179476632818704
84,0.045994090054092406
85,0.04592374330801456
86,0.04522900455805604
87,0.04370324028662756
88,0.0436105263653291
89,0.04349630778972914
90,0.0431445211588315
91,0.04298615912031812
92,0.04267407548454044
93,0.04237904958348337
94,0.04248696018201524
95,0.04269544442138369
96,0.04312040542393024
97,0.042901425584533984
98,0.044706348114761874
99,0.04449895351789462
100,0.0443735354785108
101,0.04547739479055106
102,0.04557122637907636
103,0.045415945616507664
104,0.046804948093009585
105,0.04691629636656895
106,0.046456166787933094
107,0.04633492263252165
108,0.04491186102362369
109,0.04689141203315006
110,0.047541255700009485
111,0.04737789725514019
112,0.047375955931622485
113,0.04465932592098469
114,0.044678721597548064
115,0.04415418404483386
116,0.04398045701619281
117,0.043104351609712134
118,0.04309459876537799
119,0.04255951878356569
120,0.0439996602525738
121,0.0439912994367622
122,0.04358240193082106
123,0.04357560437971296
124,0.04290486883241258
125,0.042321181640727686
126,0.042465035389296135
127,0.04238100214977864
128,0.04234435232983023
129,0.04240933834692863
130,0.04232496954897302
131,0.04225724191900239
132,0.0422414362524408
133,0.04064526855674809
134,0.04085824926485043
135,0.040540023048983
136,0.04025324299343936
137,0.04060703318334964
138,0.04058372234192185
139,0.04137126404590973
140,0.04143837727771631
141,0.04136889214650784
142,0.041338334523318594
143,0.041669417636789295
144,0.041658430291136805
145,0.04119086084113713
146,0.04120228123184612
147,0.04047870414684696
148,0.0390257021979334
149,0.039063206337577025
150,0.03853780001738205
151,0.03938264381667423
152,0.039525753933147584
153,0.03929877589828132
154,0.03765590767011258
155,0.03752101931086321
156,0.03763423956875757
157,0.036217961593751805
158,0.0362821834857299
159,0.036247124402485634
160,0.03622717076862314
161,0.036392049658129574
162,0.03653585527669575
163,0.03663413680286526
164,0.036551777935707803
165,0.0366250606282526
166,0.03649294978028404
167,0.03650525120505357
168,0.03583492239671813
169,0.03444815020412685
170,0.03319165849011697
171,0.032855411621352255
172,0.03297189657791068
173,0.03191998146418695
174,0.03245899388349051
175,0.03198492275621058
176,0.03100229525324704
177,0.03128616906365323
178,0.0297968444031323
179,0.029975357702379163
180,0.029086063352609326
181,0.02895463794780375
182,0.028983329976718458
183,0.02890237471525376
184,0.028961004073160913
185,0.02877883627973558
186,0.02869592922478336
187,0.02877005011796737
188,0.028795909256109316
189,0.027722241732447354
190,0.02724126109989918
191,0.027118112768767966
192,0.027204413305307613
193,0.02723026500268568
194,0.027124168861959324
195,0.027091130182748467
196,0.027103818175087994
197,0.026920460578064333
198,0.02583289858813375
199,0.025784772347045452
200,0.026306740284469797
201,0.02639403344513852
202,0.026342407958126368
203,0.026161424409881912
204,0.02618066085442854
205,0.026273432340815916
206,0.025690405608051692
207,0.02564627892750293
208,0.02568051190041539
209,0.025879803093755482
210,0.025933921773655066
211,0.025087451913381926
212,0.025579174108043806
213,0.025840381868600038
214,0.02580456760858481
215,0.025283263934423518
216,0.025368443594324563
217,0.025009165328575687
218,0.024895824427074924
219,0.024757479121721274
220,0.024591858816438408
221,0.02463059977768312
222,0.02433738834402003
223,0.02404200046640598
224,0.024029083996123878
225,0.02354648003959147
226,0.023465600579605183
227,0.023447251107722673
228,0.02378299221200286
229,0.025527374023963233
230,0.02645406355090012
231,0.02528325940886165
232,0.025242285038437597
233,0.025961985144905796
234,0.02593359542884276
235,0.025841569049866737
236,0.02608539786725154
237,0.026075701396136873
238,0.02614782492377043
239,0.027161266697202195
240,0.02726321688631393
241,0.027001368107000982
242,0.02703004399321987
243,0.026622649975572073
244,0.026629690599780365
245,0.026523180195732875
246,0.026126237769647807
247,0.0261093109520726
248,0.026093433799210232
249,0.02637783571171783
250,0.02617273313141541
251,0.02635655067229926
252,0.026522871314362245
253,0.026305012264890237
254,0.026495616191885396
255,0.026498898538494565
256,0.026472757344762204
257,0.026934076014784654
258,0.026988975470012756
259,0.026957460779991282
260,0.027119031056456792
261,0.02713450319730697
262,0.027109438181454247
263,0.027132522328997842
264,0.027726184096221084
265,0.02769120310382553
266,0.027668764997049282
267,0.027792405746121816
268,0.027515224236746814
269,0.02755807345733115
270,0.027437462461428096
271,0.027417401373386822
272,0.02673490922480904
273,0.026741563099137954
274,0.026744049532357907
275,0.026578366000555707
276,0.02659807733978035
277,0.025980626138855118
278,0.025992109180112643
279,0.02601518320461039
280,0.02541855944467103
281,0.0254114435931806
282,0.025454236372777595
283,0.025604540915207474
284,0.025582354759003657
285,0.025545355433831372
286,0.025803792688554723
287,0.02554960232198311
288,0.025483081236726858
289,0.025381977837867158
290,0.02542131712192163
291,0.025944129242196728
292,0.02618538514212553
293,0.02626146951811853
294,0.026272027661283958
295,0.026279059953594853
296,0.02610999779677421
297,0.026131005168750165
298,0.026118283950664418
299,0.026169358792411574
300,0.026191889728961488
301,0.026119281016996836
302,0.025918120144801778
303,0.025955725358934544
304,0.025792946628880247
305,0.02577528244007101
306,0.025789312521737516
307,0.025648729326377472
308,0.025597755159095847
309,0.025814576575706804
310,0.025918743003799188
311,0.026291437781108873
312,0.026439369991691886
313,0.02653508180402514
314,0.02618539164987808
315,0.02628194759196916
316,0.026255537661234
317,0.025849760549344753
318,0.02575028740254508
319,0.025538053982554477
320,0.02510941645986966
321,0.025115632912126606
322,0.025024637906726144
323,0.024392270638914682
324,0.02437703561405356
325,0.024246302862757203
326,0.02418229758768537
327,0.023837191055443085
328,0.023716173046584597
329,0.023870550324572738
330,0.023508549034264997
331,0.023523374816739002
332,0.023508405446608004
333,0.0234271368642947
334,0.022180564731628917
335,0.022185696204569796
336,0.022181516598511936
337,0.022064489422742216
338,0.022063745971896094
339,0.02132533025904914
340,0.021540142053756667
341,0.02150731639503115
342,0.02150336457388522
343,0.021927382305476452
344,0.02188103926785229
345,0.021886052960818494
346,0.021914571202247927
347,0.022150217201350724
348,0.022155762272595428
349,0.022136520344856546
350,0.02165199091827707
351,0.021587490965947743
352,0.021619962520184055
353,0.02105800543747791
354,0.021171666647351862
355,0.02133397238551028
356,0.021271593234859852
357,0.021268110032540137
358,0.02123882985693428
359,0.02109981732712378
360,0.021058961382504154
361,0.02054638423612736
362,0.020595752079356582
363,0.020606583914246225
364,0.02056320505991854
365,0.020628617880571902
366,0.02082792093939762
367,0.020816227905959404
368,0.020506496484923694
369,0.020455960518055056
370,0.020413199414190286
371,0.02041236194779072
372,0.019949316604873327
373,0.019972413886936775
374,0.02002124515401093
375,0.02007377351260142
376,0.020013249592933123
377,0.019789950000422735
378,0.019761671930908768
379,0.019693122776142994
380,0.019570328622903393
381,0.019585685397966485
382,0.019625768250283778
383,0.01974341786088054
384,0.019819799617626966
385,0.01963408082420251
386,0.019488681907706286
387,0.019524932992129727
388,0.019514339783594677
389,0.01957114866160894
390,0.01958690288317508
391,0.020035420177432726
392,0.020016849181810122
393,0.02015950122335982
394,0.020138650179202893
395,0.020099179842044356
396,0.02011681227877503
397,0.02017201596064224
398,0.01994443249289652
399,0.020187252950773747
400,0.020073578125587133
401,0.02011962890496132
402,0.02014254445269032
403,0.020239973682112684
404,0.020471534199051435
405,0.020444815197172006
406,0.020443140069765633
407,0.020507976738299488
408,0.020287529829871344
409,0.020307705117487376
410,0.020319412093694547
411,0.020289482222246052
412,0.02035448407197099
413,0.02044590162404719
414,0.020446772477123693
415,0.02036014742153079
416,0.0210835509056087
417,0.021086059751530332
418,0.021055194000593757
419,0.02113234590913034
420,0.021185888831781817
421,0.021136860660897976
422,0.021125704928357286
423,0.021237032018738965
424,0.021247923096857815
425,0.021298140936775647
426,0.021258501615228003
427,0.02117446990049162
428,0.021641615343763014
429,0.021704179041146375
430,0.02147495851944719
431,0.021495289489133377
432,0.021462575583994708
433,0.021386289136475688
434,0.021400278777993335
435,0.0211150220922943
436,0.02117585366523203
437,0.021176588424520207
438,0.020945923141658357
439,0.021143465408932353
440,0.02098194978361788
441,0.021188574039631123
442,0.02116822890687731
443,0.02074013352849541
444,0.020770045534507908
445,0.0202376818425897
446,0.02002177504062109
447,0.019997907464523457
448,0.019994809848651728
449,0.019978185683336216
450,0.02026224073313056
451,0.020275114187000544
452,0.020865837335192226
453,0.020515960726035253
454,0.020541909116364332
455,0.020527590199218106
456,0.020477707251527706
457,0.021009159267647164
458,0.02097039684297703
459,0.020956002568127227
460,0.02095433289719269
461,0.02090682965393218
462,0.020889989220357917
463,0.02090625800589859
