Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.27504886271977924,0.367344310397258
1,0.6067445346333094,0.7531337589475908
2,0.9434993239259072,1.1709548908115264
3,1.298764741234941,1.5366680296750985
4,1.5671641835726506,1.8860723768405865
5,1.8413817249349844,2.185817789898567
6,2.0822724010342597,2.515743415414402
7,2.339150100691871,2.823742114989455
8,2.6131564831414,3.1193796070558952
9,2.8209471529196746,3.42961728189283
10,3.1258319545887616,3.7308230116085412
11,3.387969022739778,4.034107243519941
12,3.545057491220252,4.361111333499066
13,3.7151402344984796,4.656924405895719
14,4.042192958013394,4.901862936726674
15,4.386136642948742,5.19966232709423
16,4.61276192200393,5.395433091730897
17,4.822009687482608,5.654157039082241
18,5.004107030480263,5.943168239494786
19,5.208011490136285,6.148073832967169
20,5.412446691921976,6.36794944636574
21,5.576841980065217,6.622445605567502
22,5.859450553445525,6.850506814400667
23,6.116601358358389,7.109424321172922
24,6.257373310047319,7.361990237621515
25,6.441338103613068,7.599208263117579
26,6.673148841839645,7.847088604740856
27,6.814208961347056,8.043067467859274
28,6.967847338388575,8.288330558376035
29,7.113296961182746,8.546374358491743
30,7.289219550544944,8.744592367510297
31,7.384023763328008,8.919334759548677
32,7.59520221190016,9.113503075770495
33,7.700873910580984,9.287054835856026
34,7.786042111248831,9.454965410702474
35,7.939872444476627,9.677425216693052
36,7.975856750898254,9.855526047431619
37,8.109180666967044,10.105824681642533
38,8.206750571146896,10.395608210425872
39,8.27942558929812,10.555158482664023
40,8.372732663330979,10.684531576248826
41,8.466137902594152,10.91971257920751
42,8.550118461924502,11.078485514877206
43,8.676959503526977,11.279956534451053
44,8.844267257481517,11.377886899581128
45,8.913577115920294,11.553231632996198
46,8.954998658432554,11.670231614102544
47,9.13898679080636,11.883769621934904
48,9.28703677674539,12.050693999459863
49,9.442480339044675,12.19598033558477
50,9.481388468192685,12.334151976727414
51,9.605343095304208,12.491287210840053
52,9.67730204392556,12.590985773850935
53,9.819942826895602,12.67109115430296
54,9.9837048891781,12.82465694671823
55,10.011222429761732,13.011444038590174
56,10.04150479779815,13.131780129827472
57,10.169162887753743,13.211885510279496
58,10.343446421907286,13.388494487243753
59,10.471719961612845,13.516975121120314
60,10.566026232229211,13.625674954407781
