Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit
0,0.37282342055672035,0.4111040799810522
1,0.6894492448744074,0.746221913698791
2,1.0877421495863604,1.06890853357438
3,1.4087594310302878,1.4300689495006307
4,1.800384964394317,1.6227668630528829
5,2.199244592990625,1.9345101120273949
6,2.610070968603666,2.2555525566003363
7,2.938516183865283,2.6158217875566776
8,3.3262056728982285,2.8607778456318207
9,3.5164296738562455,3.136827549964363
10,3.733597727823375,3.34251893040219
11,4.022660672602947,3.608101749589962
12,4.308724105392271,3.8259233594148148
13,4.47917135539886,3.9775090231070385
14,4.669943760716691,4.044995327746136
15,4.998474308162043,4.204065528085239
16,5.273733169304727,4.292078407744498
17,5.591736288606196,4.356815473921715
18,5.748838094713776,4.444447585087661
19,5.804781355921799,4.492545330555869
20,5.947055853404489,4.563709548814758
21,6.005631544132811,4.595433302485688
22,6.20971796638329,4.624906761518462
23,6.431905738309398,4.63824161357146
24,6.496926661709223,4.657649248044828
25,6.61372565242434,4.715695541958058
26,6.770508667513451,4.790033403579503
27,6.871306462052533,4.813662811703913
28,7.0184688282880545,4.842466133597578
29,7.16526181269594,4.842466133597578
30,7.399731314812311,4.859045690088193
31,7.589856330930242,4.865480731170602
32,7.88202846757591,4.869317612630377
33,8.067142677979156,4.869317612630377
34,8.171453355475986,4.896023604965267
35,8.352609509320862,4.9556703642642095
36,8.516387515822869,5.006514317321838
37,8.706562543303423,5.006514317321838
38,8.819183316725304,5.006514317321838
39,9.145794836275117,5.006514317321838
40,9.203903054793633,5.006514317321838
41,9.335728614733831,5.006514317321838
42,9.385097486739415,5.006514317321838
43,9.479352536948895,5.006514317321838
44,9.685436400030868,5.006514317321838
45,9.842117680060955,5.006514317321838
46,9.929027587870081,5.006514317321838
47,10.018790316683797,5.006514317321838
48,10.174132300818227,5.006514317321838
49,10.383084799860669,5.006514317321838
50,10.576796057009604,5.006514317321838
51,10.658180728007434,5.006514317321838
52,10.91483578649807,5.006514317321838
53,11.024288834624606,5.006514317321838
54,11.29995014286031,5.006514317321838
55,11.345325469185777,5.006514317321838
56,11.457939619158697,5.006514317321838
57,11.503314945484163,5.010351198781613
58,11.779538035208912,5.0141880802413885
59,11.916570075920585,5.018024961701164
60,12.10761008322621,5.018024961701164
61,12.23208945250617,5.018024961701164
62,12.459850033720837,5.018024961701164
63,12.50921890572642,5.050581087080797
64,12.649539507659638,5.121062406086728
65,12.772642685282067,5.121062406086728
66,12.898314796092091,5.121062406086728
67,13.113616851661856,5.121062406086728
68,13.243570007061312,5.121062406086728
69,13.470455867147333,5.121062406086728
70,13.546460279996808,5.121062406086728
71,13.660073898193016,5.124899287546503
72,13.770568433009856,5.124899287546503
73,13.995822017369118,5.154466569974408
74,14.187558750867193,5.188917062633374
75,14.365672820716393,5.188917062633374
76,14.412203774533092,5.188917062633374
77,14.498929753137295,5.188917062633374
78,14.713356829580778,5.188917062633374
79,14.834277999175365,5.188917062633374
80,14.914431180444646,5.188917062633374
81,15.02618151063748,5.192753944093149
82,15.07271246445418,5.192753944093149
83,15.1695137856794,5.192753944093149
84,15.345578718424353,5.192753944093149
85,15.513425893669682,5.192753944093149
86,15.559956847486381,5.192753944093149
87,15.720923740811468,5.192753944093149
88,15.90111123597787,5.192753944093149
89,16.071466978286658,5.192753944093149
90,16.135219096514,5.192753944093149
91,16.289858353890324,5.192753944093149
92,16.43207704499549,5.192753944093149
93,16.546038117521725,5.192753944093149
94,16.592569071338424,5.192753944093149
95,16.71952990862936,5.192753944093149
96,16.769897743905837,5.192753944093149
97,16.8839954908986,5.192753944093149
98,17.085036616615575,5.192753944093149
99,17.222083068578442,5.192753944093149
100,17.33104705008486,5.192753944093149
101,17.481284867720994,5.192753944093149
102,17.691411950731567,5.208395803898296
103,17.84596209311617,5.208395803898296
104,17.882227740033784,5.208395803898296
105,17.98131925487603,5.208395803898296
106,18.149917972098553,5.208395803898296
107,18.21417404646778,5.208395803898296
108,18.287730502720336,5.208395803898296
109,18.45915467436414,5.208395803898296
110,18.575232424327034,5.208395803898296
111,18.606820003379895,5.208395803898296
112,18.682974066225935,5.208395803898296
113,18.703623694311663,5.208395803898296
114,18.899728362996335,5.208395803898296
115,19.12479837095856,5.208395803898296
116,19.437998220826493,5.208395803898296
117,19.58849245627987,5.208395803898296
118,19.808278502090605,5.208395803898296
119,20.069733824922547,5.208395803898296
120,20.169662118990722,5.208395803898296
121,20.230195700349604,5.208395803898296
122,20.397663033658965,5.208395803898296
123,20.53778762051611,5.208395803898296
124,20.689937997162,5.208395803898296
125,20.724953814070563,5.208395803898296
126,20.87330212736886,5.208395803898296
127,20.920297002515333,5.208395803898296
128,21.178166443928603,5.208395803898296
129,21.20755541852726,5.208395803898296
130,21.228205046612988,5.208395803898296
131,21.291896318210654,5.208395803898296
132,21.51453858637617,5.208395803898296
133,21.59497449677988,5.208395803898296
134,21.643093047372524,5.208395803898296
135,21.66374267545825,5.208395803898296
136,21.77765553596964,5.208395803898296
137,21.997178590654038,5.208395803898296
138,22.05641110096871,5.208395803898296
139,22.077060729054434,5.208395803898296
140,22.205559310536394,5.208395803898296
141,22.442923979992422,5.208395803898296
142,22.46357360807815,5.208395803898296
143,22.593458385281004,5.208395803898296
144,22.71798816822978,5.208395803898296
145,22.888422851946295,5.208395803898296
146,22.926050408099293,5.208395803898296
147,23.015623086012805,5.208395803898296
148,23.036272714098533,5.208395803898296
149,23.178082536837863,5.208395803898296
150,23.309655545191866,5.208395803898296
151,23.35787051583971,5.208395803898296
152,23.46827079975718,5.208395803898296
153,23.514106660612807,5.233121502138036
154,23.673875696288608,5.233121502138036
155,23.862952422370586,5.233121502138036
156,23.96963129635938,5.233121502138036
157,24.047314432266298,5.233121502138036
158,24.067964060352026,5.233121502138036
159,24.088613688437754,5.233121502138036
160,24.18171183637451,5.233121502138036
161,24.247595933259195,5.233121502138036
162,24.421465337538866,5.233121502138036
