Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,PHELinearBandit
0,0.8330665033034117,0.4453122226832008,0.4453122226832008,0.4453122226832008
1,1.4993024706300413,1.4436563593779792,1.182707909065001,0.8275512970925483
2,2.4590963380446373,2.2347440013584494,1.71089077521269,1.1881407017281391
3,2.861307480270363,2.5955306094506843,1.8007493399690397,1.54873010636373
4,3.3620865393506896,3.4244789117941203,1.8192106209130134,1.909319510999321
5,3.4004992846532405,4.002820584818319,1.8466353037244514,2.2699089156349124
6,3.754310950656573,4.473855934099424,1.8563105335071572,2.6304983202705037
7,3.8767666500164717,5.724927463854119,1.8770329351814248,2.9910877249060954
8,4.254522338909676,6.51473434503715,1.8861318125831872,3.3516771295416867
9,4.6642396052506125,7.484770182678956,1.897832886717953,3.712266534177278
10,4.908872045940148,8.29656283419557,1.9291148790633517,4.07285593881287
11,5.3969685543940065,9.061043958496036,1.9466728142850065,4.433445343448461
12,5.660561301443325,9.613320519317758,1.971566427136549,4.794034748084052
13,5.831156498803889,10.14338531859276,1.98989693742218,5.154624152719643
14,5.8838070008046355,10.91196910857757,2.024337196594585,5.515213557355235
15,6.39387555336026,11.725019237943059,2.034333688651567,5.875802961990827
16,6.394995468761233,12.61694849832966,2.044581550904007,6.236392366626418
17,6.555422146723792,13.468774567538162,2.0537191016024106,6.596981771262007
18,6.706178215451766,14.208990334810556,2.0578881522396633,6.957571175897597
19,6.8705762218921915,14.869016842700418,2.094667517939762,7.318160580533187
20,6.959642112304492,15.663832214119543,2.1070456347646638,7.678749985168777
21,7.223979924961547,16.525970241492445,2.1115514089007412,8.039339389804367
22,7.414707903856375,17.205213840815365,2.115159568381599,8.399928794439957
23,7.671406957575496,17.986718620454724,2.119127663433374,8.760518199075547
24,8.049459746985686,18.78069561158319,2.1481095771238063,9.121107603711136
25,8.407709195153375,18.78069561158319,2.1516022753063724,9.481697008346726
26,8.458719939472665,18.78069561158319,2.1622118407160893,9.842286412982316
27,8.49514062235904,18.78069561158319,2.1666898628972824,10.202875817617906
28,8.62491880614895,18.78069561158319,2.204988094070491,10.563465222253496
29,9.219095676865493,18.78069561158319,2.215356460360557,10.924054626889086
30,9.60642098101965,18.78069561158319,2.2262710893040296,11.284644031524676
31,9.849244877802061,18.78069561158319,2.228765333724251,11.645233436160266
32,9.954223195486218,18.78069561158319,2.240996973737662,12.005822840795856
33,10.442591000841002,18.78069561158319,2.2451660243749147,12.366412245431446
34,10.830903665854958,18.78069561158319,2.256481041366966,12.727001650067036
35,11.06174520671259,18.78069561158319,2.264924722090917,13.087591054702632
36,11.065237904895158,18.78069561158319,2.268532881571775,13.448180459338223
37,11.154860736064144,18.78069561158319,2.269652796972748,13.808769863973817
38,11.358098745392677,18.78069561158319,2.2741585711088255,14.169359268609409
39,11.946185210784398,18.78069561158319,2.2828507526186455,14.529948673245002
40,11.979535413274217,18.78069561158319,2.2930583274662495,14.890538077880596
41,12.012412632319334,18.78069561158319,2.2951248935692083,15.251127482516187
42,12.087003135961876,18.78069561158319,2.296071544271194,15.61171688715178
43,12.224707256099279,18.783717055932982,2.300740307107156,15.972306291787373
44,12.224707256099279,18.786738500282773,2.3043484665880136,16.332895696422963
45,12.566550694525738,18.786738500282773,2.3138995894564123,16.693485101058556
46,12.596492868613781,18.786738500282773,2.325020156055177,17.05407450569415
47,12.596492868613781,18.786738500282773,2.328333054429141,17.414663910329743
48,12.752354127879572,18.786738500282773,2.341297886385111,17.775253314965333
49,13.244547734152139,18.788247420704366,2.3463746788827278,18.135842719600923
50,13.278858358559736,18.78975634112596,2.3473213295847133,18.496432124236517
51,13.403230830207553,18.791265261547554,2.349165594941918,18.85702152887211
52,13.645668358863304,18.792774181969147,2.3510098602991234,19.217610933507704
