Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
33,7.182675728007718,6.017090651358056,7.38220349279842,11.469503644184067,11.259710000963047
34,7.364381424741562,6.031946394669614,7.537958833584564,11.840634624208779,11.596767746232612
35,7.489798292723637,6.051091251628291,7.811862307205379,12.18616158523215,11.933335662584172
36,7.592680107176243,6.079442288790706,8.052990974190987,12.515123477075651,12.292543962724075
37,7.818942836359606,6.0972671572001955,8.273078346581967,12.873266745210799,12.56057648985853
38,7.900730351885542,6.105864664693401,8.438453785053026,13.181489779264904,12.87648554573704
39,7.968823512546798,6.120043102146712,8.551722768648316,13.554203145461463,13.090343871313502
40,8.147642900780415,6.177191751584573,8.720761634143242,13.881550090619532,13.402802681884975
41,8.267832034139511,6.200609108316089,8.89366648112714,14.207460203609642,13.675946254930475
42,8.411845734350331,6.209206615809295,9.035441653696962,14.594317891172977,14.028140858410932
43,8.55639793265475,6.217804123302501,9.134084806288078,14.860567065293102,14.387515976318465
44,8.608498142002173,6.226401630795706,9.215385790861752,15.26567462219094,14.634314968681483
45,8.684277097981782,6.238207634046164,9.425508414226211,15.683811078492061,15.003304667212168
46,8.805106964741181,6.253932845955464,9.548410950199868,16.030727044482255,15.357870109812968
47,9.048719201671874,6.265738849205921,9.716141772040451,16.459653829547673,15.75436822742743
48,9.263887330441747,6.3050400226107834,9.844829185974351,16.74129224868569,16.00787107746755
49,9.337147405709114,6.34238081720345,10.01959574388448,17.098662835328827,16.263371776497046
50,9.516884026940367,6.350978324696657,10.147103181753128,17.149256447578047,16.580242752649767
51,9.570055711226688,6.371935258139136,10.288247111291643,17.26328026795957,16.79446565878056
52,9.645401489427687,6.401455204827272,10.437800045973912,17.436788861386425,17.06077936919787
53,9.836058602855381,6.415633642280582,10.532799462111232,17.63398292181438,17.38493005987955
54,9.889230287141702,6.424231149773787,10.714894420017764,17.814360719023306,17.614553035573266
55,9.986747285540302,6.446198383775903,10.911247610041329,18.070138976812768,17.86337488692299
56,10.07012868176078,6.454905486834005,11.180425517989352,18.333082552846747,18.220410129896955
57,10.170514384423253,6.46350299432721,11.389026547334606,18.557339261658946,18.479086506055488
58,10.28329825623654,6.472100501820416,11.45221543857636,18.889779378593293,18.8169685611821
59,10.361459359900286,6.555417410687707,11.606522155402512,19.158623350399,19.110638158222034
60,10.463484185680668,6.601282639609003,11.698171618393841,19.442022131839785,19.39144740395086
61,10.536414750186012,6.6471478685303,11.795541770835058,19.792015601024385,19.78368635361013
62,10.714488489866827,6.655745376023505,11.891534966688035,20.13334092998584,19.980728873917563
63,10.891420063260401,6.66434288351671,12.053026996813418,20.450867268058886,20.368413704923842
64,11.056893366962976,6.672940391009915,12.171119430308194,20.839399149393998,20.728540752299562
65,11.15975259357939,6.68153789850312,12.34115752153966,21.218474573817918,21.061289010336857
66,11.31232728673717,6.720111091132518,12.39510999084116,21.629548984970356,21.379455882685054
67,11.44009901422827,6.734289528585828,12.478093878887204,22.082091498268575,21.646686971995035
68,11.59063963942893,6.742887036079033,12.635286189052517,22.456747020949557,21.828786369302467
69,11.757464148731788,6.754693039329489,12.703899045501355,22.963127803389327,22.186111409939887
70,11.8607524745434,6.820099944836042,12.807767570181587,23.374769950567778,22.360012987948167
