Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta
0,0.7797543826693881,0.8434068245205646
1,0.6558291138342566,0.7082884190107304
2,0.6118961309415039,0.5127449948238
3,0.4398826082257538,0.4907845564005144
4,0.3449660235134417,0.48581545851262015
5,0.2764270892215297,0.4855485925784405
6,0.20483650180659846,0.4946003557487105
7,0.2155882268352057,0.4359053742319035
8,0.20733261707226863,0.4372281060234613
9,0.19519199560695116,0.438214098557905
10,0.16227988220450376,0.4388977087429928
11,0.15328482166346444,0.4378267608814115
12,0.153637502266368,0.4373734540552362
13,0.16017603412129527,0.435775617959594
14,0.1660446379230089,0.43560239643047644
15,0.16042420573488025,0.4356449925301421
16,0.11845221352822673,0.43479506100787796
17,0.10333295985517679,0.4351301507600094
18,0.09935306715495004,0.43514439965664914
19,0.10074862883675942,0.43543574222997056
20,0.10004097714307378,0.4366111058113461
21,0.09838316198715986,0.43696435572403497
22,0.0985182500800137,0.43736918499504374
23,0.09133111374677093,0.43820013530675395
24,0.09809904955072682,0.43823207060538005
25,0.0942371061539355,0.4386740736479099
26,0.08951819242498306,0.4383196095953861
27,0.08983047994503168,0.4380444084692924
28,0.08948918382748502,0.4379909104394536
29,0.09427833647716483,0.4381196098646236
30,0.09854424490231928,0.4381189166891666
31,0.09817805250821962,0.43826467249814594
32,0.0956947479645045,0.4385806418997059
33,0.0988714508938294,0.43827545201890794
34,0.09533659520566042,0.43878271945880565
35,0.09763443110038425,0.43868652561109733
36,0.09504333166738362,0.4390177757389774
37,0.09030554168459401,0.4394191718859446
38,0.08965081911121689,0.439560111693305
39,0.09054922540839726,0.43945976219769023
40,0.08601404008039532,0.43962388491619314
41,0.0895757426165146,0.43997452325342057
42,0.08342540086951336,0.4401022861231385
43,0.08254411382301022,0.4397585113513417
44,0.07231333435372629,0.43958844279175346
45,0.07356054597116754,0.43952713295925944
46,0.07358831666326275,0.43924710348882234
47,0.07242916064491084,0.43913878288081126
48,0.0710808073189111,0.43871950842921115
49,0.06747978970247567,0.4386388601251877
50,0.06542235038156188,0.4385254188446643
51,0.0670850273012992,0.43818035289933305
52,0.06827720796783805,0.4381481681428457
53,0.06871844958351817,0.43831428999200595
54,0.06822832943051901,0.43836864429778083
55,0.06694090308924987,0.4385584442983566
56,0.06683961243788114,0.43876466240709133
57,0.06725514302125613,0.4390975544000743
58,0.06698632242152182,0.4391141744958616
59,0.06365769388822032,0.4387605163765498
60,0.06624304721412874,0.4389790687200964
61,0.06626113389544327,0.43889560322610033
62,0.06736106763924196,0.43907084077642244
63,0.06549819609745852,0.4389768057665676
64,0.06559754385656329,0.4389079505960445
65,0.06647202589399973,0.4390096422254731
66,0.06950972327266076,0.4391962687878393
67,0.06957202147308135,0.4393715785715765
68,0.06968086246690798,0.4388797917468114
69,0.0627481586305743,0.4388405624750794
70,0.06394314625612738,0.43865045704620054
71,0.06281529446755475,0.438313053927196
72,0.06015112564823927,0.4384030237344227
73,0.059433104085972875,0.438673160932071
74,0.059551729728742106,0.43833109036130197
75,0.06051348662843896,0.4384311228365373
76,0.06070232703598235,0.4384061444213644
77,0.05994144045066013,0.43820763488253817
78,0.060876829208951835,0.43812484150501996
79,0.061150969487079175,0.43806252536457213
80,0.06125947986480825,0.43804248054382455
81,0.05928852954581282,0.43778265258973886
82,0.058933133302003615,0.4376478907066777
83,0.058906862555405295,0.4378669870612226
84,0.05987397205571928,0.4379633339729317
85,0.06203618142508989,0.43797479925410887
86,0.06268216657482398,0.4379707242539167
87,0.06262591957833373,0.43791387455989517
88,0.06252688276435692,0.4379502076887671
89,0.062095795168365206,0.4380511619520326
90,0.06165737168724269,0.4381200146145475
91,0.05945311473012577,0.4381766612152969
92,0.0558977484423591,0.43796193207523854
93,0.05517361320952442,0.43793516665955323
94,0.05579823284312648,0.4380507445373835
95,0.05617683084944164,0.43813996648059944
96,0.05668676667116257,0.43822340623082046
97,0.05108141312103052,0.4382726038666321
98,0.048985928208886934,0.4384142107851227
99,0.049087842861451625,0.4381654661244133
100,0.04916626175833937,0.43804646437884687
101,0.050022275083646074,0.43801940467209405
102,0.05018873422532416,0.4379443578000927
103,0.04541522923809506,0.4378650087228431
104,0.04439760622994615,0.4379152452322487
105,0.045030870081552696,0.4378522137409816
106,0.044321876451017705,0.4378255112597616
107,0.0441927824723992,0.43766419439752813
108,0.0441073198237754,0.43757334942505616
109,0.04452245248980705,0.4377398688630481
110,0.04636162562380777,0.4379166935731299
111,0.04631459993123431,0.4378733006216292
112,0.0464740488529526,0.43772783303488527
113,0.04954138387060719,0.43775035246890137
114,0.049732096983458776,0.4377368558057886
115,0.04987905674921688,0.4377061288290305
116,0.05118492946024589,0.43773308064299554
117,0.05066356427194246,0.4378136203881362
118,0.04993890743295089,0.4378965557724839
119,0.04709988595524821,0.43795847580774766
120,0.04858716314751268,0.43791430596182906
121,0.047262265625785616,0.4379598607548208
122,0.04736833436332399,0.43806385729716596
123,0.047548667631907834,0.438234558412517
124,0.0495613919981668,0.4381691253967636
125,0.050373644050089504,0.4380862718217693
126,0.04918220402747729,0.43800768273077306
127,0.04862076937483699,0.43781347675601917
128,0.048676671635929106,0.43775114011906224
129,0.05030533744677618,0.43754092711672765
130,0.05083815974007814,0.4338095364833868
