Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.2687480013488135,0.6521892844698387
1,0.537496002697627,1.0977206224097915
2,0.8559804938704308,1.4188078215052964
3,1.1405014476349735,1.7398950206008013
4,1.6569263253371704,2.060982219696306
5,2.4454526502213345,2.382069418791811
6,2.890102675825765,2.703156617887316
7,3.315669045138345,3.0242438169828207
8,3.634153536311149,3.3453310160783256
9,3.9186744900756914,3.6664182151738305
10,4.57086377454553,3.9875054142693354
11,4.855384728310073,4.308592613364841
12,5.139905682074615,4.6296798124603455
13,5.424426635839158,4.95076701155585
14,5.7089475896037,5.271854210651355
15,5.993468543368243,5.59294140974686
16,6.058999223778046,5.914028608842365
17,6.124529904187849,6.23511580793787
18,6.190060584597652,6.556203007033375
19,6.255591265007455,6.87729020612888
20,6.772016142709652,7.1983774052243845
21,7.217547480649605,7.519464604319889
22,7.283078161059408,7.840551803415394
23,7.348608841469211,8.1616390025109
24,7.414139521879014,8.482726201606404
25,7.479670202288817,8.803813400701909
26,7.54520088269862,9.124900599797414
27,7.813948884047434,9.445987798892919
28,8.406442533852525,9.767074997988423
