Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
0,0.6496490376527706,0.5828375390527957,0.5324936560864575,0.5828375390527957
1,0.9247491581641387,0.9015401173319649,0.9780575312348845,0.9015401173319649
2,1.2290676945476942,1.4232786872452692,1.3209699159578774,1.4232786872452692
3,1.5368787511148696,1.430815879504466,1.6503537245408235,1.667302191677262
4,1.675653812608724,1.4383530717636632,1.8426224052787301,1.8622704172847908
5,1.7688864106020834,1.4711031372752208,2.121834839201841,1.9531133429558243
6,1.9183766017972605,1.5044298587890268,2.3156885418134667,1.9690798218436183
7,2.422546940305425,1.5119670510482237,2.548360527512865,2.0477584392464157
8,2.60118211180297,1.5279335299360175,2.6543855234951614,2.0477584392464157
9,2.978381198731342,1.5279335299360175,2.767219350802568,2.0561877258750125
10,2.978381198731342,1.5734767116641997,2.8750848300948815,2.10840316235892
11,3.268865902387266,1.6152327198066025,2.8910513089826755,2.2435371114107974
12,3.5051122803251014,1.6152327198066025,2.8994805956112724,2.3321137658138396
13,3.537862345836659,1.6152327198066025,2.9079098822398697,2.3663325816970455
14,3.657126460847068,1.6227699120657995,3.02990135710996,2.474198060989359
15,3.800113105715693,1.6719318162278605,3.045867835997754,2.481735253248556
16,3.831971076857851,1.727181749117097,3.077725807139912,2.481735253248556
17,4.0544274153304425,1.727181749117097,3.1095837782820697,2.5135932243907133
18,4.216425218104114,1.734718941376294,3.238190191966069,2.5211304166499104
19,4.324290697396427,1.734718941376294,3.3181708529750353,2.5286676089091076
20,4.357617418910233,1.743148228004891,3.3341373318628293,2.575488255169747
21,4.458387209162789,1.743148228004891,3.341674524122026,2.575488255169747
22,4.582254508193283,1.743148228004891,3.3779234817181396,2.575488255169747
23,4.933851714615769,1.7764749495186969,3.4097814528602974,2.583917541798344
24,5.1425392774749525,1.7764749495186969,3.4097814528602974,2.599884020686138
25,5.4218116831606205,1.7764749495186969,3.528447318845962,2.6083133073147353
26,5.512418479276571,1.7764749495186969,3.528447318845962,2.6242797862025293
27,5.612746766309686,1.8083329206608547,3.535984511105159,2.631816978461726
28,5.7396485617455095,1.852119070516165,3.7478138480520764,2.639354170720923
29,5.973942064305449,1.852119070516165,3.755351040311273,2.665143699975532
30,6.309985305197748,1.852119070516165,3.7628882325704702,2.672680892234729
31,6.541828818848861,1.852119070516165,3.770425424829667,2.681110178863326
32,6.642157105881978,1.8596562627753621,3.815968606557849,2.69707665775112
33,6.642157105881978,1.9003888803088258,3.86423841635051,2.722866187005729
34,6.642157105881978,1.9261784095634347,3.871775608609707,2.7561929085195347
35,6.843206988315747,1.9261784095634347,3.9218859167472764,2.7561929085195347
36,6.971813401999746,1.9337156018226316,3.9378523956350704,2.7646221951481316
37,7.3064865670134775,1.9496820807104256,4.01678059455199,2.7646221951481316
38,7.576978843140557,1.9656485595982196,4.024317786811187,2.7646221951481316
39,7.778028725574326,1.9731857518574167,4.072587596603848,2.7721593874073287
40,7.778028725574326,1.9731857518574167,4.080124788863044,2.8139153955497314
41,7.8187613431077905,1.9731857518574167,4.187990268155358,2.8223446821783282
42,7.945466005531071,1.9731857518574167,4.274266067417003,2.8223446821783282
43,8.391923349641534,1.9816150384860136,4.281803259676201,2.8298818744375254
44,8.747218937133376,1.9891522307452107,4.289340451935397,2.8298818744375254
45,8.911842541784457,1.9891522307452107,4.296877644194594,2.8298818744375254
46,8.997814586674274,1.9966894230044077,4.312844123082388,2.8374190666967225
47,9.070258055424043,1.9966894230044077,4.320381315341585,2.863208595951331
48,9.17628305140634,2.0042266152636046,4.327918507600782,2.863208595951331
49,9.320738446646613,2.0497697969917867,4.335455699859979,2.863208595951331
50,9.525929730041906,2.0581990836203836,4.423074041294359,2.871637882579928
51,9.557787701184065,2.0741655625081776,4.430611233553556,2.871637882579928
52,9.727605168888717,2.0901320413959716,4.438148425812753,2.871637882579928
53,9.820837766882075,2.1060985202837657,4.44657771244135,2.871637882579928
54,9.906809811771891,2.1220649991715597,4.454114904700547,2.871637882579928
55,10.168872801270375,2.1539229703137175,4.461652096959744,2.879175074839125
56,10.479189941940392,2.1539229703137175,4.46918928921894,2.8867122670983223
57,10.63075811965087,2.161460162572914,4.476726481478138,2.912501796352931
58,11.007622380081772,2.161460162572914,4.484263673737335,2.912501796352931
59,11.053165561809953,2.161460162572914,4.484263673737335,2.912501796352931
60,11.211581075449539,2.161460162572914,4.491800865996532,2.920931082981528
61,11.297553120339355,2.161460162572914,4.499338058255729,2.929360369610125
62,11.625468178550651,2.1689973548321113,4.506875250514925,2.929360369610125
63,11.625468178550651,2.1765345470913084,4.514412442774122,2.945326848497919
64,11.998659841775602,2.202324076345917,4.5219496350333195,2.953756135126516
65,11.998659841775602,2.202324076345917,4.529486827292517,2.9621854217551133
66,12.130341810948075,2.2098612686051142,4.529486827292517,2.9621854217551133
67,12.335577970848298,2.2098612686051142,4.529486827292517,2.9706147083837102
68,12.500478214655034,2.217398460864311,4.537024019551714,2.979043995012307
69,12.69403909968151,2.224935653123508,4.537024019551714,2.979043995012307
70,12.809216256194542,2.224935653123508,4.54456121181091,2.995010473900101
71,12.809216256194542,2.233364939752105,4.552098404070107,2.995010473900101
72,12.809216256194542,2.233364939752105,4.659963883362421,2.995010473900101
73,13.138654030863908,2.233364939752105,4.659963883362421,3.0034397605286984
74,13.209795456007507,2.233364939752105,4.667501075621617,3.0118690471572953
