Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit,thompson check
65,11.718767135227553,7.95735347062529,16.397656161949524,10.494309547717995,19.572018029310005
66,11.893349408131979,8.031239569574876,16.40031334674294,10.523441301215424,19.741326650290162
67,12.111357388359899,8.03224302304124,16.417654658865814,10.58307226931162,19.894889831227665
68,12.381262403564723,8.03224302304124,16.46737160238515,10.625186031129747,20.005779034875875
69,12.381262403564723,8.079303235314686,16.541238873711624,10.6582864363107,20.034099623769272
70,12.584942920976374,8.099244758253622,16.70449564220366,10.740770770191522,20.06754008033962
71,12.67936133768848,8.121010865045573,16.85790897829045,10.762664344517187,20.16145703112393
72,12.749365792374048,8.14713650490548,16.863766334597795,10.82040280191112,20.38987250344892
73,12.823320254987195,8.14713650490548,17.028676164213095,10.842621597284685,20.5598455858399
74,13.041319728157243,8.195008113445956,17.116131462383343,10.905795498607443,20.606896243779097
75,13.21747673506911,8.273106502007774,17.145795243624484,10.92719657494386,20.653793953735573
76,13.337388517124115,8.30511248625992,17.34282922231492,10.968989565220838,20.76399025763973
77,13.574582709611889,8.352418396038562,17.347728269471666,11.006733417321808,20.82500483964153
78,13.574582709611889,8.407473871507047,17.534963036643973,11.018698946775013,20.876404583082298
79,13.729806383954278,8.435542442220584,17.557367566446754,11.042570061297022,20.90372809813536
80,13.91751505476129,8.487076879059318,17.584992733163695,11.093551676687552,20.94903431585655
81,13.959723037158417,8.550382876782722,17.59085008947104,11.094247098864008,21.174346248854675
82,14.09678457905276,8.649292177705064,17.591808398621637,11.179992764308157,21.34681616876966
83,14.09678457905276,8.696816946502537,17.61049147812754,11.213298997912448,21.500337944976756
84,14.09678457905276,8.709477898132196,17.647760368211358,11.231312756127112,21.521541572803518
85,14.259776224154567,8.774373569561758,17.687148408321413,11.236211803283862,21.598668899514056
86,14.367163826909835,8.867346808484921,17.777534493887874,11.303759650607518,21.64795724394136
87,14.456881009445862,8.93623587494552,17.81388677559341,11.384702595753637,21.673104761552917
88,14.549579726273404,8.942833797745092,17.888226748444584,11.468162458624464,21.838080074226195
89,14.612435797225995,9.012242647181484,18.071146074439053,11.494292585507637,21.864708167102798
90,14.861829434943084,9.114593886187837,18.134294848468443,11.514487284190482,21.865666476253395
91,14.870756369482299,9.129836733702817,18.181894724125776,11.58433255541892,21.892750425263902
92,15.012330866432729,9.145457606276812,18.275344499333567,11.601673867541791,21.94622617180466
93,15.012330866432729,9.173386757532901,18.378009905554045,11.653446920343987,22.02368117334959
94,15.204248306628568,9.229522908972928,18.41232587941101,11.67738151066861,22.19832697713441
95,15.32167202074144,9.25676192545628,18.555498440096773,11.698152247237868,22.20548125832636
96,15.465921820954893,9.258723688073237,18.781595984728988,11.714604220741952,22.30165451631307
97,15.465921820954893,9.292904008315718,18.825145049927997,11.721758501933897,22.39157227524221
98,15.594713922627857,9.293862317466312,18.875563380284824,11.760441675457447,22.526954479848023
99,15.675889849171037,9.323556835078824,18.890105628351996,11.789434209956383,22.693737662521762
100,15.74390091994012,9.32425225725528,18.999012125589438,11.805560570003312,22.694695971672356
101,15.845438482816267,9.34746373015888,19.054276003540085,11.8443029584626,22.79841845012925
102,15.927270999889913,9.450368702421912,19.13434521779083,11.990369945756253,22.801075634922668
103,15.987770324710677,9.45647687556777,19.169387545094175,12.048921833270779,22.908167200192324
104,15.987770324710677,9.528509396915007,19.194899396348738,12.057774990105543,22.922709448259493
105,15.987770324710677,9.542335378610973,19.246980480440847,12.0597367527225,22.959992283321306
106,16.06737327402776,9.63195282727349,19.289829052221314,12.099805013716423,23.02898048234996
107,16.127022465565155,9.643918356726692,19.47868637055983,12.106665823490133,23.03163766714338
108,16.175124920918904,9.66584485862957,19.553621599701085,12.147181961695887,23.076581770185904
109,16.19537447514775,9.672705668403278,19.60338581404838,12.21019778025953,23.268014695314026
110,16.263606274853068,9.686990206767664,19.658739605581367,12.212854965052946,23.38755038864578
111,16.381190009757635,9.76578103447938,19.672002059919173,12.275815407215443,23.3902075734392
112,16.381190009757635,9.789100274167895,19.679068542215628,12.291103399046191,23.538001831173073
113,16.470687454281247,9.818092808666831,19.755356904055102,12.340180992320029,23.636827174402878
114,16.55942185108345,9.84201355106349,19.762423386351557,12.367291253882971,23.764562869591096
115,16.726530400846396,9.849212976571202,19.77438891580476,12.388730128510371,23.797955250586774
116,16.898321246484837,9.860307995769302,19.889783739157515,12.438245489328954,23.81940147123896
117,17.011013392507913,9.886929709019878,19.937162456788535,12.452170438265998,23.832195366079883
118,17.011013392507913,9.919793661774946,19.938120765939132,12.498958841718302,23.922029927755425
119,17.09555148284962,9.945128130092735,20.05534466636576,12.537980994666139,24.000727857286122
120,17.196811863105527,9.970462598410524,20.15756982244889,12.544578917465708,24.013388808915785
121,17.239019845502654,10.044108189297035,20.15756982244889,12.576983900470207,24.048733813651697
