Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,LinTSTheta
0,0.9310986485794134,0.8029542016799206,0.8396412102889012
1,0.9279005583837057,0.635783125464291,0.7517052984769769
2,0.918647382812919,0.3939748000449586,0.6236559013375275
3,0.4102146938098174,0.3909726511215567,0.6106562225498098
4,0.40099300489390854,0.390818448932851,0.6080525116203819
5,0.39366523227020506,0.39084770112380246,0.6043244180758625
6,0.3883124474659631,0.390640959975341,0.6006025219038083
7,0.3848464629970149,0.39086675546519944,0.5973096365026522
8,0.38644778352796716,0.3906515291331175,0.5984021748666322
9,0.3863632126961953,0.3906961899461203,0.5980665361083284
10,0.38564131321568057,0.3906560737294613,0.5972269128217872
11,0.3855303489294239,0.3906731105499832,0.5969561958070327
12,0.38523051291382054,0.39066110563543577,0.5965354577661096
13,0.3925995070114579,0.3907092512828385,0.5951238876704719
14,0.38447768060336274,0.3906723332912506,0.595108719185952
15,0.3840595247344174,0.3907035180117311,0.5948076264958312
16,0.38489609208949077,0.39080418000045875,0.5943876467449681
17,0.3846885053338523,0.3908105314794571,0.5942707647666609
18,0.38188584715532525,0.3907070902007128,0.5944570167788531
19,0.3866142816978962,0.39095019477651893,0.5938737642766654
20,0.38413863271569326,0.39083811836916066,0.5939866119293924
21,0.38364492237162556,0.3908891440074247,0.5938451683125989
22,0.3829030076809827,0.3912277297952643,0.5934376808169697
23,0.3826952748651632,0.3915625670266459,0.5932004230188093
24,0.3827218508764577,0.39140331179087984,0.5932572946823854
25,0.3828278656856238,0.3911626545317123,0.5933917179889803
26,0.38294195460668823,0.39100921301143304,0.5935020742572147
27,0.3835780129507096,0.39071363062924613,0.5939470513949637
28,0.38313155731699383,0.3908342038497637,0.5936678640465102
29,0.3830209928008952,0.3908788004275838,0.5935778692525628
30,0.38274477066618395,0.39104959140343704,0.5933714697390459
31,0.38078170147281776,0.3909734918592489,0.5934250238157368
32,0.3807701021105726,0.3909639756172412,0.5934169734621985
33,0.38066926625563896,0.3911011461418673,0.5932800175400827
34,0.38065479176147976,0.39112541921551136,0.5932485639753267
35,0.38067790883061153,0.3910427228782109,0.5932993048272008
36,0.3806647587410211,0.3910584656878745,0.5932741640149057
37,0.37875741208439423,0.3909223035214702,0.5933875464487387
38,0.3784586640999974,0.39090255437093857,0.5933970983890372
39,0.3777724784974836,0.3908158833236217,0.5934966810083997
40,0.3777681823088024,0.3908477199054765,0.593440597641616
41,0.37779841437249684,0.3909654063785538,0.5933010750484945
42,0.37777810772617465,0.3909070496732029,0.5933498318515009
43,0.3778426280327707,0.3910398636600419,0.5932213638957922
44,0.37781820900021557,0.39099537687905755,0.5932491933750192
45,0.3777693872662204,0.3908524591813877,0.593386095867507
46,0.3777800126926887,0.3909001999415862,0.5933233962447307
47,0.3777700871293919,0.39085204620638103,0.5933706133771295
48,0.3777860290386287,0.3907472176797797,0.5935214795380764
49,0.3777835719801428,0.3907491838585969,0.593509761204556
