Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.33667197814354966,0.48848115826245336,0.6339400437382906,0.5109241181601003
1,0.6795275578847234,1.1208253952216043,1.1068514881582971,1.0548881857880794
2,1.1160035673610706,1.5105238903352598,1.422688317303759,1.4968369327523294
3,1.4683536494729679,1.8563188412291205,2.0840901684952517,1.9059339681830008
4,1.8920634576561235,2.2933770905799817,2.5486562955754235,2.225626133882046
5,2.2254814655677273,2.754087795510725,2.9404634568829424,2.330261103078437
6,2.469235155514153,3.031134544413186,3.150367776899948,2.6479286321933033
7,3.0052017922695184,3.384689690056917,3.2939822030406467,2.7398300234087642
8,3.682523993948299,3.6798702808076245,3.2973104566543947,2.9824241508773466
9,3.8542013098302577,4.033842790000959,3.4159198845388437,3.0570228297910003
10,4.023919345024341,4.217195543965816,3.489312712243778,3.1677958620267517
11,4.549135447051368,4.3802381939579265,3.6911833427530505,3.264369105534022
12,4.934474679579312,4.950563676755897,3.854860552729451,3.4518204510292123
13,5.429940537891431,5.156838631040271,3.983181331189212,3.623348765047619
14,5.649019857021159,5.3901318058323,4.204768246500384,3.764667563679294
15,5.997994859653181,5.724856678217091,4.3564899549732745,3.8261710049331605
16,6.305020758123848,5.807448045036217,4.494679867244107,3.884346192573279
17,6.508437890523879,6.080127704012385,4.494679867244107,3.9858779176355954
18,6.744107863503662,6.141631145266252,4.634966039771057,4.012386587051679
19,6.872428641963424,6.333914272659591,4.8742319136258905,4.272830312582259
20,7.112034158067786,6.515817113950104,4.877560167239638,4.283299899456437
21,7.195096965320628,6.573992301590222,4.924244958275584,4.371511377379292
22,7.34858073826214,6.573992301590222,5.140667829281947,4.501201128764926
23,7.4599733130926325,6.768447683673557,5.24197454486459,4.501201128764926
24,7.623650523069034,6.775589016933988,5.400968648154971,4.501201128764926
25,7.7285915184735545,6.983911226869234,5.481419931327956,4.544557666187123
26,8.189273406187095,7.196916543490498,5.508127967996945,4.547885919800871
27,8.387856784684882,7.549198658627981,5.581321428448974,4.601102625885944
