Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.45847036142752806,0.3977725488070622
1,0.9742883146854453,0.6520458563670477
2,0.9742883146854453,1.1105162177945758
3,1.546311279244843,1.2232973448137385
4,1.546311279244843,1.6051524040751597
5,1.955735533198569,2.0086496251892108
6,1.955735533198569,2.6631056402566933
7,2.641371276037942,2.8768493317603268
8,2.641371276037942,3.258704391021748
9,2.641371276037942,3.7746676790956792
10,3.044868497151993,4.429123694163161
11,3.044868497151993,5.136178696416938
12,3.044868497151993,5.136178696416938
13,3.044868497151993,5.472978900140159
14,3.044868497151993,6.179673651044114
15,3.454292751105719,6.484534303243418
16,3.83614781036714,6.789394955442722
17,3.83614781036714,6.8584297933606395
18,3.90670945054006,7.374393081434571
19,3.90670945054006,7.777890302548622
20,3.90670945054006,8.224625178912358
21,3.90670945054006,8.910260921751732
22,3.90670945054006,9.48228388631113
23,3.90670945054006,9.55284552648405
24,4.072788565831647,9.766589217987685
25,4.072788565831647,10.282407171245602
26,4.779843568085424,10.989101922149557
27,4.779843568085424,10.989101922149557
28,4.779843568085424,11.059663562322477
