Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
44,10.736347608480868,11.31545370336411,17.72175820604244,13.979278161013161,18.651092098654754,18.797747397801327
45,10.856228151574737,11.318705200498211,18.041894258969055,14.174348864059203,19.15439407991325,19.141534666346185
46,11.085691201974333,11.318705200498211,18.424574048127216,14.419475777496478,19.76353991442655,19.624576350748278
47,11.265053373430455,11.359374585330427,18.836644804270215,14.625513941469347,20.437174294532518,20.063743820294786
48,11.432733277019043,11.383356522570908,19.16504582871412,14.911057042868615,20.99920415532754,20.298498741603083
49,11.569746641550811,11.386608019705008,19.517319739525522,15.147685802800996,21.57571827172714,20.69292611628324
50,11.730607276869197,11.417547312419405,20.000611463422267,15.537759398610586,21.939466769288412,21.067025309425905
51,11.930886065954343,11.441006373625271,20.38945628484864,15.751102354883326,22.109201977202513,21.474738785875815
52,12.07046435120379,11.44142142906766,20.733929958253142,15.95566209992629,22.33546191145512,21.80539664733911
53,12.185197891012102,11.441836484510048,20.94558244621593,16.162381478447024,22.530991417709593,22.22045080505028
54,12.313311335803371,11.442251539952437,21.254209159934895,16.334487061554704,22.794399520043214,22.613422372008433
55,12.473889094097666,11.459323906130761,21.458767843145015,16.583658736649937,23.073732918948313,23.01719036808486
56,12.726950777100392,11.46257540326486,21.8001399731223,16.761023580975607,23.418638121830394,23.34124294665515
57,12.825140739562135,11.46257540326486,22.115331752062588,17.007936039274767,23.72957060332882,23.749968013213017
58,12.976119782972159,11.46257540326486,22.37789282616496,17.12727342283924,24.091011980439923,24.03393575526532
59,13.302455741606812,11.46257540326486,22.819735406502083,17.23917508538023,24.436389144907118,24.462691660206428
60,13.504993068865991,11.470999173969995,23.227883902534206,17.502460952650246,24.832840097084304,24.82589911720024
61,13.588917013641511,11.479422944675127,23.683497362681116,17.7560338478304,25.219433285631712,25.19041291873442
62,13.724000555304704,11.487846715380261,24.019838695157507,17.88892505275954,25.500441666871033,25.546563289938486
63,13.886109619061376,11.487846715380261,24.379002039593747,18.115176487674045,25.91449236280779,25.82575029869351
64,13.991124987613247,11.487846715380261,24.57914432461344,18.221695700387794,26.2834882895822,26.13396280394476
65,14.121160871482374,11.487846715380261,24.767294657320555,18.416616976761166,26.579065413323814,26.574653711876334
66,14.350731845066994,11.487846715380261,24.984735788311532,18.62782621615282,26.995853113845875,26.912538980657654
67,14.473526327529342,11.49109821251436,25.311530178786096,18.75890366326656,27.4250234615537,27.384503532764892
68,14.662142822830281,11.49109821251436,25.591368779333123,18.912099606870278,27.870387167763614,27.64281205004009
69,14.861594012232377,11.49151326795675,25.91762721904371,19.221342813535163,28.296739774491108,27.94206960547877
70,14.951179711026606,11.49151326795675,26.157372847378042,19.35192591752257,28.739824680172553,28.39121000075273
71,15.101189845059574,11.49151326795675,26.378071651978438,19.64725135288867,29.251845477617515,28.7276546275533
72,15.177229980767484,11.49151326795675,26.626634737742656,19.72982868352807,29.723785806670435,29.17374494467826
73,15.481603621067938,11.49151326795675,26.831799793981343,19.87537314165653,30.028656103933834,29.693121300065265
74,15.571560084199282,11.49151326795675,27.077714509073946,20.057489105244247,30.398250322604543,30.049729093197698
75,15.692768372737756,11.49151326795675,27.351326724492413,20.21239984689179,30.823273297492637,30.420340204446244
76,15.926159540376048,11.49151326795675,27.786920367322654,20.39387247520446,31.26010015309736,30.841112574399112
77,16.082217084268766,11.49151326795675,28.098652570242827,20.5436283509255,31.6334339457275,31.217204140518344
78,16.177043718971724,11.491928323399138,28.52099433476035,20.67218786351732,31.946060398742354,31.505707563008485
79,16.27970443241163,11.492343378841527,28.837193346106694,20.85178434115827,32.43279277834458,31.99731041830905
80,16.44733461099362,11.501985436799997,29.056548324907613,21.024230775667426,32.767052280594704,32.35540509904432
81,16.651606590671506,11.519402640414617,29.459735471667194,21.152548267146553,33.110146307488314,32.741932649700566
82,16.69888907261962,11.519817695857006,29.79472898499667,21.293628911343994,33.53274153522377,33.21289900473515
83,16.746171554567738,11.520232751299394,30.110590121455477,21.458451014534255,33.8247682635776,33.604043077952085
84,16.81648316255765,11.520647806741783,30.42496325740753,21.69123883357056,34.166554551467826,33.84213083694365
85,16.903947194885735,11.521062862184172,30.704942427340296,21.84784806979749,34.53191845540685,34.18951212136576
86,16.9691514988865,11.52147791762656,31.15339052536162,22.0125497505883,34.86186184365574,34.50332090630183
87,17.08963899080488,11.52189297306895,31.42095362912793,22.197112104109696,35.20228174417723,34.803311686299715
88,17.34897170898369,11.522308028511338,31.774230753915027,22.295256466116538,35.541005556191706,35.0902832681735
