Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,PHELinearBanditTheta
66,0.05983187319230885,0.04843960103748951,0.1915998717280585,1.0
67,0.05814645913202211,0.04781645497245005,0.12360571918479865,1.0
68,0.05773241613909212,0.04753389071072918,0.17131024573272025,1.0
69,0.05519971020181867,0.04764385081038572,0.14186675264207765,1.0
70,0.05543367520890644,0.048158982949222995,0.10864015572528254,1.0
71,0.05458338706691326,0.04812233660949119,0.1125451277935462,1.0
72,0.05349785626406224,0.047991272703876056,0.14200819945727355,1.0
73,0.05280796058383519,0.04835861324123632,0.12223901980278358,1.0
74,0.052248711391231085,0.047845233671669776,0.1359061175854393,1.0
75,0.05303493660198957,0.048414431895230994,0.14787460611800907,1.0
76,0.05163811028068095,0.04799315435931861,0.07283877669000016,1.0
77,0.05141262867598147,0.04733852327016758,0.11402159635390982,1.0
78,0.05120478699635954,0.047374590383305146,0.12529075077484483,1.0
79,0.05152945481584166,0.04710091517869362,0.1638414103080415,1.0
80,0.050874336666601405,0.046520858084572125,0.1475336084136646,1.0
81,0.05207849591585415,0.04656997139391409,0.12325762373221456,1.0
82,0.05268509257194609,0.04672882964323802,0.11103510394774088,1.0
83,0.0520299007102674,0.046748726850843234,0.11085882766761387,1.0
84,0.05060370091252705,0.047053658773419285,0.09926071711612265,1.0
85,0.0505165655232309,0.0469706261898873,0.11147178476855182,1.0
86,0.05106860689016448,0.04700109038245841,0.11618383792454023,1.0
87,0.050714114790692086,0.04754889274129227,0.11543334463451907,1.0
88,0.05015684023762494,0.047475146908718846,0.1389932293327481,1.0
89,0.05024966304396113,0.04764794700949439,0.13010827895550883,1.0
90,0.04986633883462148,0.047403045672793076,0.15689492529080568,1.0
91,0.05041614119730732,0.047462847914634815,0.11334768612542648,1.0
92,0.05025189353436684,0.04746437237091186,0.12048844536477035,1.0
93,0.049155344356230854,0.04821101221469491,0.1452843291298007,1.0
94,0.04937258363867472,0.048065734325076534,0.14290396835536595,1.0
95,0.04983606991533385,0.04779653877232953,0.11633341491115883,1.0
96,0.04949827461464166,0.047509890598638464,0.0979734874637603,1.0
97,0.04929739269095965,0.04739696171006834,0.11978768931977615,1.0
98,0.04910587866141175,0.04736112669655641,0.10221158706312564,1.0
99,0.04745398222844067,0.04792439589309243,0.13264965436685905,1.0
100,0.0466707794503613,0.04797936688954189,0.08287976054796233,1.0
101,0.046705212344442484,0.04804426820502875,0.108324550847435,1.0
102,0.04621689036912131,0.04736911413630841,0.1027446236403815,1.0
103,0.045683752010253945,0.04733497731890547,0.1273841866519122,1.0
104,0.04527709812742612,0.0476502358998885,0.13225124290726903,1.0
105,0.04696956481636221,0.04788663215210982,0.10703372423251231,1.0
106,0.045180775200582356,0.04852832310864977,0.10152406763410718,1.0
107,0.04606359323427238,0.049144453254473766,0.10318763527221711,1.0
108,0.0466028259670066,0.04906827481330898,0.14201955961045176,1.0
109,0.048029126407304105,0.04875341452325308,0.1263750835333411,1.0
110,0.0456650719799878,0.04865909636672844,0.1615315123424021,1.0
111,0.04568827551334993,0.04886901185702336,0.12778135019736692,1.0
112,0.04565517202988569,0.04880854539220415,0.11217446884665216,1.0
113,0.04540504054515397,0.048234287742024214,0.16818524012136638,1.0
114,0.04403892084496881,0.04847597183880768,0.11555578692273079,1.0
115,0.044066942365462,0.04812901702909934,0.13741978384074682,1.0
116,0.04522714611266653,0.047747817096230584,0.09985918222806464,1.0
117,0.04271360083984623,0.04817340432732238,0.11424357514870039,1.0
118,0.04238762524484761,0.04849049826898644,0.1341713836846115,1.0
119,0.04272789860724088,0.04761343773253804,0.13137762699803957,1.0
120,0.04316539939743044,0.04748589676486431,0.13889728616760189,1.0
121,0.04312191174081917,0.04762566086566587,0.12740570606817667,1.0
122,0.04452046725110738,0.04761816706996291,0.13159201401638917,1.0
123,0.044329599120456274,0.04764141569471208,0.12440203493186106,1.0
124,0.04358156201316426,0.04742870964841543,0.10768744552469071,1.0
125,0.043357915035153884,0.04731875706003389,0.10194724665406019,1.0
126,0.042728292166041265,0.047524124666147693,0.11098991138494455,1.0
127,0.04281641685669571,0.04735549470763737,0.12263873413277018,1.0
128,0.04201002448034709,0.0475892946926645,0.18820614598604307,1.0
129,0.04171557245200245,0.04730493218267412,0.13764725129994665,1.0
130,0.04190752255449696,0.04694192793733296,0.12946796835686752,1.0
131,0.04197211740890221,0.04682371834148053,0.10397189126210844,1.0
132,0.04185435771130674,0.04669221259151182,0.10878958704460226,1.0
133,0.04176447043381404,0.04678186395443347,0.13452676589372908,1.0
134,0.041259260313064566,0.046864797599366605,0.1387405086017209,1.0
135,0.04093585139228002,0.046550444430142154,0.13436539650239815,1.0
136,0.0409955926980814,0.046579092193085515,0.12005271656370961,1.0
137,0.040763560576836284,0.04638554565477658,0.09964906452997287,1.0
138,0.03998839723318656,0.04675825610369004,0.13224180927804244,1.0
139,0.04039859394065769,0.04664092197324375,0.14670179976141348,1.0
140,0.04039739998731887,0.0468612908033903,0.11919784771529315,1.0
141,0.0401852627235482,0.046620141407055095,0.12664011924256965,1.0
142,0.040285866342364765,0.04644172251004356,0.13191768275244933,1.0
143,0.039580609401516635,0.04696762264831954,0.15219639810144192,1.0
144,0.03841902030814461,0.04722327438787514,0.143326640568091,1.0
145,0.039554421284509395,0.04725354934333152,0.1175043434203938,1.0
146,0.03999005146461827,0.04707615323623478,0.1426297210661346,1.0
147,0.03999807298981818,0.04716913552967209,0.1021445572218636,1.0
148,0.040543364239606125,0.04758346065315827,0.11365608645191835,1.0
149,0.040551287678873914,0.047433229882827,0.10993750828834606,1.0
150,0.0398008196566608,0.047526123372552645,0.15757596470130286,1.0
151,0.039748237714530746,0.04741508449975685,0.12827575166952343,1.0
152,0.03990792201713406,0.04743894219425036,0.1374855052477868,1.0
153,0.04039731846116183,0.04691299680321168,0.12555395949021003,1.0
154,0.04008386396923886,0.047252114477249516,0.11541871225211123,1.0
155,0.04012915750235198,0.047130172300817195,0.11972749578963089,1.0
156,0.03928216272812635,0.04712272660203182,0.10461276941776776,1.0
157,0.03926578787630298,0.047251153578198576,0.11342008071631833,1.0
158,0.04081831097572524,0.047528488094249664,0.08799949624513202,1.0
159,0.042448526192349276,0.04757290098887956,0.12155976119487402,1.0
160,0.041923116295914005,0.04794929996060243,0.10221166780608545,1.0
161,0.042009039017428314,0.047770416223743284,0.12890236652751416,1.0
162,0.041745885775981775,0.04768980572296864,0.12718838832025542,1.0
163,0.04163757625947364,0.047326249845909295,0.11542967919249429,1.0
164,0.042586069607163116,0.04739129069735753,0.1370996293927828,1.0
165,0.04171013389237512,0.047302537524238235,0.11625594293762756,1.0
166,0.04150546705959813,0.04685218701916931,0.16242527521058037,1.0
167,0.040691621318499835,0.046863181481254026,0.10412041564489749,1.0
168,0.04074118150445975,0.047112023493732905,0.13285799671741294,1.0
169,0.0408320317332301,0.04699496719788221,0.09388674985106249,1.0
170,0.04179937327223247,0.04703238449364931,0.13929742602773715,1.0
171,0.04233392379833722,0.046742556074981303,0.09329716130730445,1.0
172,0.042158384986888724,0.04683507583046236,0.1492753308133285,1.0
173,0.04222817871731859,0.04679184624456232,0.09484194888119798,1.0
174,0.043491801585159355,0.04705195951328248,0.09001499031864492,1.0
175,0.04467064516745333,0.047391894845477636,0.15062223627279347,1.0
176,0.04470622096592945,0.04724190549718556,0.1455426806657132,1.0
177,0.044583209579937604,0.04702446052334743,0.1260357208470728,1.0
178,0.04452118873404652,0.047084835089111064,0.11585517241904844,1.0
179,0.04442215782850826,0.047226334239242794,0.11467684380476026,1.0
180,0.04378483128009304,0.04699595588540709,0.13051363575912828,1.0
181,0.043817355278466454,0.046921464172461416,0.13944270627357666,1.0
182,0.04387208621563873,0.04711483007276009,0.12439911632903337,1.0
183,0.044128503232673845,0.047266156287284915,0.09111665049564291,1.0
184,0.043479419365167166,0.047133756665162126,0.12228148001120391,1.0
185,0.04310097382469199,0.04709518320313654,0.1622984460104771,1.0
186,0.042966662579708284,0.04727235236417863,0.12424609393854362,1.0
187,0.043001485667181025,0.0473550794155523,0.08703614103830562,1.0
188,0.04227111582505229,0.047187561277461466,0.1007263246315864,1.0
189,0.04263122737662313,0.04732150854140227,0.08926761706752892,1.0
190,0.042638511757117206,0.047275447380410576,0.11274647075836694,1.0
191,0.04260597577400149,0.047168409446228646,0.13829909694291345,1.0
192,0.04258218756067679,0.04722335159019089,0.10247565913925401,1.0
193,0.04230793680538069,0.04726024534351207,0.10122552607983362,1.0
194,0.040365003581887576,0.047296242304516664,0.14041407941795844,1.0
195,0.040355034501758626,0.04705129098749828,0.08644669369331201,1.0
196,0.039958308881470894,0.04685368168902512,0.11632143388877272,1.0
197,0.04024637507176593,0.04684624994988477,0.12535788372761722,1.0
198,0.04037737174494992,0.046951817352503686,0.1430303108451278,1.0
199,0.04032898575716347,0.04679548453810972,0.09036004863587037,1.0
200,0.04093997177030328,0.04693220601667842,0.12233210802320038,1.0
201,0.03866281984690591,0.04704163665265234,0.1419671920513283,1.0
202,0.038635709399105087,0.047089673451415195,0.13153390977728216,1.0
203,0.03977996975205605,0.04700743884316614,0.09021085838032686,1.0
204,0.039345264961981416,0.046991539609799245,0.11062769274339586,1.0
205,0.03947951865667708,0.046928835736019046,0.1287183077229306,1.0
