Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,HEHEHEHHETheta
0,0.9785352913230095,0.9789893148087915,15.736123824092383,0.9791970022162928
1,0.9721424921233368,0.9619494604237644,13.945438839849576,0.9509680303968228
2,0.95419614721489,0.9584665235891467,15.214138392737453,0.9317577629334881
3,0.9269054355160501,0.9431157007288895,14.571048207490435,0.9005233680319163
4,0.9125718832297961,0.9257303459094703,12.356057338894527,0.8846161099318458
5,0.9010108688226299,0.8950138945816668,13.50931715009007,0.869517564657863
6,0.89156186806114,0.8711777567674606,13.163224599448531,0.8648132053595032
7,0.8815704344297046,0.8517106333886794,12.126171982608938,0.8647756450300159
8,0.8773045824844719,0.8313832014427252,11.822337915023944,0.8625033821544739
9,0.8749053938954494,0.8264735636502174,12.530011021310443,0.8335816389666352
10,0.8615909685705402,0.8201088303593453,10.923099242017802,0.8255506708944884
11,0.8574171073460555,0.7957796989385915,10.594882363218241,0.7987569939897524
12,0.8543190183415245,0.7842736547951045,11.8173977029769,0.8007197589980765
13,0.845768072067127,0.7713343220400156,9.71444319429814,0.7980439563785564
14,0.846697332486262,0.7612718007093657,11.715476134431533,0.7951709828694014
15,0.8346925328476008,0.7478157894076765,9.070698561271913,0.7838597286742337
16,0.8328096296846373,0.7332664071151317,8.980605676220847,0.7858627383965432
17,0.8287751742565369,0.6888247733820352,8.693387581896761,0.7807235117414969
18,0.8290303870895246,0.6767427776953225,7.509429175514266,0.7665616397766282
19,0.8315733606651982,0.662675993818051,6.1777306380983505,0.7599672634357242
20,0.8262259669970629,0.6630807682880626,6.817856615164139,0.7663273044022272
21,0.8190613707148783,0.6558589278733816,6.461536195532991,0.7601279503685862
22,0.8172883864269249,0.6537315204393968,5.5374025197488885,0.764844669750232
23,0.8186913580065642,0.644468414464485,5.612308863020241,0.7497245683434751
24,0.8109299112384699,0.6427466016629539,4.9007758430559205,0.7511224748693415
25,0.8101079636501556,0.644153508296943,4.149073878892376,0.7486421738497111
26,0.8176713298862124,0.6321889467808602,3.69240994985597,0.7526870310078972
27,0.813926506323458,0.6431067459400968,4.938647289148173,0.7591559370535563
28,0.8005337932554321,0.6441993381890029,3.9711705352762214,0.7511673918455284
29,0.8030734471829237,0.6436844104858073,3.876387640403371,0.7426393024876404
30,0.7991541070386695,0.6407514619546719,3.7247966280287677,0.7438954360943348
31,0.7944118860602067,0.6370947685351444,4.334284308432336,0.6932245266493029
32,0.7944579933062839,0.6373226078580426,3.1972509310294575,0.6870327453057429
33,0.7955698337356223,0.6400378635900265,3.7406937419313038,0.6797260062175356
34,0.7978703329461168,0.6405024131463651,3.6810529434301045,0.6581311965747016
35,0.7987322604315911,0.6418048073520789,3.637270131316329,0.647110397007534
36,0.7991802788975053,0.6416703638899206,3.4725962927188485,0.6448142179640806
37,0.7941775739549701,0.6403320799568188,3.765977792671683,0.6334683497400813
38,0.792301951632087,0.6403608357824002,3.178791918060552,0.6352611778448658
39,0.7912121304530124,0.6425372530013141,3.503956390039149,0.62237337606822
40,0.7872949954310998,0.6458176634879133,2.9159857725010014,0.6241785819338546
41,0.7789330331468061,0.6465939047958906,2.802452712758714,0.6224649831559964
42,0.7824708960429052,0.6449721782550768,3.054179969468214,0.6165849513796668
43,0.7816011758053948,0.6471933392321242,3.1788393826115415,0.6234004854331292
44,0.7813341202462682,0.6479221153384691,3.9457355452459604,0.621984652227798
45,0.7867071560862148,0.6479334467921346,2.588834551380282,0.6202263794632493
46,0.78656557481974,0.6468572573035501,2.7843510152963864,0.6158241743672386
47,0.7872002330491334,0.6466880870925222,2.9931185927835458,0.6127849476566631
48,0.7848308807664499,0.6458702999213001,2.398917355315551,0.6061282206170381
49,0.7805248490036318,0.6431763886857389,3.3003053229838706,0.5990810740410468
50,0.7815920379899072,0.6427765249273459,2.7147285509350674,0.5919218362156367
51,0.782423065904495,0.642113868934652,3.1722853491881997,0.5890938998268427
52,0.7840090822718055,0.6421402827450999,3.440227994047471,0.5887934633919845
53,0.7950909963902691,0.6415403777823456,2.909217958728534,0.591046891217171
54,0.7918283201761923,0.6424026164623297,2.746012648590228,0.5902751448029939
55,0.7703515606827607,0.6388685524321419,4.1442127224675485,0.5920023651119662
56,0.7685382630085857,0.6386498611442188,2.6420479283161873,0.5913438537875152
57,0.7674699826483886,0.6407270118643686,2.8602036618933857,0.5867968464385362
58,0.7681866446051357,0.640094337314199,3.3814340449716944,0.5892191824422295
59,0.7677080798329297,0.6408194321465785,2.3850623537222044,0.5890055257423961
60,0.7671080421900557,0.6405670905087745,2.9105958285203632,0.5861394797719478
61,0.763426602388979,0.6397931878953398,4.113723547423427,0.5867013157472087
62,0.7620409848978599,0.638544799153666,2.858178551347309,0.5656596808685767
63,0.760325591461245,0.6381081224876403,2.9074447570508815,0.5760740030901725
64,0.7599087823586272,0.6390407291657237,2.9079623178436997,0.5737376023970636
65,0.7562140021497749,0.6401717343759994,3.1153585601670395,0.5762700075995199
66,0.7505543810608369,0.641942125063851,2.660104525326774,0.5760507303583768
67,0.7520120198191153,0.6415983475878285,2.766547872708432,0.5753998226191189
68,0.7571814098032641,0.6414225124671988,2.487828127179558,0.575254082759135
69,0.7569882601665547,0.6436442247082226,3.207435153984877,0.5744947717282091
70,0.757687243121767,0.6426955102247229,2.868840786013396,0.5813413231392702
71,0.7581088575220154,0.6424160235953419,2.7508721154494196,0.5829425250682881
72,0.7616509789693362,0.642425859135305,3.0480606144727767,0.5868313409486099
73,0.7617977338061541,0.6432101815012562,2.5665093426954586,0.5845601823499551
74,0.7582999107569506,0.6428626513357238,3.116710045924289,0.5810303600488513
75,0.758295236053088,0.6432542795369272,2.282234447516832,0.5838178683432013
76,0.7586858582944522,0.6433090055594566,2.256290108668827,0.5829460568873424
77,0.7587216687521553,0.6436424213465994,2.515069396376415,0.5817729889087481
78,0.7555624684747555,0.6438653283908382,3.392482998119297,0.5783982976274641
79,0.7464373621803929,0.6433902512218961,2.3764641932261137,0.5863956916930001
80,0.7460406372370431,0.6437680057787312,2.424719110730204,0.5893994408251945
81,0.7414769585703974,0.6439534127972666,2.716372868075817,0.5865379888372014
82,0.7354776918233459,0.6441931889733973,3.472412120024469,0.5871249759562991
83,0.7353784845404613,0.6438036841023045,2.9974473141863065,0.5844648347112115
84,0.7355218157247264,0.643130874789333,2.7808497175259506,0.5775046034944229
85,0.7342551483906082,0.6435257441183199,2.8630290472954987,0.5729689927879044
86,0.7341548140324853,0.6436914656878986,3.0201324545369355,0.5665147618166133
87,0.7314162309460966,0.6440402609017043,3.1870924296141507,0.5639452732368592
88,0.7281855170170464,0.6434826819882696,2.9452181735863876,0.5689540478917127
89,0.7255447592268673,0.6437634559707922,2.7612023989704118,0.5727788938085753
90,0.7288672218805315,0.6441361056184519,2.8373485062081714,0.5724185538162119
91,0.7295419620952873,0.6443558446428004,2.8100377327170065,0.5658578373897752
92,0.7310205533914762,0.6441766587902096,2.6907665511243173,0.5680200318258821
93,0.731595006020364,0.6444307484070129,3.3393594009004772,0.5681891845776165
94,0.7235686542093772,0.6448652013234234,2.5097428250208536,0.5689891728456544
95,0.7237889996776594,0.644760319229047,2.969268826736639,0.5668963197615029
