Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.7988566203700906,1.1375595496829047,1.1375595496829047
1,1.5977132407401813,2.2751190993658095,1.1375595496829047
2,2.396569861110272,3.0739757197359,2.2751190993658095
3,2.396569861110272,3.0739757197359,3.0739757197359
4,3.1954264814803626,3.0739757197359,3.0739757197359
5,3.1954264814803626,3.0739757197359,3.0739757197359
6,3.994283101850453,3.8728323401059908,3.8728323401059908
7,3.994283101850453,3.8728323401059908,5.010391889788895
8,5.131842651533358,3.8728323401059908,5.010391889788895
9,6.269402201216263,3.8728323401059908,5.010391889788895
