Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.30224182616513806,0.26971888673489763
1,0.6692314044666403,0.6469393144359282
2,0.9396642261669687,0.9671253926602936
3,1.2251892241384614,1.3690697420881077
4,1.4440103314223454,1.6364199036918472
5,1.7795609663847123,1.9227898011528555
6,1.9969099755343205,2.255019185761858
7,2.2074603078613575,2.564162536779261
8,2.505646942529848,2.765964353837311
9,2.8575708034090814,2.962414583555486
10,3.059876277779642,3.1505527084333784
11,3.419809152882693,3.336216858070093
12,3.7131253101066335,3.5600203622862616
13,3.978638541469497,3.700330796539127
14,4.180270511216381,3.9604346336158374
15,4.351100369864772,4.295155279325532
16,4.527473732865117,4.456013746249588
17,4.765702874848296,4.5976253004869525
18,4.966637119153807,4.718639111603372
19,5.093483348736922,4.811714049319344
20,5.3181164989408565,5.058474626719673
21,5.552133814254069,5.248097145348317
22,5.723339389618433,5.421887138161346
23,5.940096871668341,5.650158582452086
24,6.135094848838391,5.795378425273014
25,6.32555329345579,5.961693395175428
26,6.57482943821636,6.076742585230834
27,6.73953141706667,6.267307326970588
28,6.884512042207223,6.390571665501784
29,7.032044790291209,6.527969369565312
30,7.15981878862833,6.6772519001460795
31,7.270881742222741,6.749135606181616
32,7.517416611364148,6.9113430297470275
33,7.64294224343152,7.112257204219995
34,7.795499130891272,7.261769203256054
35,7.933208939362809,7.448179206256556
36,8.119262933392388,7.778585523956633
37,8.17876519145617,7.906726886006707
38,8.330594025610818,7.978353026464549
39,8.445197938743073,8.240543234592916
40,8.564460864397983,8.467519693376557
41,8.67773398416961,8.740728490170973
42,8.803378800148106,8.92093916392168
43,8.905843512420033,9.16873043210222
44,9.185745961481272,9.37228168307026
45,9.424915495087584,9.51174272874508
46,9.64581723766318,9.745361558912531
47,9.771203246861116,9.840144558539405
48,9.962432459634005,10.010516297212764
49,10.183645530041987,10.197474366402279
50,10.303247983950953,10.360482298298614
51,10.546244423587849,10.527307464515197
52,10.67343741322658,10.775904107125651
53,10.793606144180995,10.994682530055659
54,11.06138315045487,11.269006804142542
55,11.225935246162786,11.437688949926484
56,11.369716247102325,11.631352271284793
57,11.554636012108016,11.730634898843103
58,11.66214530560237,11.814796361037924
59,11.801932600578928,11.938064909183284
60,11.976572040630991,12.08690322527136
61,12.036074298694773,12.3351705399671
62,12.105511489326279,12.41778738322229
63,12.170350778694209,12.550248470723446
64,12.319671509800624,12.641380700808432
65,12.439797857865564,12.786278017927284
66,12.505323664767705,12.869629286729431
67,12.627216347317574,12.970771840289151
68,12.811795819336464,13.147331890812543
69,12.958586498863117,13.272139669933784
70,13.05273227237032,13.38253119052629
71,13.074659971504536,13.614954762670953
72,13.127833760234301,13.660627553542577
73,13.172550224313852,13.94234492511075
74,13.241769532461088,14.071775034435472
75,13.311745077388176,14.22298840937799
76,13.578263253765897,14.346450542884117
77,13.668590811629446,14.536794935450336
78,13.725988785881142,14.783335535974402
79,13.859499127744092,14.927543388918187
80,13.894229247674534,14.984152767275978
81,14.071183077447216,15.020216070047358
82,14.168323022308659,15.105466812657198
83,14.340584449074845,15.17092241403679
84,14.526374456160852,15.332557929706027
85,14.731799483716236,15.377848879722071
86,14.852908414205833,15.501182625077075
87,14.86817042355214,15.570072492456045
88,14.9123931557892,15.743952018464682
89,14.98559221668611,15.893709149841504
90,15.125047990454311,16.017967241302316
91,15.256561916840985,16.18688096114366
92,15.419992334685185,16.30585337715162
93,15.560230108808108,16.453833700907584
94,15.73290043006661,16.51702019656037
95,15.817805677888026,16.65393854398725
96,15.939650314588977,16.81889820028653
97,16.06290957067109,16.920386299374215
98,16.223613721900087,16.99857571662378
99,16.270338778690835,17.31448939923652
100,16.44342481030352,17.353197014402607
101,16.565534821218446,17.494700634000075
102,16.66245326538509,17.538471027707505
103,16.889751253753207,17.763844599095425
104,17.070249579969218,17.79931196575242
105,17.120197764863324,17.88831145619678
106,17.174571471307477,18.021809301750594
107,17.25728959756593,18.191918788426825
108,17.337940428332175,18.279962741313998
109,17.421460961092595,18.457262620988764
110,17.462566168912733,18.524441658241567
111,17.47782817825904,18.65744818734557
112,17.64475845624588,18.77970873213855
113,17.66002046559219,19.004357584072704
114,17.769645300279603,19.124804228051573
115,17.849136721688925,19.211794121548916
116,17.972944414762456,19.27617328451357
117,18.09771311077258,19.392094853919595
118,18.187017185784526,19.46202313466002
119,18.26773762165925,19.554161632701476
120,18.323496741164355,19.590224935472854
121,18.457217225297775,19.806575937976405
122,18.609765000148915,19.897446438752002
123,18.62502700949522,20.099706939125657
124,18.751264095830287,20.164086102090305
125,18.865799820687723,20.25922466222652
126,18.922420367003237,20.294692028883514
127,18.937682376349546,20.330159395540512
128,18.991621402296577,20.435076021820485
129,19.00688341164288,20.517179482190173
130,19.106312152202445,20.723234601379225
131,19.175491913507436,20.778556521350207
132,19.28986154652835,20.89751900497165
133,19.39842952343374,21.009085888190103
134,19.54971951046391,21.116153547500005
135,19.61542648860594,21.207570878095844
136,19.757911351280995,21.383502032521804
137,19.878368254723625,21.448083393555496
138,20.020405523942394,21.52083706044005
139,20.074818857446804,21.55630442709705
140,20.086621619412153,21.68499283991349
141,20.186521923817136,21.75192325401493
142,20.229963584544677,21.92979031780591
143,20.3631071770062,22.15964340061002
144,20.418465232494196,22.226226501748442
145,20.477412241749967,22.315774575384175
146,20.604816412684038,22.395684227488672
147,20.688414033522527,22.561258494894933
148,20.86742057501936,22.596725861551928
149,21.119676903641835,22.79793493124999
150,21.194260149528784,22.960917591086435
151,21.269950845346145,23.115964808402328
152,21.364776455233617,23.311142859431627
