Time(Iteration),EpsilonGreedyMultiArmedBandit
0,0.01857102769661595
1,0.0371420553932319
2,0.16114236246167976
3,0.1797133901582957
4,0.1797133901582957
5,0.5203557491082552
6,0.7672281401494754
7,0.9088179808097311
8,0.9088179808097311
9,0.927389008506347
10,0.927389008506347
11,1.033519074965827
12,1.5145409808322357
13,1.9955628866986443
14,1.9955628866986443
15,2.231917670911963
16,2.3563983603774137
17,2.6338879852518002
18,2.6338879852518002
19,2.6338879852518002
20,2.6338879852518002
21,2.6338879852518002
22,2.6338879852518002
23,2.8632549985842006
24,2.8632549985842006
25,3.552886007717583
26,3.7892407919309017
27,3.978966656014255
28,3.978966656014255
