Time(Iteration),EpsilonGreedyMultiArmedBandit,ThompsonSamplingMultiArmedBandit,Upperasdl;kj;ldkjf;lasdfasdfasdfa
72,14.415079462905547,25.385161870463868,27.211967644122826
73,14.477834740499372,25.736419790065156,27.495818765475985
74,14.702316722839267,26.090088859951276,27.864980059345157
75,14.809408407603971,26.366878626512026,28.26134336696216
76,14.980763409483988,26.652359942890854,28.470706941743288
77,15.210490233309738,27.038931078153087,28.770016059362018
78,15.357325154588583,27.344040248822836,29.060498224790006
79,15.457011518301536,27.72041741742583,29.301245679306607
80,15.570813588215486,28.027811351616442,29.62804113210321
81,15.630622933723632,28.263512534501547,29.86145468213696
82,15.775401944173769,28.592424687739317,30.11030960226766
83,15.875024514911583,28.960507913314153,30.36059261456084
84,16.01276812844305,29.19409716410122,30.592884106564092
85,16.242951876415393,29.516312797929118,30.934756704472186
86,16.34777950735762,29.866613932891035,31.30629274629218
87,16.448535537003274,30.061715329095914,31.584709533119725
88,16.62750117528361,30.312982967294612,31.92567743669351
89,16.82074506866176,30.668561724478856,32.23205911686869
90,16.92673149178064,30.89590886620443,32.54628752919616
91,17.03971398597404,31.15408905361694,32.84726478594264
92,17.163244302475526,31.520338740712827,33.21407087123963
93,17.281514487995132,31.834731024213916,33.59901238288923
94,17.410655855707187,32.24045078968318,33.83415216040083
95,17.553571398729787,32.62456028626475,34.1950685357789
96,17.8227511177238,32.939510397375166,34.51370371480961
97,17.93543593629165,33.252718678957486,34.884970623622145
98,18.08065738453883,33.52793101029658,35.23527398014397
99,18.186930188986167,33.84864306895682,35.48472226243642
100,18.38005843019558,34.21142970483823,35.92200807399851
101,18.50038334159742,34.50051831391788,36.29900301648758
102,18.743465089975302,34.75119507893841,36.62538919579207
103,18.98770352379173,35.030301462501384,36.98706396857405
104,19.168583610687044,35.208219383445,37.26544377961445
105,19.275178986405297,35.56321972387396,37.660574547015905
106,19.44098705983247,35.86263023244844,37.98839721991535
107,19.53244522639816,36.03250972161825,38.35837587218015
108,19.640236158625065,36.42460528122909,38.682721412710094
109,19.767657856836813,36.8517820027947,39.07192194922726
110,19.854691094260456,37.039518166808996,39.38549841430787
111,19.99692771523403,37.32187649253838,39.7703421472042
112,20.210354447860446,37.59960606142708,40.145248100802284
113,20.26691733522342,37.814818585471016,40.54512719366226
114,20.39028918536139,38.06986426147829,40.891728544316805
115,20.647679031052466,38.285822417792325,41.13558944376385
116,20.752116983739242,38.49434328659992,41.35769233252992
117,20.857670068143193,38.75727388521757,41.62439918198599
