Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.30043752509865496,0.29290030245519333
1,0.6182362197794975,0.5538879537889294
2,0.8758622621830764,0.8649089798469565
3,1.167532033975792,1.0937019297884818
4,1.3657418475742782,1.421156912997739
5,1.6026324006254498,1.6346952064525762
6,1.823399814898459,1.7978939288194187
7,2.004705755034907,2.1192003613118677
8,2.2038486599145313,2.3752339120615784
9,2.341319430858574,2.60686293051027
10,2.680249498397443,2.8513245671973237
11,2.8169721799042127,3.022793608092471
12,2.9742195683376713,3.2961801100805195
13,3.234859319043005,3.3948073789313193
14,3.3854868442938417,3.5944453340719322
15,3.722899806301521,3.738223999868351
16,3.938797987014387,4.046829500330208
17,4.104714180037421,4.245220271038292
18,4.2212182812987695,4.423284074132982
19,4.3539890882979915,4.510970762129552
20,4.571687118098512,4.664516564718101
21,4.791498683643209,4.858105885157707
22,4.8992891092285635,5.081199049418101
23,5.056303956580222,5.26479523777155
24,5.219891600601231,5.4110825806175455
25,5.351103067194787,5.558388798361592
26,5.553017784170545,5.7321997962087945
27,5.665042952953877,5.856495514151723
28,5.744910572897545,6.014071040640196
29,5.897652440440542,6.131871895103943
30,6.078609680798951,6.258339891914896
31,6.15116962967558,6.416297615592543
32,6.234984192501104,6.6369449864725665
33,6.396884073549396,6.824036393958823
34,6.546968401968506,6.973000260577078
35,6.702138749814208,7.142790815457426
36,6.925414882131342,7.265754128815011
37,7.068566244581556,7.485335253991508
38,7.234368770263965,7.62208503386357
39,7.2691790067471045,7.846222704192681
40,7.390706440160606,7.948690283097413
41,7.555416907322898,8.052159016697034
