Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.5234240148781593,0.37475274481106446
1,0.8392593974648955,0.7118656395536889
2,1.1466108525056533,1.0846291556575112
3,1.6700348673838126,1.1238720771663213
4,2.0340019329344527,1.7416347093073032
5,2.651764565075435,1.7808776308161134
6,2.9591160201161926,1.8982196517284387
7,3.4825400349943516,2.015561672640764
8,3.840835301890229,2.2469269418898126
9,4.1991305687861065,2.48936632215921
10,4.514965951372843,2.7318057024286073
11,4.830801333959579,3.1633419643652716
12,5.146636716546316,3.6453952394339715
13,5.462472099133052,3.6453952394339715
14,5.820767366028929,3.87676050868302
15,6.136602748615665,4.1925958912697565
16,6.494898015511542,4.499947346310514
17,6.768704447636112,4.499947346310514
18,7.042510879760681,4.858242613206391
19,7.358346262347418,4.921809401044325
20,7.674181644934154,5.75300913653518
21,7.9479880770587235,6.584208872026035
22,8.26382345964546,6.942504138921912
23,8.579658842232195,7.3053246016103985
24,8.89549422481893,7.612676056651156
25,9.211329607405666,7.976643122201796
26,9.64286586934233,8.490739800321764
27,9.958701251929066,9.108502432462746
28,10.274536634515801,9.472469498013387
