Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.4368471425317793,0.3425826487963176,0.4660580758260462,0.37965501904578475,0.3425826487963176,0.3973042107863914
1,0.8063317214492007,0.6995274081759026,0.8331747790155042,0.7301293746992649,0.6995274081759026,0.7971173153557687
2,1.0872982261810968,1.0910338615198398,1.2190225865385735,1.1380886910422705,1.0910338615198398,1.1601893935735803
3,1.2473182525754651,1.5891543734663416,1.5722255548924466,1.4284214239737523,1.5891543734663416,1.5693701534982558
4,1.5709519513991206,2.066336585697236,1.8879968874979636,1.7695815412326201,2.066336585697236,1.902704962519883
5,1.8163955472192892,2.471306034045158,2.236533697196692,2.095259468900666,2.471306034045158,2.3434991331962163
6,2.0053065272221255,2.8228315779083957,2.5659462617864675,2.426495626271181,2.8228315779083957,2.719433187548194
7,2.314188140776569,3.234623622106196,2.8125400281963615,2.735616374747717,3.234623622106196,3.108989522957656
8,2.5216289172435173,3.552193956417219,3.171413477969929,3.00381445952046,3.552193956417219,3.4464581085056545
9,2.6867385810346773,3.9203066593401985,3.564767037148095,3.4138626026177477,3.9203066593401985,3.861625945955331
10,3.011765830106375,4.399670793426807,3.9768233558404646,3.646447786843755,4.399670793426807,4.225863829395224
11,3.2527182745808245,4.808687122922481,4.423069697639219,3.925770325957159,4.808687122922481,4.6359139735768
12,3.497124619747659,5.211304681572602,4.809422737331574,4.2338537503365625,5.211304681572602,5.037329275698701
13,3.6996114448132373,5.546841532393462,5.147930642972697,4.486670579145167,5.546841532393462,5.462545488326066
14,3.846409571726956,5.90736817443831,5.505282280962498,4.668982450149696,5.90736817443831,5.770168816596275
15,3.9900858627382325,6.271635746531902,5.830020772916365,4.962657863471144,6.271635746531902,6.222893918291126
16,4.33008089657978,6.659979511399253,6.120299951331548,5.202446883549643,6.659979511399253,6.507109955860884
17,4.517453622886219,7.01897040047834,6.375020787574405,5.492004411192918,7.01897040047834,6.948265707939861
18,4.626795311729102,7.3275526438822,6.696148504587637,5.788735242899679,7.3275526438822,7.33938568936488
19,4.850902316517002,7.795853446858305,7.0219979551019005,5.99521244717059,7.795853446858305,7.760183494559837
20,5.075661408078115,8.215424863022733,7.533271454674354,6.1660071970174695,8.215424863022733,8.183348138155868
