Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,TSLinearTestTheta
0,0.930214341963155,0.9599246526490794,0.9542431951675556,6.237616542717442
1,0.8073766393134907,0.9433792322130892,0.8839837744331236,5.750198027634123
2,0.712204700196503,0.7602571252568312,0.7938403535167907,2.7920199260176846
3,0.5795932321558295,0.6431660266100397,0.778460500356415,2.6512832537258184
4,0.4969825707652218,0.5393033609525449,0.7160916542656134,0.395315564095185
5,0.4216934623688668,0.45430352515969225,0.6386308648379376,0.3497182807856606
6,0.3541610174182482,0.42637627568558223,0.5798096028248881,1.2233531945904128
7,0.34984703312254534,0.37343889376267364,0.5282075486947437,0.3164555158408535
8,0.3458732055385699,0.310625635806952,0.5015911135029429,0.28687676390329553
9,0.32540613497172066,0.28031114673293717,0.4937414725637897,0.24996342060201057
10,0.29004727415628573,0.24620250153350814,0.4545430163519435,0.40534729340292736
11,0.2669643338954685,0.19472282848256953,0.42952648367709695,0.29858859959019274
12,0.24267489423658514,0.1906546905863906,0.420979585526725,0.28955206710295556
13,0.23693523662369742,0.16824870930016844,0.4074028259739954,0.314184079769798
14,0.2105699771033037,0.1464871588984525,0.38899412456978266,0.2683572966200797
15,0.19535727406317002,0.14215065015701575,0.37737441389480797,0.30538377701584524
16,0.20464948472666916,0.13938498048099274,0.36857356738166297,0.30652720953454465
17,0.1792536168765632,0.12221079865849335,0.35876964902750413,0.27903771393610177
18,0.17058286623374763,0.12479902098727873,0.3506177551261406,0.30987584664087553
19,0.1624600565491947,0.11916885056674183,0.3474733564177382,0.31672996726625724
20,0.1559180361367704,0.11872809967399134,0.3450248281223355,0.31795834237243065
21,0.15480837520934104,0.11658948653394605,0.3383126869817573,0.3378332054148653
22,0.15063060840548237,0.11756115448002788,0.33617236923515786,0.2882220649282195
23,0.15051446351246917,0.1167379678650033,0.33276197794877643,0.2709090113571221
24,0.13808274130866452,0.11731552754255392,0.32933972130091527,0.2957286792367
25,0.14019672227667535,0.11472719602821826,0.326161726288574,0.25811889900150853
26,0.1367243263979367,0.10981778913376498,0.32550568484437176,0.3041427478792122
27,0.13654207562638312,0.11245974039223408,0.32486209878202255,0.35032209686719884
28,0.13610597337299796,0.10859048627147665,0.3219077568377293,0.33735148463510145
29,0.13617033271848367,0.10912882579090563,0.32126939071807353,0.2771189016904537
30,0.12450224106851035,0.1066505127308146,0.31990380004545965,0.2975823123443786
31,0.12006177355476362,0.10822391296457234,0.3176271253651324,0.28549510838732645
32,0.11672360385101987,0.10796009663955389,0.3182761307706675,0.28506971429894445
33,0.11592317413209767,0.10605003934244608,0.31948355226243985,0.2966226933757363
34,0.11602534089601672,0.104097309500746,0.31975565376834014,0.3084217373135846
35,0.1167996301079283,0.103954895191866,0.3206039793950158,0.3016110718614836
36,0.11716572101823161,0.10475811327762045,0.3205794320485939,0.2927685988648198
37,0.1116816971567185,0.10509771824429193,0.32085014009815227,0.2701107830459185
38,0.11208707683204588,0.10452858032202783,0.31992391676471205,0.23055454899216574
39,0.11072382083586704,0.10381404411221504,0.3202863103537227,0.2714447514544708
40,0.10964879620349981,0.10440205453006017,0.32128918357805647,0.31324306977352245
41,0.11028204249771012,0.10489976505733659,0.31195073471046003,0.2696797757476201
42,0.10934567299151195,0.10450122017737115,0.31194098831496964,0.2921653464904485
43,0.1111150935944623,0.10550847034071634,0.3110888391789758,0.25021502303245535
44,0.11039291316923436,0.10582257235170911,0.3098350444549753,0.25532765405938834
45,0.10596011644629078,0.10498180625699657,0.30470350524715795,0.3151406022882758
46,0.10528621812298586,0.10580274696217802,0.29322157313177966,0.29134045658496344
47,0.1040629743981065,0.10595978206773851,0.29181237707478064,0.25741741965216103
48,0.1019498966534089,0.10514068515650447,0.29171896324007685,0.2814190112058198
49,0.09875636900828831,0.10397908913031725,0.29146307794227816,0.25756301702431866
50,0.09771621774688763,0.10368416322643581,0.28990056926131114,0.27521795505608515
51,0.09463709517526725,0.10421991569060989,0.28715624447439836,0.2965734954211642
52,0.09521206572329281,0.10405653510584434,0.28703620374806854,0.2791826796642048
53,0.09228378811709162,0.1048545997219001,0.28044864181620544,0.2111978785353838
54,0.09456248573876519,0.10417580316763972,0.2799359016618165,0.22734191189037264
55,0.0961968408144169,0.10392914274115979,0.280221069402283,0.2612181516259478
56,0.09508078225135332,0.10379806390139217,0.2799545704490187,0.28732315643222883
57,0.09474791164369234,0.10316188565715526,0.28006340142118535,0.2876569970926458
58,0.0937110860704545,0.10273761237046444,0.2788017428123645,0.25504459347103375
59,0.0949303983879098,0.1020910852515832,0.2777490701750438,0.2782811386995043
60,0.09395730865959737,0.10182752894214944,0.27373752213809427,0.24516279541731617
61,0.09299254417865645,0.10097081445675019,0.2720652816485981,0.2513452599273509
62,0.09295035410016614,0.10142724784281879,0.26983406850046376,0.282548280846159
63,0.09071223236969686,0.10075926916055256,0.26959305601920275,0.2532764747404562
64,0.08850942480683015,0.1006719319832653,0.2694615851472423,0.2645807605381962
65,0.08854742387495794,0.10047075983916667,0.2689579771420308,0.2564332399881318
66,0.08850415114758604,0.1002621337594158,0.26867516177827055,0.24285160480132037
67,0.08861462494233793,0.10036076391757132,0.2664662245803052,0.2726380291471638
68,0.086466451375411,0.10040149227851665,0.2657789577972648,0.30303007913140984
69,0.08666466393611945,0.1006499002565536,0.265402378443958,0.26303096498355705
70,0.08506328964458677,0.10020490331094904,0.26075572737914043,0.2763455954552617
71,0.08968534567468037,0.09963027600745455,0.2615407034700278,0.2998245256726748
72,0.08965024447500013,0.0998179888421201,0.2607707900071873,0.18852772924392106
73,0.08891140041455928,0.09948774545800408,0.2597070843955215,0.2535503274959172
74,0.0898456164169433,0.0994909902954895,0.25748090285399766,0.24931083481478084
75,0.08920399661970392,0.09929527893340623,0.2551222666559506,0.26679134242227764
76,0.08866750555008877,0.09906429683103687,0.2530043347781163,0.35492489043897485
77,0.08723820682634709,0.09909701300944057,0.25279434922611277,0.2704186500823146
78,0.08715573461185915,0.09918273923520084,0.2530296432725958,0.22151426072666308
79,0.08746143451698173,0.0990068839544002,0.2532699729969206,0.2906919983388515
80,0.08885151866638713,0.09921858513620634,0.2535730236501287,0.26072992114132887
81,0.0926280767348283,0.09910270453898173,0.25317923700507017,0.28365491473849136
82,0.09101241646013852,0.09901583044873559,0.24985620615441556,0.24487584907077165
83,0.08971851957188778,0.09885712254499177,0.2484311517550891,0.24134920778572605
84,0.09077731207078428,0.09864372702568572,0.24699177813300882,0.24411374293799132
85,0.09216263315939492,0.09860483663148131,0.24556297673663446,0.28330011092076657
86,0.09191422767338424,0.09873744933740579,0.24585742238119143,0.26583626506827635
87,0.09383630516397432,0.09885018892911555,0.24571597278015847,0.2402574002638976
88,0.09290285540480354,0.09862663851081496,0.24473620483161315,0.3242556448007622
89,0.0901834624662006,0.09860057930246093,0.24596997463732326,0.2425844761618899
90,0.08963779878563224,0.09861084927840111,0.24622904205753113,0.2575070062452567
91,0.08873204222049094,0.09879425372811626,0.2465170784563107,0.3240578415916574
92,0.08857395573862743,0.09892050301349407,0.24536409775963836,0.242157094860976
93,0.09163235814460136,0.0992236010107023,0.2435860092992775,0.2368627836251803
94,0.09169123673776532,0.09951101154478072,0.24327739455040334,0.30926405576384025
95,0.09231052844889519,0.09929221890945973,0.2441908073237901,0.25886301525982025
96,0.09239202188239623,0.09927148032241472,0.2432623582602027,0.2599253698088591
97,0.09014923783286391,0.09930553388675781,0.24268918190783065,0.25697209463047066
98,0.08903910993364504,0.09928423414378554,0.24090419491840337,0.27362168679670595
99,0.08886989886917004,0.09954826850468504,0.24216814769210665,0.2960152629618311
100,0.08585555575595721,0.09961792004109196,0.24178153359857793,0.2589709881332106
101,0.08541736414919084,0.09976411318268498,0.2409724716970539,0.24184511488702154
102,0.08445892342705258,0.09971279363149045,0.2397835265944058,0.24126187318524303
103,0.08567584733942425,0.09962067139491322,0.23919257207121505,0.28677836694264597
104,0.08706197771864019,0.09936027140203878,0.23961229321829208,0.29862120022430966
105,0.08761788457943236,0.09941785004768518,0.23990036798332728,0.24110894484702663
106,0.08766026713318412,0.09973446008849883,0.2396994158036369,0.22706755080095956
107,0.09047814646304628,0.09965607686331812,0.23931231507740977,0.27969779405997885
108,0.08996940350103472,0.09969715428476972,0.2396831035924713,0.25935470838581554
109,0.0896869997244009,0.09970550281548748,0.2398494971744638,0.2776172846046297
110,0.08948313388862399,0.09940440248781371,0.23946269835990847,0.2831651282783997
111,0.08843309596919331,0.09915981620719037,0.23976843026915934,0.2884593013423555
112,0.08859430658677112,0.09936793937449483,0.2400805374046482,0.2954834723361627
113,0.08815927618846027,0.09914238751424784,0.2381892225395,0.27089237148860124
114,0.08755627203401485,0.09898852017340123,0.23650432190814435,0.24030139075603324
115,0.087781945475283,0.0988540057835813,0.23705761630685251,0.2871146204707677
116,0.0871105391429092,0.09894346507234378,0.23703994131168676,0.28405696109364753
117,0.08175525549211751,0.0990408549256874,0.23578990813185458,0.30118530619743905
118,0.08007457213588795,0.09889164197246551,0.2354921341698939,0.2943409067959893
119,0.07737181619071447,0.09896306189339618,0.2315284306982202,0.25708602133747077
120,0.0786837969685519,0.09886692669971651,0.23158905557718326,0.29087037615202044
121,0.07764218514692027,0.09893301963501593,0.23173591568410515,0.305337360248947
122,0.07793927843387122,0.09890885801824652,0.23320701556593387,0.2254485217736963
123,0.0767171341938572,0.09888443596539395,0.2321590037945981,0.2546402798359814
124,0.07587323331615575,0.09874886442978655,0.232186265505704,0.2575666400745819
125,0.07618329535187908,0.09878929298443502,0.23270357939693675,0.26180517932605085
126,0.07479248067197306,0.09891782991329735,0.23245408093979517,0.2914392245418257
127,0.07510756779480973,0.0989708011005633,0.2324221041496802,0.28082612288480757
128,0.07647960170173215,0.09908347642426402,0.23173374579423883,0.27924540912346274
129,0.07662104534952438,0.09893385460795515,0.23167860917545827,0.2846429889317534
130,0.07691966226433014,0.09897861389684612,0.23019737228749526,0.2850910108349368
131,0.07648392452141847,0.09889691998614354,0.22943678836405262,0.27981170134484656
132,0.07581861822040069,0.0988765962709246,0.22870915504346803,0.3046692193751851
133,0.07577943649581993,0.09881482479982912,0.2284731052869587,0.28627679966684816
134,0.0763666162243597,0.0987943993816949,0.22830099694906827,0.27368113769404195
135,0.0759992990241152,0.09885202678275211,0.22802063048457386,0.2188662437183473
136,0.07592503474924182,0.09874177584539583,0.22814170774435158,0.2720824274375687
137,0.07568021178834687,0.09876105319861171,0.2291034986210101,0.25056749606946893
138,0.07475214754502836,0.09872588729828224,0.22668740324426886,0.29068794704714596
139,0.07500778056234579,0.09879385069088482,0.22605304741516763,0.24372915418246555
140,0.07493987490919105,0.0987972051611796,0.2257246415332387,0.2744076189364647
141,0.07397257469894675,0.0988301976498749,0.22547662263494575,0.24866018191196212
142,0.073032561099968,0.0989506205958613,0.2268100511723227,0.24017860748181988
143,0.07322745782480353,0.09888554512877445,0.22656879617772002,0.2673780269173586
144,0.07237803978799118,0.09891368706700462,0.22728417539395468,0.31719313097654583
