Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.3651630755085981,0.3677883323614356,0.37988494267625866
1,0.8053765569736837,0.7336147017917999,0.7573526427597291
2,1.1753228411074195,1.0210000931247536,1.1185808450480965
3,1.3638552453905255,1.3336894680030134,1.4200560072909225
4,1.7011181158629853,1.7338931424620554,1.7612226701963312
5,1.9758617628814714,1.9950036389961678,2.147708475398568
6,2.3894126506629254,2.3665703026425775,2.458813728439172
7,2.903052764294902,2.7157506895851182,2.827484048112213
8,3.2776225633157354,3.138325819110917,3.2820681846685105
9,3.5386637602071835,3.560344894429137,3.6982340066050243
10,3.7320667740761473,3.8628038681786068,3.989587097554888
11,4.080688352223552,4.164617414631274,4.353674838844143
12,4.281023294185443,4.569033819934025,4.774573877220232
13,4.572943247403872,4.884552758054492,5.087279556461363
14,4.942292225742393,5.137548882462581,5.3774594851529285
15,5.244654141462195,5.496693772967429,5.705667934863386
16,5.622119414987092,5.774518512630289,6.100493458680962
17,6.003116402753977,6.124499938554496,6.455278929437843
18,6.460637890572636,6.433193483765355,6.807726846680448
19,6.719524112675283,6.867143524557768,7.156820462762413
20,7.021128200027812,7.296248172530706,7.463293344582469
21,7.321475957064256,7.626502229223149,7.79598607486774
22,7.610691692487778,7.992896183134657,8.130008775965852
23,7.796696233990906,8.402294240431841,8.445847424565567
24,8.090371541158703,8.760428752742511,8.762043953126309
25,8.266716781653235,9.05717421598468,9.109911626362655
26,8.48893943512335,9.438111394733358,9.410279791280418
27,8.677832123884379,9.873822818247891,9.726722897031298
28,8.851462126162652,10.119155753017177,9.923082839670217
29,9.128534458532576,10.393738880663383,10.297562582350468
30,9.335102343284621,10.683484660017257,10.62180561862135
31,9.710616613883996,10.988966044017532,10.960671805796947
32,9.891238968699872,11.249065290364326,11.150759704908811
33,10.156424392070345,11.647054761016793,11.402080723035393
34,10.444963874746614,12.00104631624323,11.677271024041723
35,10.693439457464622,12.22731277365203,12.020695326536075
36,10.94169422390649,12.612158968486813,12.357369048941273
37,11.10164062777216,13.00423186376698,12.727363479161749
38,11.347537310922343,13.296369751451303,13.05879218423191
39,11.55496853202196,13.5161493737321,13.323243310333083
40,11.806803469156856,13.895685698753795,13.66517680576058
41,12.131322006786835,14.213958617502119,13.956239435984603
42,12.43483294836065,14.524807864157626,14.352508543960528
43,12.725785394718766,14.76349037047394,14.58514650880997
44,12.934418039884102,15.079809797118113,15.032819996820788
45,13.158754019422508,15.45554792487699,15.257902922226313
46,13.441364169334395,15.874900396330679,15.632369000318903
47,13.62773315374515,16.0729002129594,15.875776031573107
48,13.850374555779865,16.310504420315088,16.146760055082503
49,14.074668192365436,16.6491017252446,16.42254029647757
50,14.25109797311013,16.984267874863967,16.839635682898216
51,14.475498624563226,17.205131295442737,17.10188367367474
52,14.669811264553513,17.446789056933316,17.334272033354658
53,14.946803087208963,17.76136360749322,17.711693728977686
54,15.30089038516363,17.980479736902137,17.87482005114357
55,15.56377963954211,18.26295439822269,18.138708456893383
56,15.872253539415805,18.54919761120565,18.424109551142983
57,16.04063389706637,18.942853261174218,18.719810273515566
58,16.285367822076267,19.313909230416844,18.981096875418523
59,16.54519688223121,19.677744668429796,19.299386688554893
60,16.779013128583653,20.041442109834446,19.540994970281886
61,17.0448089680766,20.36734512768531,19.77226416033497
62,17.254448664622323,20.612973285421372,20.043657892578427
63,17.429231714103093,20.874242986722095,20.279416146118873
64,17.672990331748366,21.138631381564174,20.529482249687753
65,17.90185716884779,21.372473602517424,20.853254029107205
66,18.007139150013042,21.650724987322388,21.169472974624917
67,18.135598396252007,21.88565501739315,21.540899252725822
68,18.269041889607017,22.19155425284886,21.79246126310644
69,18.492637027443198,22.522237024341727,22.089806888851136
70,18.763527438335196,22.82891850773091,22.404622825560203
71,19.066722184620367,23.015043881457757,22.617437838523458
72,19.27589626450416,23.377417613682987,22.8156209344955
73,19.433575818463126,23.648247715503615,23.20108588423322
74,19.61431964867194,23.889077811670457,23.488196503214695
75,19.788150361647432,24.116251535367272,23.83843375445345
