Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.1212456583090033,0.5463283824073136
1,0.2424913166180066,1.0220851850675958
2,0.36373697492700996,1.1863203749115674
3,0.4849826332360132,1.7131849678235431
4,0.9539214753598536,2.2069321980805467
5,1.0751671336688569,2.675330276110415
6,1.543565211698725,3.2579691623569675
7,2.0125040538225654,3.687463837796231
8,2.1337497121315687,3.8203739970513313
9,2.6606143050435445,4.325309600046618
10,3.1290123830734125,4.325309600046618
11,3.250258041382416,4.830245203041904
12,3.832896927628968,5.253609240939952
13,3.9541425859379715,5.6683224369654175
14,4.075388244246975,6.195187029877394
15,4.196633902555978,6.195187029877394
16,4.317879560864981,7.159826943758085
17,4.844744153776957,7.464033661659894
18,4.9776543130320565,7.7527143893309045
19,5.462025504145345,8.299042771738218
20,5.5832711624543485,8.783413962851506
21,5.704516820763351,9.312189224869343
22,6.231381413675328,9.81712482786463
23,6.3526270719843305,9.938370486173634
24,6.48553723123943,10.407309328297474
25,6.61844739049453,10.875707406327342
26,7.086845468524398,11.36007859744063
27,7.208091126833401,12.324718511321322
28,7.683847929493684,12.754213186760586
