Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
0,0.2975897142256147,0.36064019937802455,0.36064019937802455,0.4372354883515112,0.36064019937802455,0.36064019937802455,0.36064019937802455
1,0.582222397104865,0.6643952622183144,0.6701949633496811,0.6524234493350028,0.6643952622183144,0.6643952622183144,0.6643952622183144
2,0.9657572454988148,0.9816013157544088,0.969073910234299,0.9281510791627332,0.9816013157544088,0.9816013157544088,0.9816013157544088
3,1.2352245792863192,1.2672700865357425,1.4008887654066293,1.262084846781828,1.2672700865357425,1.2672700865357425,1.2672700865357425
4,1.5180619678111575,1.6156410715968437,1.7906890984692976,1.4514104700353605,1.6156410715968437,1.6156410715968437,1.6156410715968437
5,1.81890688290972,2.0636911961147524,2.147709085564645,1.7055909736883272,2.0636911961147524,2.0636911961147524,2.0636911961147524
6,2.0348312877749395,2.415036006789653,2.4721730693903337,1.9433250151479982,2.415036006789653,2.415036006789653,2.415036006789653
7,2.2683977796085166,2.755885518708007,2.8550653784675815,2.321616371279285,2.755885518708007,2.755885518708007,2.755885518708007
8,2.577972951713465,3.1987803631417657,3.261618540642676,2.457089205956147,3.1987803631417657,3.1987803631417657,3.1987803631417657
9,2.95058446844715,3.5445759758162216,3.6166782656312733,2.6215727534810886,3.5445759758162216,3.5445759758162216,3.5445759758162216
10,3.174885688810085,3.9310174948632643,3.917394772404813,2.848766547345876,3.9310174948632643,3.9310174948632643,3.9310174948632643
11,3.2616283880314656,4.360299406589141,4.23577064554137,3.1265497668764475,4.360299406589141,4.360299406589141,4.360299406589141
12,3.421195578093388,4.706515324093828,4.6716771665383705,3.221766467553718,4.706515324093828,4.706515324093828,4.706515324093828
13,3.583286502760508,5.012688133973714,4.99475944035734,3.46760809557192,5.012688133973714,5.012688133973714,5.012688133973714
14,3.784320359164339,5.500729887537613,5.398933571094814,3.6559678157614544,5.500729887537613,5.500729887537613,5.500729887537613
15,3.964846888875909,5.896866532533456,5.785562917369776,3.8418031326969855,5.896866532533456,5.896866532533456,5.896866532533456
16,4.177001667929947,6.258435660486028,6.148561208470687,4.057236266175755,6.258435660486028,6.258435660486028,6.258435660486028
17,4.288563615625942,6.559735558139889,6.50124941609899,4.285809389662857,6.559735558139889,6.559735558139889,6.559735558139889
18,4.522943815763417,6.928872941366525,6.739200735653219,4.444378427259849,6.928872941366525,6.928872941366525,6.928872941366525
19,4.601068058848101,7.351269402057985,7.054416078709769,4.518109409703838,7.351269402057985,7.351269402057985,7.351269402057985
20,4.630553778438208,7.622809859393824,7.3503609437769795,4.633107136524249,7.622809859393824,7.622809859393824,7.622809859393824
21,4.658491957960818,7.978433141292814,7.684101836143078,4.7991356234044655,7.978433141292814,7.978433141292814,7.978433141292814
22,4.835939575360429,8.179744508211222,8.018151051908713,5.015295512061647,8.179744508211222,8.179744508211222,8.179744508211222
23,4.985166988306414,8.411215131156434,8.318751224464666,5.25453557633689,8.411215131156434,8.411215131156434,8.411215131156434
24,5.03396908710069,8.744152969086187,8.531142230078185,5.39027413137143,8.744152969086187,8.744152969086187,8.744152969086187
25,5.083479070236852,8.773993810688642,8.660433221363643,5.537927379193272,8.773993810688642,8.991716253580941,8.867688321005962
26,5.304822631140776,8.831482403336135,8.81688323244352,5.578722684074882,8.860229684001123,9.32929399151299,9.003781692547793
27,5.491263472925727,8.937110256136702,8.951724525636338,5.784321999658845,8.954322225715206,9.45997195161967,9.061667067472118
28,5.538047360655343,8.992473057421396,9.048288248013517,5.991668863544313,9.096109645131168,9.657625052710909,9.182786065871849
29,5.659611228735122,9.083518150556285,9.131809082000995,6.071174933247774,9.230968909748167,9.929223500191474,9.39445300807483
30,5.788587338112665,9.144545735302897,9.181121321043296,6.114228631075436,9.383470695833667,10.316980919231302,9.586704866823752
31,5.8172436470111455,9.197816459129946,9.236186160362026,6.276654851128826,9.529532011240587,10.620774315350157,9.739406030876507
32,5.967179678576313,9.253236556536736,9.318787319650468,6.347786296991967,9.689228426803973,10.966442390686499,9.971848730362264
33,6.063830231280828,9.29816004692003,9.364304414822984,6.386559299943537,9.831318021111413,11.355006145669034,10.231338731887998
34,6.159548556955895,9.335606444721133,9.42476486206826,6.510544389604237,10.010577120129692,11.638842484625247,10.531577822665579
35,6.300742547120838,9.386486346185581,9.46789054331573,6.587263421866861,10.184901545143203,11.942145893961403,10.848527621531819
36,6.446979458823691,9.438258580726785,9.562453765058853,6.703111405704689,10.385231328397417,12.225305063935677,11.112314632639594
37,6.543327695931419,9.498163301079192,9.624380002891142,6.829641655414589,10.528469409945075,12.589203967137966,11.478290542067896
38,6.599479268583363,9.543670395268375,9.694104920385081,6.922527346668518,10.671739134092553,12.802660160999647,11.789752944281682
39,6.70837911751228,9.582790401954558,9.776455790940782,7.04241354568303,10.886612809587028,13.15130406596754,12.103570743814966
40,6.771722919277593,9.611232433570816,9.816735627594497,7.164821769826014,11.095435361365732,13.541030842026833,12.406513542029169
41,6.928693334882915,9.641714357265936,9.866043889831344,7.2140803226232295,11.237165407030556,13.871745639773357,12.758486187194078
42,7.091139836116646,9.668399105758661,9.895823200369083,7.321030427235522,11.30549445644362,14.307309768151459,13.107552646467317
43,7.1501989874836,9.68700773489179,9.98604846720551,7.390114872933506,11.527086454784172,14.635486914576095,13.374789397387607
44,7.161436027800595,9.720708452734351,10.003693344839524,7.582777225493631,11.804335098057468,14.924905681831726,13.655875778898439
45,7.245839150332749,9.77504020339286,10.043099925373513,7.75631436107008,11.959906066265955,15.261937966835736,13.962707572892665
46,7.334588911536021,9.802180240141192,10.064272530335758,7.992412750134913,12.111668075191925,15.557646209210409,14.146616687946931
47,7.46112674104189,9.833505025255189,10.089498832609182,8.031226789056948,12.34700950141567,15.780563019283798,14.496648920004144
48,7.637182315927255,9.840685746718837,10.194645453641915,8.222796885865593,12.508703059214364,16.042891830585138,14.737304079420042
49,7.84083428896498,9.865253538265584,10.265199903172471,8.283281482778872,12.605714732330373,16.251129544487387,15.022758025975097
50,7.925806737219188,9.893659937958189,10.315119118571351,8.56028339654751,12.757549291085398,16.557920315267744,15.25589771177064
51,7.970518591556241,9.916599870185676,10.349204034045254,8.610866757861873,12.912280122436815,16.95286656887568,15.483149052033628
52,8.082704616313228,9.927463384865025,10.381830712304772,8.797535691956794,13.02745943733178,17.32839540300459,15.652319024606163
53,8.14747264388053,9.929111726986429,10.403972861344917,8.963742148496802,13.186701609734609,17.593323200364146,15.77622251780014
54,8.247825522194544,9.961079549185051,10.40966637375538,9.089761508173938,13.407419164894964,17.8190262919017,15.84724320258375
55,8.254491230175773,9.962727891306454,10.447924749954241,9.135077581289973,13.567211343942429,18.12016048562645,16.12796719537261
56,8.280479760265708,9.987597070200108,10.476656760742554,9.436113989166913,13.689299533023974,18.38630516253601,16.325077611370904
57,8.29773048174248,9.997538057119367,10.512822230447373,9.641133162796766,13.835520388839962,18.566558560311382,16.37641035379394
58,8.371489349149464,10.007911772909763,10.518515742857836,9.756482200072806,14.005678087747686,18.840306156051287,16.533075078135305
59,8.423297373164727,10.032616142694424,10.556047332055245,9.829384021962472,14.200084404812122,19.06158006377162,16.679821892622435
60,8.500614871409436,10.057491305596432,10.590174060159727,9.97931368629677,14.321798914838888,19.361851632018197,16.99217255834305
61,8.621052672822076,10.090530162002738,10.636535359538275,10.067802631607723,14.562372957679349,19.57905141384042,17.190374190360064
62,8.72351990244336,10.101397366014888,10.72401335156502,10.11660101110909,14.693097105977325,19.867103044490015,17.364943274662114
63,8.77702188243287,10.133032511042753,10.760262803973324,10.2595512104443,14.887759122648774,20.11888439853556,17.500093354269758
64,8.80432342289027,10.152347810568006,10.773758799905334,10.280713043872295,15.065125136269113,20.469440156693196,17.57846840403162
65,8.945127777500044,10.163549713724546,10.793106509343488,10.441391486203019,15.24414944139755,20.665476888240015,17.76456992848146
66,9.057065688875511,10.179726210564697,10.821269400362514,10.581359678876506,15.296384466891089,20.890377594499505,17.88788473437393
67,9.164983424098795,10.195902707404848,10.851378745779506,10.661289919962654,15.430672942459003,21.28426089830457,17.937780778939747
68,9.206343207096849,10.206228257845542,10.899583177659522,10.682451753390648,15.63607685439101,21.61367352699859,18.090369154111823
69,9.394079076389387,10.206506759029345,10.910081539727969,10.877145570373816,15.778461189818227,21.921217639755177,18.15813926863885
70,9.478037850008892,10.216279488273887,10.960510360180113,10.954053032090915,15.9418633968801,22.17014055037152,18.286109536814585
71,9.631988636741962,10.247021267701948,11.034112630770897,11.119303134429611,16.1507348530156,22.400802831407827,18.45448497361891
72,9.760206622545322,10.249970896594133,11.070791453011049,11.245818042075646,16.28760930837238,22.557251457139532,18.58930950775638
73,9.820325586367206,10.25292052548632,11.118048137575915,11.351998795454909,16.357643445437297,22.773075260484717,18.675641295488717
74,10.020397076708402,10.255870154378506,11.128951945522726,11.465376137952445,16.53664711147446,22.981916006995274,18.76651291399595
75,10.081376912166764,10.258370672462222,11.15099286479059,11.532307795361222,16.750302817869805,23.264338202032924,18.8794738706158
