Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,newTS
0,0.38370406747361724,0.41186167970984966,0.3674928770157392,0.4683990137633572
1,0.8192813500144489,0.757262773443948,0.8665232424078576,1.0232604592891188
2,1.2805651437742518,1.1917179132020883,1.2834719251995002,1.5021583926144628
3,1.697482684999662,1.700869525888793,1.7164705258305506,1.8192945154686062
4,2.0961572103401034,2.1120212223135906,2.1776860147567763,2.1705717485447287
5,2.3339855083883028,2.6155738452530732,2.6186938503849544,2.5715524107792724
6,2.6716674510120155,3.0183227343829535,3.084731046758748,2.9954966325100845
7,3.045748981551583,3.3660027605896135,3.611128550242723,3.424470145605544
8,3.339756593868045,3.7807392695516904,4.065468686711663,3.7673395175056412
9,3.7573780528484866,4.234320805323507,4.438621774762097,4.361264992822958
10,4.055459686234284,4.796021110618188,4.777469981543308,4.775336480883225
11,4.436381743770413,5.206928500850303,5.137684950800784,5.337186454960726
12,4.798452845988969,5.707594591086694,5.548412407274187,5.752665007985517
13,5.196842890331108,6.13918794781921,6.048858285721053,6.151087733876446
14,5.5724588372109345,6.654693858267898,6.523998018576461,6.620351540133136
15,5.914961750578691,7.131775269145278,6.9182628418745535,7.0621353269376925
16,6.363302638796542,7.52596639758189,7.31578975860044,7.535616195375374
17,6.696943391437756,7.735455624688828,7.81885496174076,7.943474007949915
18,7.091523107071309,8.040276862083136,8.243160001664553,8.251159595213286
19,7.40293735832085,8.573178843845168,8.630879899967072,8.72912950469893
20,7.668946411051872,8.86971725053699,8.92433488598456,9.179954064855968
21,7.964679079040648,9.36163304864367,9.31732577348033,9.413969866533856
22,8.138662271045778,9.87248185180804,9.729298763913741,9.736620643133554
23,8.450216865276406,10.244845157457567,10.140178858727932,10.157258808377486
24,8.74169586959627,10.652348526006431,10.546101949970549,10.411375453848088
25,8.95500558772561,10.881705415655999,10.828980005930212,10.651640231388345
26,9.241626466301062,11.326850613191466,11.135107739294721,10.931331057735823
27,9.466706277933605,11.666263291634731,11.575967547251608,11.292163279176966
28,9.72190044548253,11.969890075615318,12.005773821182128,11.551063259418871
29,9.984680488548712,12.364986734175826,12.431771973240046,11.89089080949415
30,10.275824781500615,12.728712301611754,12.901135655375057,12.293441741792401
31,10.557014327121124,13.099154789857948,13.273103072709073,12.617046633355429
32,10.850133153528486,13.437520490163482,13.650449031726788,12.99831289484015
33,11.075423072126252,13.93736275807268,14.071453520444233,13.35835947471782
34,11.407472971515578,14.338957160039143,14.429501462971164,13.747166014752562
35,11.631700957918932,14.668726015544237,14.743036654837415,14.164472144066409
36,11.921842550327188,15.00562375456136,15.214791363081318,14.468268742895424
37,12.19377221764814,15.219658363589648,15.603703393704118,14.860027023520747
38,12.39883294583183,15.675600009316085,16.048235951367715,15.166655361505553
39,12.67448990889299,16.151789214294784,16.37679034320249,15.479749639248775
40,12.908937552093832,16.570045443176117,16.52502930584753,15.83952201844404
41,13.171460625523483,17.0095989020985,16.896190056731186,16.23291865461144
42,13.488706680797216,17.281080530047486,17.28494484119807,16.606518195646338
43,13.620250190176312,17.78600618451925,17.746855385306286,17.062754239658403
44,13.884578536679815,18.181607767422733,18.095261838809563,17.34175470130708
45,14.123133568143308,18.668097559837488,18.44232628167143,17.691556253898604
46,14.424326390131444,18.98326459351401,18.778663918730413,18.093328097619413
47,14.629663219195134,19.497818312561044,19.20367631356784,18.479228970802446
48,14.879664703247593,19.80560428442633,19.52706504577476,18.8176471174781
49,15.046905423517458,20.079702703561146,19.883708444931752,19.22346858993548
50,15.233993440832155,20.4355043255345,20.26124067250416,19.519355635948603
51,15.426847969572211,20.807532786664503,20.6551994507103,19.96072788837524
52,15.785454117969593,21.202197395718468,21.07870680159852,20.416734852373775
53,15.99347994412565,21.617159455629118,21.514483729946814,20.83745329101335
54,16.386574539433735,21.972923266927943,21.80370337343471,21.266550595365782
55,16.56545239841253,22.315477693078066,22.139282485042052,21.65763740970286
56,16.83430523861776,22.677200863390787,22.368143956268394,22.055504648868393
57,17.266231649756634,23.014707523729548,22.77749726321275,22.549944610469375
58,17.498847297157408,23.507648791172393,23.107194448213715,22.8222912785114
59,17.87347721284414,23.78619758536518,23.438071484653328,23.051124520301993
60,18.223438533379657,24.22173618122745,23.87169874247794,23.4782710187991
61,18.376229757761543,24.634349469018158,24.197595054800644,23.771962523060505
62,18.68469358485129,25.053280033246775,24.53245789590502,24.196016648024308
63,18.841595810750974,25.480771783758705,24.871076506426796,24.591752423773976
64,18.986408577212018,25.85901381507198,25.2127231439279,24.946603053093092
65,19.186470151954204,26.214647860731173,25.616953335120037,25.341603284709294
66,19.386517349452603,26.569790908832363,25.917748671543784,25.683962795156827
67,19.676765381197143,26.992720222297123,26.220285802963666,26.07041364188877
68,19.991097451881167,27.359241228460824,26.547978508119172,26.493511378784508
69,20.148005556890194,27.74535214550636,26.919846638125286,26.879468883790956
70,20.312492573038917,28.11574637413031,27.181872352615624,27.251473247385654
71,20.533604271595614,28.363010901897646,27.471739339970288,27.54317943183674
72,20.750114751996104,28.731822466434483,27.845274221502336,27.937287880315136
73,20.962655055319264,29.118818287575284,28.250808621210314,28.219966478532275
74,21.084017923770034,29.319364137052617,28.56472925574269,28.58464211649432
75,21.36223073643807,29.657259673093336,28.812807267385033,29.045554331951433
76,21.52384109933642,30.007378752412215,29.237269309646855,29.466425027944247
77,21.859749686384895,30.325748738938195,29.696251348470646,30.061504032841516
