Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
1375,80.86963944949598,12.18103454019666,14.939642278092506,89.62916546243802,61.86981596593513,76.61191289143775,51.258201137385115
0,0.34682725533222214,0.48813248512607865,0.48813248512607865,0.2869583899194682,0.48813248512607865,0.48813248512607865,0.48813248512607865
1,0.6357144181674175,0.8110901817875134,0.8765266948842821,0.6858733761696227,0.8110901817875134,0.8110901817875134,0.8110901817875134
2,1.1256378212381033,1.2391300866692814,1.1692676232790429,0.9704374908506077,1.2391300866692814,1.2391300866692814,1.2391300866692814
3,1.4207578920598842,1.6407150811123579,1.6386131414864864,1.3088814742156603,1.6407150811123579,1.6407150811123579,1.6407150811123579
1376,80.93114251901459,12.181558986031575,14.939642278092506,89.64272690450791,61.873296085319495,76.6120130204813,51.26304891973177
4,1.9090648726784085,1.9993814362667943,2.011546561150578,1.690339543132842,1.9993814362667943,1.9993814362667943,1.9993814362667943
5,2.318772349719052,2.316270808238877,2.395264102778191,1.9840486522232204,2.316270808238877,2.316270808238877,2.316270808238877
1377,80.93549917808335,12.182083431866491,14.939642278092506,89.70798670070027,61.886523345931685,76.6120130204813,51.273913849305316
6,2.6289895056034185,2.6939670216677216,2.698296582602611,2.243586129744519,2.6939670216677216,2.6939670216677216,2.6939670216677216
7,2.88258843760674,3.024360807790708,3.0724663061937583,2.4299118088835594,3.024360807790708,3.024360807790708,3.024360807790708
1378,81.13077942091186,12.18260787770141,14.939642278092506,89.70861127557875,61.89993175431863,76.6120130204813,51.282276674336686
8,3.1558092470675594,3.4081362177946963,3.438349028404263,2.6358534076583275,3.4081362177946963,3.4081362177946963,3.4081362177946963
9,3.4688543989342833,3.8731161368695766,3.858201596584432,2.8575776267468385,3.8731161368695766,3.8731161368695766,3.8731161368695766
1379,81.13513607998063,12.183232452579878,14.939642278092506,89.71610802416559,61.90589064543316,76.61253746631621,51.2913762241933
10,3.8006317781107564,4.292749599687172,4.319739301867667,3.1220505931193876,4.292749599687172,4.292749599687172,4.292749599687172
11,4.087623024783959,4.7537545311851925,4.659829541507953,3.4499754332802555,4.7537545311851925,4.7537545311851925,4.7537545311851925
1380,81.13949273904939,12.183756898414796,14.939642278092506,89.74800125795736,61.92934708503693,76.67968539491302,51.29650565225177
12,4.243041561256739,5.173430209861296,5.0026714308646,3.658368305606279,5.173430209861296,5.173430209861296,5.173430209861296
13,4.52951156799606,5.55127251719058,5.4303359604825765,3.9597558035423632,5.55127251719058,5.55127251719058,5.55127251719058
14,4.715226509647472,5.850217786421832,5.878326765253462,4.251842069701418,5.850217786421832,5.850217786421832,5.850217786421832
15,4.89616445198183,6.202853533493689,6.288916437437452,4.497114288729387,6.202853533493689,6.202853533493689,6.202853533493689
1381,81.21921246953869,12.189628164630307,14.939642278092506,89.74862583283581,61.9396557846578,76.68123457454357,51.331693984713354
16,5.032292247107495,6.623452372951138,6.619954697552598,4.64341713200187,6.623452372951138,6.623452372951138,6.623452372951138
17,5.273424922347063,7.131848972295406,6.961325895321882,4.868884105206023,7.131848972295406,7.131848972295406,7.131848972295406
1382,81.33651288933643,12.195499430845818,14.945329128339385,89.7738065589027,61.9629013514701,76.68287012914635,51.33561048487228
18,5.503291649362386,7.513500022102477,7.271501775376564,5.020151239432353,7.513500022102477,7.513500022102477,7.513500022102477
1383,81.3408695484052,12.20137069706133,14.945329128339385,89.82747784056582,61.99456642346867,76.70257115577694,51.35632000171106
19,5.714365553510051,7.846288840139309,7.662215873553845,5.358138007325219,7.846288840139309,7.846288840139309,7.846288840139309
20,5.867244785725977,8.251525757554138,8.027247553634751,5.555070121839118,8.251525757554138,8.251525757554138,8.251525757554138
21,6.093934684672983,8.674521379284252,8.500834123308142,5.749198914449988,8.674521379284252,8.674521379284252,8.674521379284252
1384,81.38063778880675,12.207241963276841,14.945329128339385,89.8410392826357,62.02176363503473,76.70267128482048,51.35883378608636
22,6.287937778977488,9.073455585356685,8.86561066575118,5.965803826372698,9.073455585356685,9.073455585356685,9.073455585356685
1385,81.45308774884312,12.207766409111759,14.945329128339385,89.84200388738046,62.040725772445384,76.76042551905392,51.36046934068914
23,6.476468101697802,9.522509659570249,9.121955066101561,6.198627650711651,9.522509659570249,9.522509659570249,9.522509659570249
24,6.597291146221454,9.81173549022067,9.430016497738212,6.435562846916696,9.81173549022067,9.81173549022067,9.81173549022067
1386,81.45744440791188,12.208290854946675,14.945329128339385,89.84262846225892,62.05968790985604,76.76206107365671,51.36080937055543
25,6.809489671656929,9.818470412777685,9.607731014728813,6.672623539346125,9.818470412777685,10.132670371752097,9.967068834469487
1387,81.49187789947186,12.208815300781591,14.976041993779154,89.84325303713737,62.06326815828396,76.76268564853517,51.373784215414425
26,6.9620302239901335,9.87751261477868,9.803464548790108,6.8514813151148015,9.957032632255592,10.415665260666579,10.02393251375021
27,7.186709859819802,9.965733329348401,9.963334522053074,6.9987381072808645,10.104099584347598,10.723564173879634,10.219332457233623
1388,81.49623455854064,12.209339746616509,14.976041993779154,89.84387761201585,62.06336828732751,76.79818926406205,51.37785120645142
28,7.39778453383426,9.995186347899708,10.114745497733859,7.170863402780126,10.255587493644006,11.13202336411497,10.441606247620587
1389,81.56074884160633,12.209864192451425,14.97656643961407,89.90361521180661,62.10479061320983,76.79871370989696,51.37837565228633
29,7.550437545649551,10.026738474869783,10.229079761764579,7.542461477364972,10.428435857569417,11.510691448531045,10.660926585441967
30,7.66294286137655,10.094532765887465,10.30495536680868,7.773246233119821,10.613594543302778,11.844654374290473,10.883453146234585
1390,81.56510550067509,12.210388638286343,14.977191014492538,89.90423978668507,62.106964367718845,76.88453646554817,51.398845268302374
31,7.924637051088419,10.134703647683521,10.405555566027939,7.900883837795284,10.789132555678192,12.263181844010044,11.160841271272727
1391,81.58153248573964,12.210913084121259,14.977191014492538,89.90486436156354,62.1075889425973,76.88934858337126,51.40101902281138
32,8.139175181191685,10.152296106331812,10.438697377734417,8.042246643401766,10.983946312985758,12.515109323278551,11.51197769977334
33,8.41779110708989,10.195535693159464,10.51560655516845,8.223655750091655,11.079453956474008,12.909902498792045,11.839713778794623
1392,81.66378704535126,12.211437529956175,14.98222031350745,89.94103441428929,62.11407227954675,76.89823585423754,51.40101902281138
34,8.600270426098621,10.232018396541198,10.620083855037418,8.286498654091076,11.311813044727762,13.285819315843597,12.209477123907167
1393,81.66814370442003,12.217308796171688,14.98222031350745,89.9506439319994,62.11407227954675,76.92576132820837,51.41050719383004
35,8.788139361851904,10.247556808139938,10.650812312763104,8.44814821934738,11.555420608449017,13.63976768450959,12.510245560886109
36,8.945377319360524,10.268922456431202,10.787000643421111,8.564327735831894,11.780298511434518,13.944193148521734,12.823741370975503
1394,81.7037690224021,12.219468796609393,14.98222031350745,90.00802303281395,62.11459672538166,76.92576132820837,51.4192100487277
37,9.190380985048709,10.273314929008325,10.87082531600489,8.699661692700442,12.07079376844404,14.314028101750088,13.179675589943255
1395,81.70812568147086,12.219993242444309,14.98222031350745,90.02006676973,62.15702474088958,76.92576132820837,51.420859357401795
