Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta
1992,0.1649199709593532,0.2080500624909516,0.3078741385191634
0,0.9678031178238065,0.9702166274712448,14.756880347605598
1993,0.1654209881092797,0.20725202288267747,0.3208221528931241
1,0.9511055831565237,0.9370567476515561,15.693694380621531
1994,0.16535025003098636,0.20822157844583078,0.34194757239710666
1995,0.1658571978840163,0.20888931349921522,0.3140137890619871
2,0.9295073976395749,0.9202988233449167,14.904543311458047
3,0.9059746877208861,0.9067642312733536,13.579483115900178
1996,0.16580910674653188,0.20893957106525568,0.2547624114719714
1997,0.16550750818896623,0.20723041190375677,0.27291560855024344
4,0.8644851992722357,0.8931024491878748,13.931430935369345
5,0.8693105291516909,0.8869987983552902,14.218468176588683
6,0.866664692316691,0.8834120620105927,13.126595734496632
7,0.844115931528138,0.866863060417194,14.014550257699536
1998,0.16575583457869977,0.20803557606718864,0.302438206918129
8,0.8395535386249872,0.8582163695513823,12.522371927611728
9,0.8340007480572901,0.8331123794199564,11.637229368802146
1999,0.1660408066673123,0.20804196714771983,0.3405685546657943
10,0.8296577687640854,0.8153126526482698,11.576024035600872
2000,0.16637182519183286,0.2080741281105943,0.26914198274011103
11,0.8188484122973332,0.8215356201583839,11.98973608103439
12,0.8158513591228707,0.801561376751682,10.380351933740789
2001,0.166459413018368,0.20824375999279726,0.28348350705016057
13,0.8179697682917985,0.7978038217443557,11.432589239809964
2002,0.16571686875786634,0.20820636176947774,0.3149605483697119
14,0.8077118343960927,0.7885156076588498,9.603904430852417
2003,0.16608378836416027,0.2082210497806701,0.33281354701318666
15,0.7987201620478679,0.7864376250482533,8.921036763013387
16,0.8031957224589389,0.78345263305146,8.433334018582794
2004,0.16537739689884795,0.20730995802715063,0.32507794105784615
17,0.7960293563069072,0.7588663151179678,8.147729663523824
2005,0.1651761766625684,0.20730004947094133,0.3042954624334821
18,0.7861201157343194,0.7615567448510402,7.823971764623705
2006,0.16521630932318873,0.2075878875546659,0.3208855906091515
19,0.7856289499277345,0.7371305147012285,6.352738212183364
20,0.7736509901649407,0.7247567802768168,5.4735810849991156
2007,0.1654563129145447,0.2083588359949732,0.30857134311480505
21,0.7650936736412692,0.7131430223257438,5.188976690092588
2008,0.16556350919426802,0.20873987228987048,0.28373537218182804
22,0.7629490377479116,0.7062596858261614,4.305476094573002
23,0.7533251531852485,0.6958513160606662,5.034260418975866
2009,0.1651309652312841,0.20887230326658188,0.31217672253645545
2010,0.16528167829908896,0.20855789223789775,0.32050961300491726
24,0.7462509421423713,0.700285476861269,3.5027269962024916
2011,0.16544637501250495,0.20744513479364696,0.3155144123003814
2012,0.16487389396750174,0.20732433935245242,0.3290312163404484
25,0.7521157666639919,0.6848927607730609,2.5023024861090626
26,0.7459168208051842,0.6719685932884462,2.86958282825129
27,0.7430217462307018,0.663344789387862,2.1099499280074574
2013,0.16492589678032718,0.2073175715444414,0.34642119629413926
28,0.7335835661018439,0.6337064778493964,2.132762586540733
2014,0.1650487467846218,0.20701670775126457,0.3502392784174137
2015,0.16513966468793576,0.20716624495383074,0.32184411295587073
29,0.7274101273304376,0.6161632619540256,2.108465096006461
30,0.7334572193766997,0.6080380092417655,2.1120905902818414
31,0.7322706536215062,0.5890024335835048,2.5046033723517
2016,0.1651214080234174,0.20717053802974164,0.32484729224331993
32,0.7241124089775798,0.5840746595315945,1.7075341127404102
2017,0.16516049984696707,0.20692419245506852,0.33880983244404306
33,0.723604248150796,0.5720744846620625,1.6507319025760399
2018,0.164829383222522,0.20683460949406643,0.27910678230359837
34,0.7226363643887159,0.5712921617294594,1.467456282723846
2019,0.16437763475008915,0.2065371096693914,0.2601385647590236
35,0.7278500580089011,0.5725416069846078,1.7726007829653838
36,0.7228615360889521,0.5736605697947642,1.4584334118633668
2020,0.1648754078527045,0.20672744931620485,0.3330712518723926
