Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.39829615229674975,0.4051928862559433,0.3553304640549332
1,0.7633303588412877,0.8987197333521526,1.0752672906347436
2,1.0638790548178558,1.5076048845274128,1.5640002916183366
3,1.4289132613623938,1.7854883436094466,1.9622964439150863
4,1.7939474679069318,1.8026326951882585,2.719727356380149
5,1.811091819485744,2.2913656961718516,2.736871707958961
6,2.3795015575249865,2.6896618484686012,3.2303985550551704
7,2.78469444378093,3.0449923125235343,3.707731209902032
8,2.8018387953597417,3.2314958380118766,4.207517086657262
9,3.2414199013907714,3.545878383399074,4.52189963204446
10,3.5419685973673394,3.9854594894301036,4.869945361865578
11,3.5419685973673394,4.553869227469346,5.147828820947612
12,3.5419685973673394,5.0536551042245765,5.538325167301539
13,3.5419685973673394,5.401700834045695,5.74095496065439
14,4.1103783354065815,5.4678194128898925,6.208101316446308
15,4.1103783354065815,6.225250325354955,6.208101316446308
16,4.1103783354065815,6.945187151934766,6.613294202702251
17,4.515571221662524,7.147816945287618,6.97832840924679
18,4.880605428207063,7.538313291641545,7.164831934735132
19,4.880605428207063,8.005459647433463,7.604413040766162
20,4.880605428207063,8.482792302280325,8.213298191941423
21,5.369338429190655,8.783340998256893,8.92588250964613
22,5.571968222543507,9.14837520480143,8.992001088490326
23,5.849851681625541,9.14837520480143,9.292549784466894
24,6.316998037417459,9.860959522506137,9.860959522506137
25,6.756579143448489,10.300540628537167,9.87810387408495
26,7.2453121444320825,10.800326505292396,10.268600220438877
27,7.2453121444320825,11.512910822997103,10.666896372735627
28,7.2453121444320825,11.5790294018413,10.869526166088479
29,7.2453121444320825,11.856912860923334,11.056029691576821
30,7.2453121444320825,12.262105747179277,11.073174043155634
31,7.447941937784934,12.627139953723814,11.13929262199983
32,7.936674938768528,13.017636300077742,11.74817777317509
33,7.936674938768528,13.372966764132675,12.2417046202713
34,8.430201785864737,13.372966764132675,12.519588079353333
