Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.6063787608383768,0.4246340108336402,0.6377172137732119
1,0.997576242844492,0.8492680216672805,1.1387400967425496
2,1.2956612099977913,1.500467384060109,1.5947457671843206
3,1.4773732096398597,1.9154683803304002,2.02590720203958
4,1.7198922388293751,2.499392253417898,2.2622552808296326
5,2.016301080876036,2.9543092345501742,2.839661508385325
6,2.198013080518104,3.4405925926129433,3.3988361039196073
7,2.3797250801601724,4.069072040396712,3.8995248655622765
8,2.62976350677928,4.13867165558524,4.345232395392424
9,2.811475506421348,4.3099373720725405,4.671454572428671
10,2.9605316848691863,4.692796968349815,4.922559723125792
11,3.222050664305224,4.928227933638601,5.257408899263951
12,3.3711068427530626,5.347038216325242,5.6079980774052265
13,3.5201630212009016,5.668570975763965,5.8841702702030725
14,3.66921919964874,6.207387291364294,6.420224255433799
15,3.818275378096579,6.413405936274236,6.820850626569627
16,4.079794357532617,7.0611607679208195,7.081779094838476
17,4.228850535980456,7.491209497035781,7.203798919671736
18,4.377906714428295,7.6854884920926825,7.375414611282468
19,4.617127884300215,7.927303591628572,7.903557541174671
20,4.795439657043296,8.041129853066519,8.181395663107809
21,4.944495835491135,8.326074663150854,8.459495730383425
22,5.101938410611345,8.723108038551826,8.785010287750602
23,5.259380985731555,9.038801935339883,9.112856029863476
24,5.479955136432124,9.317019949807674,9.304972994208084
25,5.629011314879962,9.567447946636376,9.437550901480085
26,5.778067493327802,9.701943885681844,9.553999063313011
27,5.92712367177564,9.840470021744583,9.852614746053055
28,6.137890928993313,10.061902625874218,10.12832411922925
29,6.281997331053637,10.217110739390161,10.522038259908872
30,6.41343299574312,10.523556639023111,10.670234166621025
31,6.602378096322961,10.718869323787295,10.808466321843701
32,6.822804792852466,11.131135329616887,11.022429614540728
33,6.975149117373455,11.564843641458008,11.291523824297123
34,7.176824463708684,11.82857847538321,11.476536895323948
35,7.295591955573502,12.088731566092042,11.66980639150233
36,7.41435944743832,12.508973959910875,11.79021674831819
37,7.563346905474669,12.897595049982158,11.896039874877173
38,7.766543862505072,13.085058304159684,12.12171426796974
39,7.968054913148199,13.455242391252813,12.198200485863474
40,8.086822405013018,13.645499797055667,12.421994177113843
41,8.230992906139022,13.77712557707513,12.489244850050003
42,8.349760398003841,13.954028294267573,12.645111317319316
43,8.448701996516327,14.224342555116504,12.766623245116952
44,8.610509284946131,14.472414701138982,12.859335916545898
45,8.709450883458619,14.64805379510201,12.91311689666108
46,8.808392481971104,14.986650501776328,12.95099699624615
47,8.90733408048359,15.115969150247679,13.160917473515426
48,9.200065873749669,15.33222220237279,13.228321914118174
49,9.299007472262154,15.550462456274502,13.306819711319836
50,9.39794907077464,15.765532306076826,13.407390647183451
51,9.635475147924618,15.964414006531806,13.61316800355328
52,9.734416746437104,16.16831498244077,13.71531526691786
53,9.870759305706489,16.352312713019877,13.747947253427622
54,10.06482127924116,16.63845157073704,13.766432156611774
55,10.163762877753646,16.815735849844252,13.824202261257337
56,10.262704476266133,17.03250258985104,13.956109262238755
57,10.405110178393926,17.307965681640088,13.991958191498478
58,10.504051776906412,17.38721163931939,14.211625347701517
59,10.61854227487151,17.62642761492119,14.309086105380493
60,10.717483873383996,17.833050910001198,14.367875503809916
61,10.816425471896483,18.210391392021062,14.481677627849425
62,10.93091596986158,18.501637372066426,14.518645256528194
63,11.029857568374066,18.806318643585065,14.649575110764392
64,11.217790198726572,19.120673504597768,14.754153093254871
65,11.53216591136606,19.195502496327727,14.996926639990704
66,11.725362775587794,19.293800779401316,15.00189140337282
67,11.9132954059403,19.597221618692537,15.09542504904014
68,12.012237004452787,19.800738699648658,15.240836783050067
69,12.163164189723773,19.957585340986984,15.261891352547106
70,12.276900147998942,20.236848518575652,15.362616166374803
71,12.613856289943227,20.6243531421136,15.42578614148152
72,12.712797888455714,20.82237355006233,15.509304326372472
73,12.82728838642081,20.921620097412607,15.59368594121496
74,13.028106275704696,21.12058447947279,15.699218755310946
75,13.38459892169955,21.257603798780416,15.846665638530316
76,13.529736623651157,21.4240265780931,15.846665638530316
77,13.711027479482743,21.532176597986936,15.879256135159926
78,13.798784689647011,21.610362797843734,15.993159994475178
79,13.907596469308317,21.85407745432564,16.043549883982287
80,14.135971969677689,21.974749686791217,16.117845069067332
81,14.302328414221538,22.16600464686362,16.151614734556023
82,14.390085624385804,22.27480239075844,16.16279912290424
83,14.47784283455007,22.31960520793066,16.3902380522207
84,14.565600044714339,22.5915234781399,16.402906225045363
85,14.653357254878605,22.785079075989437,16.402906225045363
86,14.741114465042873,23.024854852280093,16.417719066823064
87,14.82887167520714,23.153685870688026,16.545410480684037
88,14.981181322182286,23.42070430127,16.6267704488399
89,15.15251247395131,23.443601115507576,16.6267704488399
90,15.240269684115578,23.674151903030484,16.72478390024351
91,15.377032097571211,24.020868004566886,16.763318637380223
92,15.472301634677246,24.331446688252015,16.802282142457315
93,15.560058844841512,24.38796421848515,16.817076502219997
94,15.64781605500578,24.54843204660597,16.862881143683232
95,15.799754651279404,24.768334611574705,16.91575182654246
96,15.833537185875448,24.965718238750977,16.990825916026743
97,15.900889694226091,25.11995320233622,16.990825916026743
98,16.06320083842018,25.19254521810909,17.009522631316727
99,16.222512905683836,25.52731282197349,17.02431699107941
100,16.25629544027988,25.78062914110952,17.02928175446153
101,16.39264742700657,26.143981275758716,17.099458618533635
102,16.511219775634626,26.177465229245847,17.16815528784033
103,16.625046808834952,26.25060580425467,17.16815528784033
104,16.658829343430998,26.473938517012744,17.262454458571963
105,16.692611878027044,26.70634180612157,17.262454458571963
106,16.726394412623087,26.858551368093266,17.262454458571963
107,16.7676892741609,26.951050252936305,17.28993547317433
108,16.801471808756947,27.008746359734698,17.406728779538703
109,16.835254343352993,27.23409089657997,17.51759869130858
110,16.894326859742712,27.39820053429522,17.64356478477247
111,17.02726688021928,27.55552151181222,17.648529548154585
112,17.061049414815322,27.629008425967452,17.700228368650606
113,17.09483194941137,27.887082408508974,17.74458386140763
114,17.196940910984456,28.133101900600145,17.770115008207938
115,17.241907833928718,28.463488415361418,17.851759471449977
116,17.306254364679543,28.662474689407134,17.866553831212663
117,17.438772795848198,28.677269049169816,17.873854346048596
118,17.587252172848835,28.85523561671055,17.873854346048596
119,17.67103181639347,29.06282626010285,17.911621418166156
120,17.719608710752198,29.25454086723567,17.911621418166156
121,17.89815574009898,29.427336800187113,17.911621418166156
122,17.99858368763409,29.515680162615325,17.92428959099082
