Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,PHELinearBanditTheta
0,0.8294088337447929,0.6948231760762758,4.576846527048974,1.0
1,0.6676722554124863,0.5032097618535446,3.0135437116807453,1.0
2,0.41368319696447237,0.36164002478195967,0.33966958977244965,1.0
3,0.19382146004323939,0.24152805785277956,0.2727206382315999,1.0
4,0.14636590323911694,0.19553837012996533,0.2039129447878866,1.0
5,0.13052578710015933,0.1938503671817836,0.23444484473015473,1.0
6,0.12157676998072828,0.15946547004388034,0.20565673049824845,1.0
7,0.11450963756954817,0.16236003205009725,0.20176358938535252,1.0
8,0.11587387625760477,0.15042865129417868,0.166304609517485,1.0
9,0.11017991700285616,0.12942642173150315,0.20177251955836115,1.0
10,0.111912099678163,0.11132813144438229,0.20388243027840175,1.0
11,0.10770690705467216,0.10508124197908893,0.18136862630265377,1.0
12,0.09304478752935137,0.08073812771604133,0.204263938204685,1.0
13,0.08996304316196327,0.0824060781037529,0.1977028792223004,1.0
14,0.08796320193235249,0.07719609847059007,0.18832949878785737,1.0
15,0.08773546134972768,0.07409664710084779,0.15121844311697144,1.0
16,0.08948626869477316,0.06898488185674237,0.1622564108560019,1.0
17,0.08320766928164054,0.06107504511072391,0.12742244017995355,1.0
18,0.08621841189664685,0.06375601798072777,0.15165485415666446,1.0
19,0.08365436671024981,0.061828999228180484,0.17448375498850408,1.0
20,0.08904760996024974,0.0647568671764956,0.15930611079749252,1.0
21,0.08851066720094908,0.06385755377001487,0.14146461570920094,1.0
22,0.08609837592792116,0.06314609416654421,0.1675804730299933,1.0
23,0.08110732367491114,0.05715077069386153,0.17598629674767105,1.0
24,0.08059060713007382,0.05837905231663502,0.18950544352905588,1.0
25,0.07527813030785858,0.05664561654319333,0.14515425246226638,1.0
26,0.07513110969620913,0.057007635119768404,0.1753497305082648,1.0
27,0.07548005176600983,0.057698954344089004,0.15664861756001117,1.0
28,0.07025537268877013,0.05542301648032533,0.16640449450007205,1.0
29,0.07229106982363313,0.053895355563645234,0.14735737010749958,1.0
30,0.07008715067952218,0.05186742946164802,0.11019152032709838,1.0
31,0.07041092903736165,0.05155160766302912,0.18319709812298857,1.0
32,0.06986051706537563,0.050432618451262554,0.13982005255629595,1.0
33,0.06918751617918893,0.049861207569316376,0.1444128061713257,1.0
34,0.06644545517316254,0.04933080353028785,0.15609826518402922,1.0
35,0.06718252577760844,0.04780474507496452,0.1524360753116811,1.0
36,0.06753407982516033,0.048201632754462334,0.1161835480677503,1.0
37,0.06130468501369661,0.04865172396064737,0.13562807496717402,1.0
38,0.06254749650030303,0.04884349881177712,0.160582618266674,1.0
39,0.058117854324232734,0.04846762453412627,0.12219156464574751,1.0
40,0.05782227173006791,0.04972669162671829,0.12968757107550438,1.0
41,0.05826604169540869,0.04936632349806101,0.1656724908622313,1.0
42,0.05859993178767451,0.050007490049209014,0.12348928965109862,1.0
43,0.05663780807677029,0.05027260871973459,0.13535851232461937,1.0
44,0.0561555328901409,0.05070302143871945,0.16954381037471386,1.0
45,0.05480577184589723,0.05059935592671259,0.15233498567773923,1.0
46,0.055052498743822356,0.05078913233287261,0.1773121701167154,1.0
47,0.054776672986748945,0.05052652450526953,0.14173214520179062,1.0
48,0.054304418557267406,0.050411622774961876,0.1155700116941883,1.0
49,0.05731435253982211,0.04942899429018262,0.12750571133510039,1.0
50,0.05701562808218197,0.04981496883174423,0.12106403200170798,1.0
51,0.055353090567311844,0.04911749525952891,0.1172629507672462,1.0
52,0.054405443478320506,0.04933306095219115,0.1249967318192475,1.0
53,0.05444062043269027,0.048987058900838695,0.14479755278947387,1.0
54,0.054459431685862356,0.04866839303575612,0.13232309028355824,1.0
55,0.05489417788899844,0.04852294937098306,0.1719829749212202,1.0
56,0.05523098937594453,0.04855850784187114,0.14568596499659026,1.0
57,0.05537650121987867,0.04862104575002132,0.1049325691696525,1.0
58,0.05533999410851711,0.04896741467290015,0.1413809762973984,1.0
59,0.05731152226413755,0.048646951472534034,0.1399826366177927,1.0
60,0.052296698595471904,0.04909584288984951,0.11588428095763084,1.0
61,0.05154638923455257,0.049685596346922725,0.14346005606228718,1.0
62,0.0507580367006084,0.04990792405498649,0.1242001777435832,1.0
63,0.050385756938419624,0.049890798033641534,0.11145091105502206,1.0
64,0.050676827414106215,0.04985469056816959,0.1278375345794563,1.0
65,0.05100522998862099,0.04953596356919846,0.14989051319305466,1.0
66,0.049718230929000365,0.04975248032492696,0.1436930782114751,1.0
67,0.04881466188230203,0.04992075727758893,0.17549915098420352,1.0
68,0.04919650624260911,0.05032006365450459,0.10333874697231582,1.0
69,0.051096342055039455,0.05046262421712907,0.09990667344161913,1.0
70,0.048943552566325724,0.050606150816726814,0.11914180583825296,1.0
71,0.05153289737663273,0.05101388906648119,0.17162647186460495,1.0
72,0.04905526890417653,0.05077812202329639,0.09716215423225402,1.0
73,0.047212914123346564,0.05061696775696589,0.11567738285842603,1.0
74,0.0488581636702161,0.0504437183372898,0.11642891981036015,1.0
75,0.04906980750543938,0.05079309660227928,0.1345696501580526,1.0
76,0.04830835562495488,0.05063377589476009,0.13026404644436965,1.0
77,0.04844389499114162,0.050753568003874004,0.09914133691037534,1.0
78,0.04763492184383293,0.05029283831467411,0.13817179430343757,1.0
79,0.048259457759407084,0.04952345771961537,0.09988580499542588,1.0
80,0.04842241950635156,0.04943897023581617,0.11362546878058863,1.0
