Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.8334760024186939,0.6373297648779614
1,1.6793781172243505,1.2252951969052837
2,2.1234289927932712,2.122053148880751
3,2.969331107598928,2.8663963211651184
4,3.7136742798832953,3.3331901652036935
5,4.379444524723203,4.2507215492176025
6,5.055969232373979,4.596040451216888
7,5.5000201079429,5.429516453635582
8,6.333496110361594,6.130288917222843
9,6.777546985930515,6.719636091502911
10,7.221597861499436,7.5655382063085685
11,7.6656487370683575,8.34373910157164
12,8.109699612637279,8.87620424327593
13,8.977691271368828,9.415890255781513
14,9.42174214693775,9.870926235558455
15,10.098266854588525,10.326326255122167
16,10.944168969394182,10.992096499962074
17,11.861700353408091,11.58474541351349
18,12.401386365913673,12.028796289082411
19,13.234862368332367,12.028796289082411
20,14.06833837075106,12.528182689063689
21,14.512389246319982,13.079640155666578
22,14.956440121888903,13.947631814398127
23,15.400490997457824,14.624156522048903
24,16.178691892720895,15.09650122597275
25,16.622742768289815,15.964492884704299
26,17.066793643858734,16.41989290426801
27,17.510844519427653,16.886686748306584
28,17.954895394996573,17.664887643569656
