Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,HEHEHEHHETheta
0,0.9931868571263914,0.9856388196807278,13.333056891974792,0.9955882140564768
1,0.98424141517386,0.970946245433919,14.403292201135187,0.9805345462662354
2,0.972063788785718,0.9549713667587831,15.528244067564438,0.9691759201729575
3,0.9718546304432202,0.9390406006298491,14.720473543961443,0.9490183475211242
4,0.9633308087754575,0.9255264054427388,13.238457863505527,0.9384911147527413
5,0.9525836050238841,0.9137859255541855,12.71042423384092,0.9198405894188181
6,0.9376274166047157,0.8992902674707931,13.63933326679496,0.9011455180418186
7,0.9299481487988034,0.8921115127375276,12.826192336240226,0.8789940244432707
8,0.9206834367783413,0.85402353830392,13.495757473876372,0.8458269843967088
9,0.9008439503400778,0.8431592881686264,11.849453641016373,0.8471583580326827
10,0.8919915947711721,0.806104607031128,12.160718239842758,0.8360295839162198
11,0.8858021462554015,0.7786844130943017,10.953538763503394,0.834048382888709
12,0.8834549844200833,0.7578042899424627,12.243227685016697,0.8232676931665791
13,0.8738137148600756,0.7320979710824457,10.751596068806453,0.8009246435300638
14,0.8626086824966723,0.7349789095937084,10.32315962413586,0.7853161518804143
15,0.8581920035370443,0.7390471945924795,8.279426966446891,0.7808030531286457
16,0.85263189009836,0.7361781269718914,8.935665843598514,0.7806954709823781
17,0.8515522638617176,0.7222761812235813,7.755360766967941,0.787279843234935
18,0.8380888538739605,0.703253024345206,5.996128209636471,0.7753699671635133
19,0.8202237633601952,0.7042539352969409,7.969095116354903,0.7719331355150432
20,0.8156094150000006,0.7065581949588148,6.767125578520485,0.7557579163470594
21,0.8078068620349095,0.6995568858696932,6.4139426080365425,0.75077943980327
22,0.8066097264915412,0.6872192739695768,5.0574839236062585,0.7462566447127005
23,0.8077145674932222,0.6790039328660625,4.936648668623095,0.7470200964820974
24,0.8089650230992931,0.6474131753351179,5.186719200619321,0.7316857145161715
25,0.809276179723328,0.6428388247217733,4.9354906562933945,0.7024036974350099
26,0.8093189973248555,0.6428291305180155,5.829934893603617,0.7110457465277442
27,0.8052895136782349,0.6431017845821784,5.307068153487158,0.6831356310543544
28,0.8024280422648913,0.641234134093012,3.5151700204225653,0.6855602122237694
29,0.7972280270376924,0.6408669623637125,4.708377062167877,0.6784642016681082
30,0.8000560946891205,0.6415112745696776,4.723256473030841,0.6754975869384581
31,0.8016616823642568,0.6427966048031705,4.4623134825649,0.6740706235040301
32,0.8002577030945417,0.6364479825882207,4.201150136499111,0.6745688318247115
33,0.7970973358753022,0.639038806843363,4.51755100591989,0.6931582178833908
34,0.7968070904203449,0.6330215221072348,3.9683457836582745,0.6763484882282217
35,0.7968000987317916,0.6304481576002561,4.4518045844934715,0.6674585624155595
36,0.7973600312733711,0.6301712040527767,4.173323162238242,0.6666956464548599
37,0.7862390938332078,0.628820983527657,4.29921634148388,0.6746806955285954
38,0.7587940665441211,0.6269092387301476,4.92676207919598,0.6709850420348047
39,0.7582881404476919,0.6270494388984311,4.572850427345256,0.6644127726359484
40,0.7472657704144673,0.6281535471112045,4.829942321279775,0.6665413343205018
41,0.7360669726089882,0.6271732111645523,2.9635215734014206,0.6559520315223236
42,0.7364560495206312,0.6315826473352073,3.609787848305031,0.6598310403147185
43,0.7376868497179889,0.6315157811425818,5.059284828387089,0.6593563297082394
44,0.7268643730806297,0.6311941232604864,4.606597547775113,0.6553754285378027
45,0.7288712743333623,0.6295529473528918,3.334900241075045,0.6528840564803027
46,0.7271183534582037,0.6274916200463388,4.576806759659094,0.652889126840837
