Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,TSLinearTest
0,0.5365332886041526,0.7566518191946773,0.9594201633961434,0.7566518191946773
1,1.3368031660531323,1.6695721854965295,1.4350683284330104,1.5725331232232063
2,1.9180118048801078,2.603186264212749,1.8021507282180775,2.433705197433748
3,2.5204172697077154,3.361185278553285,2.1642085292514732,3.0403647469268766
4,3.2635750393007625,4.357369332737372,2.405168958657742,3.6327255562446554
5,3.746877644916664,5.250685784609659,2.6883538839270846,3.701273030291934
6,4.247212819057685,5.9302505613225245,2.983397318111668,3.834481456843014
7,4.870674679434447,6.975791609695378,3.2188402237326423,3.9670173843387198
8,4.974626221389669,7.823981818911112,3.4446006040003696,4.042256202307521
9,5.281826298371073,8.434525820130583,3.659881260402456,4.0949937843427175
10,5.578850790103059,9.341342221241149,3.7185072499804512,4.131629060282481
11,6.042691446421157,9.941554082247483,3.867874902077135,4.134422036129232
12,6.284691279470005,10.957405508245353,3.953490099227963,4.160500622436527
13,6.569985545244249,11.843620745785005,4.154344542139939,4.163293598283278
14,6.954256213724117,12.626788688248773,4.248237948729534,4.163293598283278
15,7.253486371878219,13.629413109713104,4.31366003322933,4.175608360083197
16,7.473863189857726,14.38544488193017,4.385191808564143,4.178401335929948
17,7.643148093437264,15.092626081465928,4.436132377953897,4.194958136284076
18,8.08792242281977,15.88358540260484,4.523095542276397,4.2109541553236935
19,8.403480326336162,16.933287771482576,4.5784648524585725,4.213747131170445
20,8.566233913836045,17.92258996386798,4.604388049963122,4.216540107017197
21,8.716617832350092,18.78524444749274,4.643339467618352,4.2330969073713245
22,8.97760165861541,19.677576506131665,4.657103292125728,4.244244314920449
23,9.442782276840607,20.618018560130498,4.684127361328013,4.2470372907672
24,9.605567077749388,21.435840983102462,4.7484510867833425,4.278539497150961
25,9.871759608100625,21.435840983102462,4.814906861553132,4.281332472997712
26,10.188412847222065,21.435840983102462,4.883193463020167,4.281332472997712
27,10.659278883145099,21.435840983102462,4.935694559157588,4.281332472997712
28,11.039712960069826,21.435840983102462,4.948184143999692,4.281332472997712
29,11.323283394989122,21.435840983102462,4.964945294959973,4.281332472997712
30,11.558342019008343,21.435840983102462,5.036217832960173,4.295453648186204
31,11.935924572486638,21.435840983102462,5.0498640359274045,4.295453648186204
32,11.93871754833339,21.435840983102462,5.0498640359274045,4.295453648186204
33,12.29260536356263,21.435840983102462,5.06380441932328,4.295453648186204
34,12.957404551545755,21.435840983102462,5.132047127748232,4.295453648186204
35,13.23034358187706,21.435840983102462,5.135014926637169,4.295453648186204
36,13.377867753188013,21.435840983102462,5.203123460017346,4.295453648186204
37,13.67020596578287,21.435840983102462,5.213854972692,4.298246624032955
38,14.065246768192793,21.435840983102462,5.214029795734186,4.298246624032955
39,14.681532113187274,21.435840983102462,5.239179021085345,4.298246624032955
40,14.822533044385187,21.435840983102462,5.3059663012395974,4.298246624032955
41,15.129827441847315,21.435840983102462,5.336846163635748,4.301039599879706
42,15.501631943887713,21.435840983102462,5.358524904327437,4.301039599879706
43,15.78571077613988,21.435840983102462,5.390080483713566,4.301039599879706
44,16.004847515032974,21.435840983102462,5.390080483713566,4.312187007428831
45,16.12602167170905,21.435840983102462,5.400933710834047,4.312187007428831
46,16.277476863554707,21.435840983102462,5.423591879576841,4.330976002315199
47,16.84542420705152,21.435840983102462,5.434323392251495,4.330976002315199
48,16.946947699062093,21.435840983102462,5.437291191140433,4.381894306144155
49,17.20206164630429,21.435840983102462,5.46460944077136,4.397890325183773
50,17.497657477580475,21.435840983102462,5.46460944077136,4.397890325183773
51,17.60345224099505,21.435840983102462,5.513995141228427,4.397890325183773
52,17.90156991295451,21.435840983102462,5.514169964270613,4.397890325183773
53,18.219000722332776,21.435840983102462,5.536375366712316,4.397890325183773
54,18.22179369817953,21.435840983102462,5.536550189754502,4.422387398212117
55,18.39458482756016,21.435840983102462,5.576419739405358,4.422387398212117
56,18.641357311520743,21.435840983102462,5.614985442700699,4.422387398212117
57,19.0230736249412,21.435840983102462,5.628806468710118,4.422387398212117
58,19.18426067640747,21.435840983102462,5.649059767337939,4.422387398212117
59,19.277957804049368,21.435840983102462,5.663355765568617,4.435737063691337
60,19.469025681616692,21.435840983102462,5.666323564457555,4.435737063691337
61,19.62248194991698,21.435840983102462,5.71727889455804,4.4385300395380884
62,19.988542594834026,21.435840983102462,5.71727889455804,4.4385300395380884
63,20.0336586614665,21.435840983102462,5.733449736639844,4.4385300395380884
64,20.207198574135,21.435840983102462,5.764151270996,4.4385300395380884
65,20.321673148058583,21.435840983102462,5.764326094038186,4.4385300395380884
66,20.73691724847387,21.435840983102462,5.77681567888029,4.4385300395380884
67,20.79448532759968,21.435840983102462,5.902165785175532,4.4385300395380884
68,21.10798947265192,21.435840983102462,5.902340608217718,4.4385300395380884
69,21.43789658358906,21.435840983102462,5.9025154312599035,4.4385300395380884
70,21.483012650221532,21.435840983102462,5.91603991978131,4.4385300395380884
71,21.564659204152584,21.435840983102462,5.919007718670247,4.4385300395380884
72,21.699584555401028,21.435840983102462,5.919182541712433,4.4385300395380884
73,21.778715672942884,21.435840983102462,5.946206610914718,4.4385300395380884
74,22.01323809925688,21.435840983102462,5.963142584917184,4.4646139780928875
75,22.214995069954234,21.435840983102462,5.963142584917184,4.4646139780928875
76,22.626160644854565,21.435840983102462,5.976963610926603,4.4646139780928875
77,22.710635183656322,21.435840983102462,5.977138433968789,4.4646139780928875
78,22.820140285682932,21.435840983102462,5.977313257010975,4.4646139780928875
79,23.3825988250155,21.435840983102462,5.977313257010975,4.4646139780928875
80,23.51878185671939,21.435840983102462,6.00357201860796,4.478735153281379
81,23.800188088698082,21.435840983102462,6.00357201860796,4.478735153281379
82,23.834483270928594,21.435840983102462,6.033864035878255,4.478735153281379
83,24.416583718530546,21.435840983102462,6.047685061887674,4.478735153281379
84,24.6182759684906,21.435840983102462,6.080387133335618,4.49973404303504
85,24.928848331631034,21.435840983102462,6.080387133335618,4.49973404303504
86,25.103123592470006,21.435840983102462,6.080387133335618,4.510881450584163
87,25.184944969443244,21.435840983102462,6.091118646010273,4.510881450584163
88,25.34354193949236,21.435840983102462,6.091118646010273,4.510881450584163
89,25.44963281103329,21.435840983102462,6.105239821198764,4.51105627362635
90,25.607157587487848,21.435840983102462,6.1080327970455155,4.51105627362635
91,26.003906093283813,21.435840983102462,6.108207620087702,4.5222036811754736
92,26.324589825884864,21.435840983102462,6.1302082547573065,4.5222036811754736
93,26.36326019801667,21.435840983102462,6.1302082547573065,4.524996657022225
94,26.551165371333287,21.435840983102462,6.1302082547573065,4.525171480064411
95,26.660267741862747,21.435840983102462,6.1302082547573065,4.525171480064411
96,26.889420411978204,21.435840983102462,6.133001230604058,4.525171480064411
97,26.892388210867143,21.435840983102462,6.175324321389782,4.525171480064411
98,27.01031672896675,21.435840983102462,6.184846107342949,4.527964455911162
99,27.34293853327508,21.435840983102462,6.211870176545234,4.527964455911162
