Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta
0,0.9918529213291183,0.9988465959974009,16.87462605600065
1,0.9638297875949157,0.9542229939388596,14.897908740341265
2,0.9621425159062209,0.9408508852826708,15.164322143213619
3,0.9311541721152929,0.9359529070135295,14.333770824997327
4,0.9268469578234398,0.9198196112068542,14.495279345808077
5,0.92394010744196,0.9026327021321535,13.063857602972712
6,0.8983860459182529,0.8859948994666367,12.43689419088801
7,0.8964471111872101,0.8727612547680417,11.74555012697546
8,0.8771483602550436,0.8640876661307434,12.825258154463635
9,0.8425311764654779,0.8174311075589624,11.456990827673398
10,0.8320986420337307,0.7968824930558732,11.426510974774745
11,0.8122600965687832,0.7928798043176306,12.672357492913104
12,0.807640865916771,0.7777941655282576,11.541727747516322
13,0.7875468447289393,0.7706791784205886,11.30059514107034
14,0.7663458854290301,0.7638211182466726,8.75338168825839
15,0.7491328020256074,0.7475372311313957,11.263449666711505
16,0.7482075190174098,0.728277094084545,8.57424041501338
17,0.7430017361819721,0.716669565064536,8.237070805482881
18,0.730933961416175,0.6897852871407131,9.675389454463573
19,0.7257988873839343,0.6597155520589797,8.251300482262405
20,0.718162752791935,0.6480035406927517,6.6131150404984975
21,0.711214929103664,0.6589848328149348,5.435378296715489
22,0.7037768379042767,0.6570865432017297,5.76408153194431
23,0.708357692717685,0.6459667822894181,5.408833552420533
24,0.6988733165288799,0.6423513293403106,4.453638076181823
25,0.6778622353224004,0.6413065765796568,3.754769346746697
26,0.6669019021632467,0.6523042324748549,3.2811756537052106
27,0.6615282527954613,0.6428808169087359,2.584314062965361
28,0.6452249327444615,0.6468347853039004,2.8886801436470275
29,0.6401796950184483,0.6533956681812187,2.5013311459864895
30,0.6463881344153861,0.6402554057355114,2.3688621575322992
31,0.6291967833262767,0.6337080481533311,1.913148481218387
32,0.6287001279610825,0.6206439799769587,2.0154279598114813
33,0.6212943967875055,0.6019599001941491,1.811676805479267
34,0.594311541362527,0.5974932904046563,1.7932975476966742
35,0.5931742735502575,0.5879449309375333,1.7672291232467665
36,0.5863137198580629,0.582420020110957,1.5450751710423012
37,0.5639109532793728,0.5745513132618542,1.3485101513395283
38,0.5601405435302216,0.5472859852769232,1.5203449403244587
39,0.5726883482328688,0.5334297877067601,1.45882225212874
40,0.5603597731793407,0.529274369891332,1.5785062054439245
41,0.5679397660979799,0.5321335481357675,1.2646327932856536
42,0.5631261116419434,0.5450687930750457,1.3131229074986521
43,0.5527058802585796,0.5291742594976403,1.3457494935208092
44,0.5588064220422507,0.5213673546306212,1.417480576900254
45,0.548135008923414,0.5012386312857571,1.242567674133565
46,0.5340924948506672,0.49507313655247465,1.2274132081866724
47,0.53015595677383,0.49137197441999536,1.072884945844602
48,0.5242192488384776,0.48877824882083604,1.1736310684089433
49,0.522548581501742,0.476043946990795,1.1308040610711623
50,0.526744189775728,0.4757530452624893,1.1506079283316615
51,0.5210928205586798,0.46655710279595947,1.1467861621593816
52,0.49887361732190855,0.46598992646744836,1.0198367775093569
53,0.49579101676570253,0.46215459627870253,1.1752193043274246
54,0.49589859661641833,0.46207681906742104,1.1691481451053052
55,0.4923186476928099,0.4627133496675426,1.02770376677459
56,0.49371278230147936,0.46287918456607374,1.073551501615882
57,0.4980214873178278,0.44944836741948474,1.1371835297002622
58,0.49120530273756885,0.447252980894506,1.0908791052704812
59,0.48115169571792193,0.4455426516340122,0.9344935850244154
60,0.483015475142066,0.4382982558004235,0.8933435269371838
61,0.48088313189234366,0.4385250208258095,0.955067292433411
62,0.4824574988788714,0.4455753655052431,0.9510803452544996
63,0.4832610782044514,0.43981428785461674,0.9761501638460548
64,0.4733208640211462,0.4261210878286744,1.0253511709124155
65,0.4733975756260495,0.4261631040415773,1.0127418881830705
66,0.47922375377729576,0.42537347629263245,0.858154049213762
67,0.46305138492796794,0.4204054348234535,0.7134273628086614
68,0.4572330430378573,0.4180709619701527,0.9546311510956258
69,0.4535277948708978,0.41309117056999306,0.7446596074817817
70,0.43708479543446976,0.412281884154428,0.7813926249992581
71,0.43512648230351864,0.4076750354227916,0.7614130780062931
72,0.4486661060488209,0.40423557232851026,0.7317032227160735
73,0.455183094416203,0.39901983111413014,0.7823053240250825
74,0.45337039224154096,0.3878970641346889,0.8838714639768164
75,0.4524843960290374,0.38362660249229485,0.7251851648608437
76,0.4371062836905749,0.3837843913025194,0.72957683442887
77,0.4278140209404896,0.38499314639546944,0.7731865797156316
78,0.4289135656656195,0.3849484695426785,0.7901486941584529
