Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.40962130161374183,0.38795673734300473
1,0.8229711854638058,0.8505859557110501
2,1.3343695212108717,1.1585920524890825
3,1.8067716939798502,1.4679552654069377
4,2.2140647985621538,1.7592264841950414
5,2.5987679315849093,2.046223650485447
6,2.937549164764198,2.34130876517869
7,3.3366063600372575,2.6863468706860667
8,3.687534025196828,2.9346194162789487
9,4.124134050142357,3.2375226100026224
10,4.411237065076007,3.5928889273271274
11,4.753740509284862,3.9316800043003703
12,5.05094576625464,4.234294150618306
13,5.472298783632634,4.423975663677524
14,5.770195865397237,4.703245837453499
15,6.1349963698438055,4.999018928541491
16,6.392888861487422,5.300621486894157
17,6.738374252909656,5.549903079609202
18,7.05970046193963,5.833669397149675
19,7.343369760506638,6.058348246957722
20,7.594584078201573,6.2611925199827905
21,7.82037038893602,6.548426656896282
22,8.099321104588231,6.810238826674381
23,8.298966536947265,6.944274839952039
24,8.533626815484421,7.237281707081658
25,8.71307484135021,7.461579790770036
26,9.04327345120076,7.654535054505932
27,9.340328366445515,7.8538722582380815
28,9.543032370633075,8.048527548483275
29,9.855970134960543,8.297690633438698
30,10.173626650762712,8.451955816591996
31,10.469363952038224,8.631811998144864
32,10.829304066616887,8.857837289395833
