Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.5172253329590882,0.15745111778689808,0.7587374796366922,0.6045853026561623
1,1.0838581277699506,0.6143330430567641,1.2369472384196298,1.1728753885021652
2,1.6907694780758988,1.0118565676899087,1.8331298233931377,1.6935488427794794
3,2.058344808274641,1.2863851417132441,2.178950226495716,2.2599875054896694
4,2.4389971410050117,1.5270686468164714,2.815084934069004,2.538074980017718
5,2.684242029087822,1.8788189604222445,3.217197756770129,2.7750422689633742
6,3.1043063166152263,2.0177531869024063,3.233549368142042,2.89829405541344
7,3.4743132108246604,2.125473757661911,3.284754775568186,3.1330645341261816
8,3.9144180824451973,2.231279319120831,3.3507714123103405,3.5363535518335687
9,4.359793091993545,2.548873320397484,3.5085370183904048,3.6717731301839045
10,4.617377949631833,2.740808062081181,3.874480524751587,3.790841097162327
11,4.762444031737543,3.2774686644266,3.9366159925763524,4.004864943485175
12,4.778795643109456,3.909720037345051,4.138197238015422,4.132455505867684
13,4.896354629880972,4.209133063040416,4.204213874757577,4.183660913293827
14,4.93096506454655,4.386815578624152,4.238824309423155,4.309830858546175
15,5.209052539074598,4.514761132294125,4.486931625669948,4.3719663263709405
16,5.419554987097763,4.743914061363702,4.540044245017843,4.540340595310875
17,5.419554987097763,5.217392467626657,4.600272500920857,4.540340595310875
18,5.537393019953371,5.350396783603624,4.710484786972336,4.556692206682788
19,5.796685613029312,5.539665206795844,4.8512754103415165,4.556692206682788
20,5.944632351804261,5.66454515908357,4.94270989138626,4.622708843424943
21,6.128487021402022,5.84792858640107,4.992000289511819,4.622708843424943
22,6.6467521893048955,5.965766619256678,5.0156728663999415,4.622708843424943
23,7.087353250451436,6.353673554156565,5.2657483249086265,4.657562639479172
24,7.348464285719648,6.353673554156565,5.494901253978203,4.673914250851086
25,7.4496716611192495,6.5954809676110795,5.5534276269205565,4.697586827739209
26,7.4496716611192495,6.704081501071474,5.667059665378942,4.829477689491259
27,7.658944175019601,7.115866848604552,5.798950527130993,4.853150266379382
28,7.772576213477985,7.450019314792627,5.804364280725451,4.858564019973841
29,7.873783588877588,7.921313544742932,5.864592536628466,4.966782304837769
30,7.873783588877588,7.921313544742932,5.899202971294043,5.016072702963328
31,7.999953534129935,8.18570366981071,6.003151900551467,5.016072702963328
