Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,HEHEHEHHE
0,0.40334126348145594,0.4055606850336776,0.4055606850336776,0.43617661324835044
1,0.7521137479688565,0.834366188372617,0.8078924226648526,0.8152045960434569
2,1.0450780776730102,1.206313717597775,1.104779437128322,1.074705996636323
3,1.4323101108445357,1.548849321759898,1.5628364060278144,1.3625259490862776
4,1.7187244327971904,1.9396873646250898,1.8830477590592973,1.6733271428807979
5,2.041227194296485,2.430091743569125,2.2060770804393433,2.0663059689056182
6,2.249497552769985,2.7002495860308886,2.5740906769303447,2.3704386717239316
7,2.465256160200542,3.15545116110913,2.872356770928788,2.7403859589793855
8,2.7043407638840233,3.516319771553694,3.2490950360400825,3.05914520011735
9,2.9563390887374315,3.88449963678199,3.6278403582911283,3.4426383606035964
10,3.2176321500494884,4.261398631839113,4.094706826516716,3.8572113158692964
11,3.4765026584017966,4.762218963004917,4.502443784308055,4.140800853260894
12,3.7994429244071535,5.25366003029543,4.735485361232973,4.481530708048448
13,3.961863071405765,5.581834805282291,5.122409388619458,4.7888677027293465
14,4.185152587468092,6.006672725143798,5.586238048356644,5.050631749148395
15,4.387805000756966,6.290199240019119,5.99367853695281,5.246648372788149
16,4.5348262561481185,6.701196092670988,6.422796497586968,5.503094592746021
17,4.690102918709331,7.044807690188804,6.702274416674899,5.7083227224638025
18,4.9258634429546735,7.371629506430642,6.9791923054716065,5.8838586361672105
19,5.177697539066594,7.710922580756424,7.328772620715407,6.0409968855842315
20,5.492224127227583,8.014663092262072,7.6534777097936,6.275123996757306
21,5.677320925397021,8.410056559641387,7.9746187573912835,6.416195918287933
22,5.920673910469676,8.773721913200493,8.258879632851922,6.727964134013011
23,6.183460182718485,9.175904267235891,8.366627384470798,6.856558816216212
24,6.317234511363135,9.447900020128682,8.531027809323229,7.060464814073514
25,6.617667428634585,9.488437842071319,8.707420777387105,7.367751616114934
26,6.7949575005873655,9.514013908342344,8.82610199820003,7.5496538278053915
27,6.989649254091923,9.577722980315205,8.918506041412574,7.717204232896913
28,7.101728028919142,9.615790287304106,8.979676393264771,8.012415292711129
29,7.350053143692689,9.6467766473113,9.115926427330484,8.220846407359721
30,7.639432217574838,9.719079372207656,9.140522491566552,8.312809980574269
31,7.724488482059236,9.775135526910205,9.223280579269048,8.400083169471872
32,7.8629669459048515,9.820812046575828,9.26638982005922,8.540710773246632
33,8.033367163149734,9.881280635930512,9.317271634813626,8.668804376426625
34,8.169202663263246,9.916988640178156,9.371014426273677,8.754139940000206
35,8.30037099492221,9.952778182409054,9.437847803553211,8.9122519270268
36,8.548091134284364,9.999575049742337,9.508164539349526,9.05197363073856
37,8.6926860832532,10.039227656940888,9.60104274644544,9.151380032590305
38,8.79196088701669,10.075312378528425,9.653576262149814,9.303961502111244
39,8.921574038728336,10.089386943762687,9.683706286977072,9.512721887426341
40,9.259941270166749,10.123941166281744,9.704313135103755,9.661370051644237
41,9.315926228591957,10.147968331974681,9.774161790531561,9.80659572132533
42,9.38745923207834,10.187088251519267,9.815342008487352,9.889631235371297
43,9.512587343915952,10.211969044165357,9.820998565560462,9.989543147749057
44,9.595520846964469,10.23596602204472,9.886093198785037,10.32642454209562
45,9.848344946917862,10.257754951048572,9.900916298996723,10.4253808124197
46,9.922333600560881,10.281664039853593,9.912195908483763,10.533047493354506
47,10.053699502651856,10.321128410008479,9.980855562640887,10.681115648085655
48,10.216166477312859,10.34085953231585,10.094873528856994,10.823705608226074
49,10.226941740670316,10.376625814099583,10.145470233246211,10.909280097885928
50,10.336046032357993,10.412518268612768,10.187309219042614,11.03679007105353
51,10.511948777995054,10.426571711142785,10.242830850659224,11.144470986972784
52,10.700140094710246,10.44034392692056,10.27620481068869,11.267154933937812
53,10.869859142588242,10.474708683678484,10.303118004432045,11.387146065741545
54,10.910123354908562,10.494662784697022,10.332707309347494,11.474628575131053
55,10.997606430466286,10.514616885715558,10.375138170972484,11.539607854418367
56,11.141826351689565,10.528389101493335,10.385780229029733,11.594029031282393
57,11.190182628127927,10.547146818255252,10.419307111003839,11.701596240815517
58,11.265820175030038,10.556936023827893,10.538962056647563,11.796375167213053
59,11.374479042086499,10.589140175464971,10.56002857401996,11.950353867305271
60,11.505857571988757,10.594763227878902,10.569693502039907,12.058140210317863
61,11.639931539543841,10.600386280292833,10.606601980268104,12.193273582129118
62,11.658573391124872,10.614158496070608,10.646086355888938,12.323638458805153
63,11.71900937930727,10.626125661384586,10.659056011981923,12.423019711128676
64,11.878573913223295,10.631748713798517,10.70999260191778,12.54478235311292
65,12.05739414837538,10.631748713798517,10.70999260191778,12.633254438997623
66,12.173426709040143,10.631748713798517,10.719657529937727,12.742675644189257
67,12.373149638132567,10.631748713798517,10.749622910666066,12.862337737462571
68,12.452416911296421,10.631748713798517,10.764951106426544,12.909895644059741
69,12.515159412153958,10.631748713798517,10.802327663281948,12.936887039939085
70,12.569327390023442,10.633553764262315,10.811992591301896,13.004322904431309
71,12.706140373191959,10.640344315710255,10.811992591301896,13.058965436517212
72,12.827364584697737,10.647134867158194,10.811992591301896,13.178648921937036
73,12.945109276814796,10.648939917621991,10.82882137857141,13.32335600008824
74,13.100121586704649,10.65074496808579,10.839463436628659,13.361755345097441
75,13.256472776357512,10.6634852279889,10.857843386457812,13.386286523412556
76,13.267248039714968,10.670275779436839,10.895542461163526,13.459751967682706
77,13.31425118734957,10.672080829900638,10.901199018236634,13.54412636417328
78,13.376556949360838,10.673885880364436,10.906184519220774,13.568040840916572
79,13.456969066957223,10.675690930828235,10.906184519220774,13.581477854721047
80,13.615861081192795,10.683761374906533,10.93900848107668,13.651644444885562
81,13.804064226891507,10.68556642537033,10.946992636185524,13.669082703140429
82,13.89149791045843,10.68737147583413,10.96164306518961,13.772991623562277
83,14.050939845427115,10.689176526297928,10.96164306518961,13.788397857185126
84,14.065047915320553,10.6970431145215,10.96164306518961,13.847843043564959
85,14.184685064511616,10.71258857958053,10.97203885990992,13.937914283148919
86,14.305263067464347,10.714912330117656,10.97384391037372,14.030569613964323
87,14.366961814231662,10.722385750993501,10.97384391037372,14.078755847140787
88,14.377737077589117,10.729859171869347,10.97384391037372,14.106900387106501
89,14.474246298011952,10.745404636928377,10.987484622555671,14.178236914775137
90,14.58859762264188,10.749533437929301,11.005881439531889,14.25385287388337
91,14.605635086479442,10.751338488393099,11.033915654714457,14.358471307784523
92,14.684769899065708,10.76852483456135,11.044557712771706,14.420258336381366
93,14.706394658714984,10.778517630869947,11.06221350656792,14.521718921610002
94,14.807249521195027,10.780322681333747,11.106020150921497,14.59486323961642
