Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,LinTSTheta
71,0.5873088211633055,0.6809116545108289,0.8063093679011517
72,0.5868473930270983,0.6807880255425196,0.8063643687330325
73,0.5870993372451743,0.6807013828419863,0.8063139794621635
74,0.5869703780657105,0.6808968860615867,0.806310742944963
75,0.5877261262751737,0.6811105525092916,0.8063246727851053
76,0.5878584995407191,0.6810659793187046,0.8062519206942493
77,0.5879105346237111,0.6812828892419174,0.8063385401717564
78,0.5877639866640549,0.6810614384628138,0.8062951390380343
79,0.5874583823933293,0.681126515248483,0.8063435305956563
80,0.5868709134293959,0.6808321331268509,0.7984563484005461
81,0.5867241512759035,0.680113776606873,0.7955655973945446
82,0.5870652108496132,0.6802732770877186,0.7954590354710752
83,0.5868345480268693,0.6802345042913063,0.7949540324067039
84,0.5867575075139388,0.6800912687763823,0.7946087985498684
85,0.5867039477094943,0.6798032076137296,0.7944044415625344
86,0.5866270862904237,0.6798832160417118,0.7944258912678801
87,0.586454782350003,0.6796315355228356,0.7943294747381628
88,0.5868738449230857,0.6798471238824388,0.7943857784707874
89,0.5867931396342346,0.6798549739340012,0.7943818642530518
90,0.5860697365546399,0.6793182443036756,0.7942405788863091
91,0.586030194432831,0.6797255993993344,0.7944469329660953
92,0.5862261053383213,0.6794885355801299,0.7943126731785084
93,0.5864636025258333,0.6798615382991462,0.7944156774090432
94,0.5866949664069171,0.6797180944055797,0.7943374080442396
95,0.5862499283253704,0.6794649882532806,0.7942675274055672
96,0.5857220643224097,0.6795526494337206,0.7942859744868066
97,0.5855308733501997,0.6793851735097725,0.7942455751471494
98,0.5853716133691231,0.6792889331368457,0.7942950438991645
99,0.5851282944353572,0.6790089329868613,0.7943065541462668
100,0.5850523044010536,0.6790986499978175,0.7943803703910438
101,0.585332928385963,0.6792915178339454,0.7944362770907671
102,0.585469543293193,0.6796433824667425,0.794502596731799
103,0.5855424876224907,0.679960112789009,0.7946432468203751
104,0.5855315884213129,0.6800861905775216,0.7946847868700921
105,0.5852957083333062,0.6795948280437545,0.7945141273228465
106,0.5857047898237109,0.679838215538393,0.7944559438168978
107,0.5859708050752571,0.6802477479304561,0.7945834489896336
108,0.5855087662296954,0.6797718360205631,0.7943940522141772
109,0.5854332992895324,0.6799966061623676,0.794433035237067
110,0.584014297170836,0.6802042054842943,0.7944986763193169
111,0.5838951887878919,0.6800511080597482,0.7944217311969
112,0.5830964363549488,0.6802743298428666,0.7944941317092156
113,0.5828890183240313,0.6802949162620171,0.7945025405145134
114,0.5827157226913584,0.6797442111182245,0.7943861834397028
115,0.5824169424277403,0.6794416102050322,0.7943674193946498
116,0.5824829083865399,0.6795984027620985,0.7944068317217226
117,0.5821177308338433,0.6796920567401584,0.7945243051601858
118,0.5821763500828828,0.6795794467226332,0.7945633923541635
119,0.5825064565425604,0.6795139387989988,0.7891580420115425
120,0.5821696922511047,0.6793329392768751,0.7891307703879747
121,0.5820376585909223,0.6794223700632828,0.7891919679469626
122,0.5819030072973391,0.6790717178126033,0.7890370642248501
123,0.5815769821696339,0.6789440224858925,0.7890067570601257
124,0.5815794332269932,0.6787296912040415,0.7889261426962796
125,0.5816133440600949,0.6790269974281059,0.7890265011612239
126,0.5816198830905288,0.6791251744018016,0.7890532429542116
127,0.5818143587787259,0.6792917095948892,0.7891115237229356
128,0.5813465804157167,0.6792073680457528,0.7890642791874759
129,0.5814407454222618,0.6792434227039946,0.7890679058925066
130,0.5815046402823201,0.6791080299315203,0.7889523480957292
131,0.5814391075595678,0.6789767623418654,0.788956023823768
132,0.5814695312279616,0.6788889243085157,0.7889022411722026
133,0.5817308884607896,0.6790197888642451,0.7835725245006342
134,0.5819059323208885,0.6790992789455801,0.7809647354496201
135,0.5821052995212028,0.6792860854296902,0.7810281009138911
136,0.5820237122993284,0.6793109412714208,0.7809839368782161
137,0.5821738404702025,0.6795328955232253,0.7810829943508126
138,0.5802757707415596,0.6794556506504824,0.7809995144461473
139,0.5802293426143811,0.6794639970705377,0.7789491849385032
140,0.5751191737426298,0.6796618159557546,0.7737098945962966
141,0.5748983921103188,0.6675410622109723,0.7717116482879535
142,0.5751467312410782,0.6674082441134672,0.7684092016606001
143,0.5749378857776164,0.6672680227167996,0.7665768196328313
144,0.5750056869687524,0.6671923057162524,0.767000705230042
145,0.5749456803260964,0.666920584822401,0.7651224044973899
146,0.574863509353611,0.6668027427446862,0.7633838362858888
147,0.5745471499278768,0.6667696550067129,0.7632664877237668
148,0.5745065796887172,0.66695451934993,0.7631002663994385
149,0.5744885138880687,0.6670710851417924,0.7626386478839184
150,0.5744647325580439,0.6667643969162016,0.7616229558646952
151,0.5745350842293045,0.666967317100412,0.7615323392841322
152,0.5745616474005815,0.6668474507264189,0.7612419247193146
153,0.5744742888118695,0.6667094259761279,0.7611436651361154
154,0.57453434583672,0.6666386040450192,0.7605587683699856
155,0.5744833387024715,0.6666369559497175,0.7605345415858995
156,0.5744952474226364,0.6668193220026781,0.7604045913405
157,0.5755341280187907,0.6667530030822639,0.7598114424229041
158,0.5752722181404526,0.6668652868236602,0.7597454739198827
159,0.5751738009480357,0.666765790672894,0.7593677562626329
160,0.5749875133370639,0.6667123133437496,0.7591475393567519
161,0.5747446040145349,0.6667716761533852,0.7589570490847977
162,0.5745014778270023,0.666616770906346,0.7587400390044412
163,0.5744770572152582,0.6665101060062699,0.7585262028257983
164,0.5744929153863032,0.6665783975430395,0.7584733419399278
165,0.5745377659523122,0.6665372526576022,0.7586050777108473
166,0.5745858911417623,0.6664514502490625,0.7585293179054584
167,0.5745378537079766,0.6663864844168798,0.758324698686814
168,0.5745284340452892,0.6661958977316425,0.7579831922385984
169,0.57473907761364,0.6661100954733702,0.7578706902277482
170,0.5748354648615194,0.6662197118087287,0.7578623823525934
171,0.5749173612687474,0.6663275505321412,0.7578852893843206
172,0.5744732632703726,0.666348925696972,0.7579416707742765
173,0.5745538511372361,0.666236526212688,0.7578248152326099
174,0.5745348182176901,0.6662230955592088,0.75772381689976
175,0.5745747884344216,0.6662483194579195,0.7578542732672956
176,0.5746171155686959,0.6661216658982785,0.7577814117215642
177,0.5746166476681307,0.666204423476146,0.757740573584372
178,0.5746807729934778,0.666156639476006,0.7576506599591725
179,0.5746481024205325,0.6661128729113448,0.7575371043995908
180,0.5745376954601773,0.6661005344073472,0.7574615161078997
181,0.5744407333439477,0.6659838662840655,0.7572645875185016
182,0.573930196786019,0.6659230785724717,0.7571602950107402
183,0.5738460118718878,0.6659693596629912,0.7571627775107798
184,0.5738423657583114,0.6657270869412371,0.7569618860127044
185,0.5739349843097817,0.6658185496270255,0.7570005340780235
186,0.5738658884116367,0.6658502627150631,0.7569779852734081
187,0.5738791414970533,0.6658577287593734,0.7569757539900646
188,0.5739865958942397,0.6658950723477391,0.757001595831955
189,0.5736280776221045,0.6658480771322617,0.7570473543653924
190,0.5736615754089265,0.6657111593159467,0.7569479214214612
191,0.5735553744134172,0.6655355726539411,0.7567920945567668
192,0.5732219351782104,0.6656381856737551,0.7567610209224513
193,0.573198460651598,0.6656711876146763,0.7567740710354396
194,0.5732441014814043,0.6655027998258329,0.7567080222545477
195,0.5732092095472321,0.6653634247499575,0.756615588594473
196,0.5731088718350286,0.6652471533986926,0.7565303089540636
197,0.5731299552740367,0.6651719914476064,0.7564468623866044
198,0.5732062430526503,0.6650216936501437,0.7563219595000629
199,0.5731514741052036,0.6646725848264028,0.7561414488532202
200,0.5730855100031731,0.6645745224722577,0.7560632636193484
201,0.5718212954816482,0.6644513049888203,0.7560228937073695
202,0.5718223019478164,0.6643917057525858,0.7559832165346981
203,0.5718541451086202,0.6644905931420462,0.7560425426320564
204,0.5717861746928765,0.6645780515698876,0.7560724897886605
205,0.5717180827887348,0.6647178438680199,0.7561377677076881
206,0.5716457996259268,0.6647835383337215,0.756171522459782
207,0.5715963163250097,0.6647015924053832,0.7561077541990349
208,0.5716707367848314,0.6647992075607222,0.7561444649241517
209,0.5716751779077625,0.6648919164495168,0.7562072386206028
210,0.5716413493546403,0.6649680329400038,0.7562478437998712
211,0.5716418614105488,0.6649319138852647,0.7562005302822218
212,0.5716337771680537,0.6649334215635944,0.7561906947368228
213,0.5716153595451293,0.6649301670348391,0.7561783135221841
214,0.5716560776346917,0.6648728706376071,0.7561312621152197
215,0.5716358852803671,0.6648011827730105,0.7560748143942326
216,0.5716095260211704,0.6647163979029587,0.7560582825653182
217,0.5716367076353075,0.664725725916471,0.7560959885725418
218,0.5713709897923801,0.6648201119488248,0.7561471239169759
219,0.571364079602229,0.6648428969986077,0.7561617775551553
220,0.5714092900155211,0.6647979275916389,0.7561484075640581
221,0.5712508210097282,0.6647427416128604,0.7561181136816773
222,0.5714913795020095,0.6650219786554878,0.7562853934920122
223,0.5715337188232927,0.6649910334897144,0.7562873488428836
224,0.5715210070004713,0.665039089958513,0.7563099067285246
225,0.5717073262641816,0.6649321624486342,0.756250053708218
226,0.5717089783469016,0.6647521611478477,0.7561436230123658
227,0.571377039553243,0.664810311860009,0.7561800330061519
228,0.5713495516556668,0.6647430902459197,0.756138770312094
229,0.5713728449230249,0.664738369092438,0.7561248713454369
230,0.5713420981663719,0.6646707196041028,0.7560888026017312
231,0.5713045869846749,0.6647923965755705,0.7561495635724912
232,0.5713005089861557,0.6647115839358092,0.7560985827191721
233,0.5712334099535596,0.6646783016775192,0.7560762586782048
234,0.5713625320627509,0.6644988630691386,0.7559671712099375
235,0.5712314332611061,0.6645844989913102,0.7559956165640096
236,0.5712458466469001,0.6644499395531852,0.7559185969575994
