Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,NEWTS
0,0.391466652265133,0.3394423201590934,0.39061685463706713,0.44311976816466425
1,0.7608590389023575,0.6178255539710309,0.844064987548428,0.8820777565493133
2,1.1372951561177607,1.053698431886591,1.2302813121724536,1.2070686785795497
3,1.4633092433560195,1.4694683257036432,1.567617400827586,1.6180418354844903
4,1.7293928939629084,1.9858025591964363,1.9742985069750685,1.9237349875346124
5,1.9861153159931528,2.403482413375809,2.3026219819098843,2.3429984107342787
6,2.1473447687363616,2.764065188857773,2.7562513020986614,2.885506941421724
7,2.3937665911064094,3.2626037967043944,3.131990185099674,3.351480912476448
8,2.6759816701269457,3.7034186312945723,3.5882378092138643,3.716899899737496
9,2.8906619624707646,3.9965007504026517,3.916335510659375,4.033898300712448
10,3.0578501268298792,4.346107552967992,4.3045592225457225,4.499793910805567
11,3.2706127475207345,4.738240649856044,4.580563220526736,4.82778170056581
12,3.425204515321586,5.107735963195134,4.9904092481644255,5.206318564023515
13,3.5757792331640337,5.58082993272693,5.454718559817347,5.530522424470048
14,3.842967590519231,5.948878880239041,5.738486748049858,5.853844344343296
15,4.121946466684384,6.290669676920222,6.286625244072622,6.287490976359372
16,4.355903846483323,6.645755517989938,6.584812975862677,6.696896319577844
17,4.67923386437049,6.974695397942566,7.00842049496697,7.060927565445965
18,4.859179507020144,7.327678896348479,7.316912995004418,7.418013898294457
19,5.042263556427,7.7058007430848265,7.659098984067201,7.66527933803962
20,5.202513647789951,7.96157639911555,8.028709938874695,7.999728588127577
21,5.308769505723738,8.430362161834221,8.404105447431798,8.172360838143867
22,5.561763573038484,8.766605665910667,8.68229613599405,8.430264186819825
23,5.70711653918019,9.118043425597472,8.967601115680687,8.889705084894388
24,5.85349121147721,9.531964823219099,9.398533014931123,9.22260536561547
25,5.934036834617021,9.5611727484595,9.839453900573625,9.445134616531579
26,6.084657630052124,9.66515801650053,10.116086838490677,9.842836354006819
27,6.22288877668691,9.859190837845073,10.48980284672168,10.180282235995294
28,6.48128749373164,10.014068243159013,10.885748761140432,10.454338083536308
29,6.669595430835114,10.26905241807545,11.09047743807503,10.705932045067591
30,6.913711852156055,10.489475551676568,11.384016829873195,11.108041059673862
31,7.060971780265857,10.739792752862515,11.637931194246883,11.398097889635292
32,7.256863594193909,10.991606639602056,12.027484537843266,11.693952279218907
33,7.478241220483918,11.301928793872312,12.374736450677776,12.007005562347432
34,7.577404300907699,11.631670593497784,12.71114637914607,12.305580562616447
35,7.625207737196584,11.969798654989102,13.092388804435913,12.605694627106448
36,7.728433523532466,12.297044903122979,13.44257175149885,12.947768217005592
37,7.86619914808401,12.6562971874093,13.677201513884588,13.257241321313373
38,8.04593962822866,13.086478099598503,14.01783628294793,13.630862662686937
39,8.077195965067387,13.51105066507364,14.488027175913723,13.925411066061315
40,8.286756588172794,13.97687688511505,14.881930200124126,14.28931275855705
41,8.431810769320476,14.399079225214269,15.150747242140715,14.662987034261937
42,8.496150213955506,14.89754583818036,15.552907565041929,15.03118294057318
43,8.675499829367869,15.402009444078193,15.921772363786312,15.260742395774631
44,8.821649665900411,15.943552079978499,16.31011367719874,15.65120049575683
45,9.129581711905582,16.40149769662413,16.677948679437602,15.991075836510152
46,9.222572986643957,16.93038167054818,17.13899626883727,16.30931886988
47,9.405785413358728,17.418716203555142,17.398541352089104,16.557616161734046
48,9.50216476160238,17.932223522470302,17.707428195460714,16.879174902198304
49,9.572181545848458,18.446781369202746,18.010185607495696,17.243537951895917
50,9.850991716827517,18.767902353210204,18.3270058720669,17.540428399268833
51,9.939790045244752,18.93899294012456,18.59401218173361,17.81293890679408
52,9.97104638208348,19.210184948715273,18.838853890704428,18.2084869312963
53,10.122274263737712,19.364624046947817,19.16591219165805,18.5843779775657
54,10.154999952800825,19.54910914810271,19.38143283079367,18.810953987178102
55,10.322447235089962,19.919602886311843,19.603686096275375,19.10740032166363
56,10.544373610111013,20.154022313581603,19.93023910448933,19.441031152749538
57,10.690922424773973,20.42784774763671,20.23862643754331,19.716119560311466
58,10.747601277434466,20.692364468024596,20.61581076749463,20.14236041692067
59,10.937345129775965,20.917869921373615,20.963036621897796,20.336294752169852
60,11.054348341352522,21.26151026898714,21.29769508593215,20.58505724758282
61,11.172063727952507,21.52557134161763,21.607629016479635,20.905120552517467
62,11.273461297072348,21.77911737812571,21.922357947511447,21.34477983497279
63,11.339076479485694,22.11161818496065,22.28864194709404,21.484653310812973
64,11.554466735022082,22.39367781121149,22.707896680905176,21.75602033014649
65,11.684225516527402,22.76877794393807,23.072086792792614,22.03103072685797
66,11.832593776836788,23.0432279328628,23.29705512413568,22.32475684630085
67,11.870802372979263,23.452195037137216,23.562997825020474,22.73037260159859
68,12.022936896750535,23.837325390094257,23.71448629882135,23.10609563546806
