Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.4201297482330406,0.5231158768415616,0.3962267091008268
1,0.8198568034290308,0.953183146585628,0.8103546907554119
2,1.2528809382658244,1.3614001108349432,1.2957373872118425
3,1.6287753753149374,1.656098045675077,1.6882455838204558
4,1.9521101794314837,2.0271784224821925,2.1580144818032645
5,2.375687057026286,2.531172940373231,2.5332014172075747
6,2.672121687693802,2.8619981059430244,2.8516825313792897
7,2.9284905792986113,3.3278279044578327,3.214512635852786
8,3.1610422176474215,3.64453849618603,3.539494927377343
9,3.4850680102486367,4.002399643354665,3.8841653590617837
10,3.774127665703818,4.377264943869351,4.328023198028943
11,4.032224059209563,4.73317451117877,4.643768614312808
12,4.248361661618549,5.253113898362775,5.039706330372973
13,4.477822747181382,5.61544984904217,5.419318623726366
14,4.799957824025667,6.039736601319278,5.81946539975491
15,4.973966467842305,6.307722408092923,6.1922551559024175
16,5.183107088005511,6.859703714237716,6.607317823561215
17,5.482443075143436,7.24224624596962,7.030307128653904
18,5.8002408014676075,7.624291356291731,7.466236766211301
19,6.122895979580204,8.090669014487498,7.821232086456689
20,6.3600848172949656,8.423846732773805,8.21288986141114
21,6.708731512144865,8.837832153332899,8.574510316306624
22,6.909392522990652,9.203179157690721,8.922813903562993
23,7.215079185109426,9.513432242016695,9.340189483725519
24,7.4279173291214535,9.915422775787627,9.748796018498897
25,7.5841160884108065,10.25247780633356,10.206552877487976
26,7.770306544237154,10.549621194618437,10.614867956132388
27,7.8255640128118795,10.982995766847452,10.976839639392534
28,8.032679584392088,11.46299422714234,11.339680245958576
29,8.193625297122043,11.87266508011049,11.634491474235205
30,8.356491681598365,12.180057704132711,11.939784819025279
31,8.445997957744858,12.567514262772388,12.264183829122938
32,8.501255426319585,12.956051746251415,12.616037504970208
33,8.874988063601048,13.303031388879234,12.891755625401178
34,9.150524520215093,13.742084448774232,13.304971341487422
35,9.2778016170385,14.170388820575997,13.556952508490847
36,9.407157869923623,14.511480953101119,13.945448281121958
37,9.552010614924674,14.840790202844525,14.308064152144542
38,9.631228492228802,15.258816652075044,14.605712480972779
39,9.841380653667397,15.644629234691674,14.966428437053583
40,10.000109312037228,16.070561131330155,15.457387229978114
41,10.238567826020944,16.446087918734026,15.818509199139092
42,10.400049817333585,16.914401385348462,16.124502561536286
43,10.552500079556248,17.32717250816718,16.497398031565105
44,10.707245560914757,17.624305742756874,16.927437669003574
45,10.925690676588292,18.078633051282253,17.336091754292116
46,11.031847683794172,18.520993437173424,17.648607270688306
47,11.117692219165935,18.903642670786777,17.945614853431735
48,11.213302276475819,19.329095778868506,18.239638101782873
49,11.388076255702083,19.83084555157526,18.52351707964852
50,11.430516491251925,19.878782095360542,18.849752080498956
51,11.494086143757576,20.016995006387468,19.210928645317303
52,11.673341916129095,20.154670890585937,19.63695118446978
53,11.879162139861718,20.360717604998037,19.900385832780966
54,12.118209663210738,20.561890295204158,20.373643680164157
55,12.289850873096826,20.843395960097602,20.66846892402288
56,12.327276594122198,21.13263423582606,21.024032751951392
57,12.47543621655936,21.454334442130133,21.35550029795464
58,12.531771879138914,21.8068144224183,21.705776670826165
59,12.618800543746914,22.12884997233014,22.08838072742695
60,12.777760201402874,22.497242328485463,22.31838331197212
61,12.913157595859397,22.92748949378199,22.699338347324233
62,12.981196455882838,23.317281383258315,23.066962073560184
63,13.111926722997627,23.71232973898231,23.39991320010801
