Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.14840049087210772,0.41915798038627083
1,0.5675584712583785,0.9389976099658263
2,0.9492258660502997,1.2771146249891712
3,1.0976263569224074,1.6479480101913615
4,1.2460268477945151,2.0937484379307074
5,1.6276942425864362,2.491739137792488
6,1.776094733458544,3.0146853023946703
7,1.9244952243306517,3.1530372586113016
8,2.072895715202759,3.711379786404654
9,2.7070615118629666,3.8503304640619254
10,2.8554620027350746,4.169486386474903
11,3.0038624936071825,4.317886877347011
12,3.1522629844792904,4.754911529804662
13,3.4903799995026352,5.136578924596583
14,3.6387804903747427,5.302779617855098
15,3.78718098124685,5.690626214281935
16,4.307020610826406,5.868704446242779
17,4.455421101698514,6.7504131592978105
18,5.025847880675662,7.245582194441788
19,5.458694577882857,7.996887171729738
20,5.840361972674778,7.996887171729738
21,5.988762463546886,8.429733868936932
22,6.434562891286231,9.06389966559714
23,6.582963382158339,9.634326444574288
24,6.731363873030447,10.038943123218168
25,6.879764363902555,10.17789380087544
26,7.028164854774663,10.548727186077631
27,7.176565345646771,10.86788310849061
28,8.058274058701802,11.272499787134489
