Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta
0,0.9827331356858467,0.9827331356858467,16.354005233177155
1,0.9566490806670199,0.9566490806670199,14.897346674880193
2,0.9465064522851343,0.9465064522851343,14.41118874001521
3,0.933633561281375,0.933633561281375,14.648324415957006
4,0.9161964897376764,0.9161964897376764,13.822449216392993
5,0.9056782597827823,0.9056782597827823,13.520776364342831
6,0.8983546424613487,0.8983546424613487,12.94554929288754
7,0.8990995753991173,0.8990995753991173,11.601419947600437
8,0.884626528541254,0.884626528541254,12.71760391408414
9,0.8706160049440242,0.8706160049440242,13.377484765944422
10,0.8534462487101184,0.8534462487101184,12.143758329514403
11,0.8375083282014069,0.8375083282014069,12.110972696200257
12,0.8306508135048005,0.8306508135048005,10.76752504612752
13,0.8311045047548609,0.8311045047548609,11.594804339546837
14,0.8166536120213775,0.8166536120213775,9.102268552689093
15,0.7916798593876578,0.7916798593876578,11.440144184559896
16,0.7515708169858211,0.7515708169858211,9.748964283255033
17,0.7219822263929072,0.7219822263929072,8.448873130618887
18,0.7339793779604754,0.7339793779604754,8.533037672302484
19,0.7250146100141394,0.7250146100141394,7.915402005907305
20,0.7195259771675091,0.7195259771675091,6.661014234614001
21,0.7109126343083203,0.7109126343083203,6.541631948460724
22,0.6922985298020785,0.6922985298020785,6.738043103543218
23,0.6945410228854161,0.6945410228854161,6.4871354466557944
24,0.6604475240835808,0.6604475240835808,4.754797755717648
25,0.6624533785345816,0.6624533785345816,4.895933542335705
26,0.6456127570753718,0.6456127570753718,3.6918675666824354
27,0.6261783813352929,0.6261783813352929,4.3413299597045905
28,0.6367980406293341,0.6367980406293341,3.4630086800970945
29,0.6066957404728006,0.6066957404728006,2.3997018955214466
30,0.6045215407986472,0.6045215407986472,2.3133000143634237
31,0.5997191400412013,0.5997191400412013,2.50369072419673
32,0.598205212199679,0.598205212199679,1.936525725843088
33,0.5926893339581404,0.5926893339581404,1.6922383066098845
34,0.5905810544764349,0.5905810544764349,1.733232093506151
35,0.5829246978731526,0.5829246978731526,1.838492760621096
36,0.579114516606055,0.579114516606055,1.411213640251706
37,0.5730954363199819,0.5730954363199819,1.6593749705820557
38,0.5770313097927688,0.5770313097927688,1.5502457308175241
39,0.5693832809514078,0.5693832809514078,1.4062741799347553
40,0.5701184834807093,0.5701184834807093,1.2836638703093275
41,0.5521552941077206,0.5521552941077206,1.232458082159694
42,0.5463901484466966,0.5463901484466966,1.3507495158491039
43,0.5463775997909758,0.5463775997909758,1.1764383975956096
44,0.5455376402205123,0.5455376402205123,1.2572284389607196
45,0.5338562023370572,0.5338562023370572,1.1307399969098773
46,0.5248043978663512,0.5248043978663512,1.2115002185503565
47,0.5267668728535637,0.5267668728535637,0.9692751371235893
48,0.5223380820694757,0.5223380820694757,1.0703523869357936
49,0.5246611036936095,0.5246611036936095,0.9836272837815857
50,0.5225184273763323,0.5225184273763323,1.1091228643953595
51,0.5212322097792786,0.5212322097792786,0.9743429793531708
52,0.5195544745846593,0.5195544745846593,1.072764884511828
53,0.5162951332561114,0.5162951332561114,0.9759411487282643
54,0.5168515036111054,0.5168515036111054,1.0511419075378399
55,0.5213820908244577,0.5213820908244577,0.9798901785732014
56,0.530894552236724,0.530894552236724,1.017627800753307
57,0.5218343580097043,0.5218343580097043,0.9710633075837471
58,0.5206718977100514,0.5206718977100514,0.9931606626700351
59,0.5232666288254129,0.5232666288254129,0.9222627567526145
60,0.5215997826627763,0.5215997826627763,0.9071019927968855
61,0.5118218782230706,0.5118218782230706,0.9312381527800175
62,0.5052092116842175,0.5052092116842175,0.9235810430360514
63,0.5060598901006007,0.5060598901006007,0.8670815007446748
