Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
0,0.32337750604665183,0.29378668309957223,0.3927423459075391,0.29378668309957223
1,0.670851523402918,0.4654870157005234,0.8622051028011679,0.4654870157005234
2,1.034339732771818,0.8568910157335775,1.254539408084847,0.8568910157335775
3,1.395754738959273,1.2614284776785865,1.5900713916444866,1.2614284776785865
4,1.8014929864132192,1.546054258579313,1.8807408238164274,1.546054258579313
5,2.04256530405629,1.9164802874994151,2.364210776403903,1.9164802874994151
6,2.377078036531136,2.3812186398181217,2.6151636740328836,2.3812186398181217
7,2.6168193277809717,2.81277043933247,2.9964244132342426,2.81277043933247
8,2.8794567462954075,3.1392612577785677,3.4585984061980213,3.1392612577785677
9,3.2269088679868867,3.4117933228176596,3.844241162267913,3.4117933228176596
10,3.609130003646815,3.7898049942206837,4.1796884450590355,3.7898049942206837
11,3.996188179774909,4.130532664453252,4.5490884698581855,4.130532664453252
12,4.313486724755008,4.608335548272141,4.935942082123009,4.608335548272141
13,4.624713475034818,4.989518770941191,5.283340522767386,4.989518770941191
14,4.954100179382311,5.425291412935591,5.626599332349733,5.425291412935591
15,5.207814216260233,5.857900699535452,5.958208469097267,5.857900699535452
16,5.54149691333311,6.178830741320007,6.398645385495258,6.178830741320007
17,5.794227077502226,6.577818237322477,6.7966287750016035,6.577818237322477
18,6.058628625398728,6.93779637257372,7.0660582741814935,6.93779637257372
19,6.279278520173429,7.242185404859677,7.3970116180686745,7.242185404859677
20,6.539866589232842,7.636531022844667,7.793244324667778,7.636531022844667
21,6.827897073681475,7.915678118582747,8.066297237601946,7.915678118582747
22,7.040183455582648,8.334292061175452,8.363490783924382,8.334292061175452
23,7.326758646216246,8.798653285788781,8.667052279849257,8.798653285788781
24,7.594882548338658,9.102051260589967,8.902617764960624,9.102051260589967
25,7.82175009486892,9.300493613262933,9.322694746324768,9.420035877945358
26,8.128909416284717,9.532196768436702,9.683609825119863,9.63255126914619
27,8.337153737282666,9.741659235853923,9.940540676719271,9.868845417855603
28,8.606983031473465,9.939041597730167,10.244970595634005,10.114663176001232
29,8.942588676064387,10.232492850210196,10.549702338513605,10.410399309671913
30,9.15948086009111,10.455972234526268,10.882309904490555,10.709715128007263
31,9.50662794729627,10.762230170968518,11.22778684384046,10.855615736382639
32,9.897053783462193,11.018998878219357,11.558735090852007,11.125799282559917
33,10.19082831451119,11.362585890921663,11.887737449337239,11.469950932679428
34,10.47563612858539,11.809999529160137,12.132808562311054,11.815729070808088
35,10.756636811558476,12.24895105702226,12.428233873412285,12.146700476946528
36,11.005026028871189,12.570857450168923,12.786186012700243,12.46837099323361
37,11.216313214118848,12.962203464656302,13.06313094187218,12.743175491478652
38,11.4864153174928,13.284532061109843,13.353041504158943,13.05434800737105
39,11.710829255120569,13.661148287784505,13.618109611966611,13.435672804835411
40,12.01692438679348,14.009433106319289,13.883749659745979,13.614792889069125
41,12.27286906187878,14.333965745591808,14.305029852266424,13.908875751957464
