Time(Iteration),EpsilonGreedyLinearBandit
0,0.8660553644963723
1,1.800500512349402
2,2.5125437447827226
3,3.6498804370246525
4,4.110712409471015
5,4.459679303726631
6,4.941890890880104
7,5.2897673067636
8,5.794182309254178
9,6.4966817478203565
10,7.261389507891067
11,7.3885222563813056
12,7.691724605803081
13,8.432605203350844
14,8.788881036349244
15,9.131000250840865
16,9.585349965001933
17,10.050651209522302
18,10.758329244752474
19,11.037709544460558
20,11.333945728407844
21,11.65590707607871
22,12.579187600310423
23,13.006543527495001
24,13.174521384533747
25,13.613809382886023
26,13.878766708549325
27,14.225768350913867
28,14.588967405779744
29,14.928322479419737
30,15.194110297353472
31,15.383015796271412
32,15.866264970909864
33,16.08591548378521
34,16.54705521418044
35,17.09295661153607
36,17.321605771993898
37,17.323474127786685
38,17.705072559784067
39,18.005406526359284
40,18.188930774327446
41,18.382495519480365
42,18.893409096185053
43,19.2680843147952
44,19.605762238358786
45,19.91684411718549
46,19.918712472978278
47,20.156960111903118
48,20.52878812101325
49,20.806593598420967
50,20.912054299022078
51,21.0465680335436
52,21.53275157160096
53,21.70376171194684
54,21.917265763854115
55,22.32167656132655
56,22.378066074177088
57,22.753546999071744
58,22.924259147365298
59,23.291213123904
60,23.291313068114345
61,23.56156145774457
62,23.57849224787274
63,24.069617096911156
64,24.26494725920354
65,24.265047203413886
66,24.940715239926245
67,25.182809222587508
68,25.36847604200505
69,25.637013039567517
70,25.844878605789148
71,26.195406395852977
72,26.438205496563562
73,26.69932937610385
74,26.885175270021346
75,27.47952220991441
76,27.56344822993073
77,27.996984562310047
78,28.231900857057422
79,28.37961273210927
80,28.783596623963234
81,29.031232123043974
82,29.287579777080673
83,29.515841212074825
84,30.22596340969796
85,30.32897819003072
86,30.7505617101898
87,31.170011100302474
88,31.486036421212276
89,31.519086397217187
90,31.801645481366837
91,31.801745425577177
92,31.957760244944787
93,32.169682132167694
94,32.203594513250366
95,32.240063940861155
96,32.49738206192581
97,32.81738775783688
98,32.956358548103665
99,33.24244844166614
100,33.33938806995905
101,33.52151388038372
102,33.79595254909705
103,33.79605249330739
104,33.79615243751773
105,33.79625238172808
106,33.97033227845929
107,33.97043222266963
108,34.11784701109799
109,34.5101324920951
110,34.76107516213881
111,34.98784970252861
112,34.99086403267667
113,35.04928994164326
114,35.29421961949617
115,35.296087975288955
116,35.296187919499296
117,35.556176946392256
118,35.83315373954331
119,36.05991838311212
120,36.36731397508049
121,36.50733825058721
122,36.521984746825105
123,36.551363700983195
124,36.69164344217695
125,36.91534093133097
