Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.41909787791644054,0.5244142471095786,0.37555167165361814
1,0.7640543030340918,0.9399647428767185,0.6818680966294078
2,1.149458462817948,1.2835559919065764,1.106756946012277
3,1.5580915763864671,1.6357597339664296,1.5316457953951461
4,1.9134449747377549,1.9335141393999256,1.9565346447780159
5,2.1726827606112082,2.2263959708917267,2.3814234941608854
6,2.462229087486644,2.504388453637485,2.8063123435437545
7,2.7356281663251334,2.8340412105728237,3.231201192926624
8,3.0070830279480356,3.030042410717072,3.6560900423094926
9,3.264206102215938,3.3014011526246563,4.080978891692362
10,3.4623634847716955,3.534816296239235,4.50586774107523
11,3.676497810123572,3.8247139141576945,4.930756590458099
12,3.924578086436026,3.982628552847774,5.355645439840968
13,4.231262270979309,4.155493514779524,5.780534289223836
14,4.465268680723296,4.384833484816231,6.205423138606705
15,4.734765794065484,4.60861790945537,6.630311987989576
16,4.87399406317016,4.741442885590694,7.055200837372446
17,5.097718635153514,4.909836043356078,7.480089686755316
18,5.252316118499832,5.102374451234448,7.904978536138186
19,5.404945106383313,5.37072029779525,8.329867385521057
20,5.6831896814546665,5.596855769104987,8.754756234903926
21,5.853921963788922,5.737628841772703,9.179645084286797
22,6.039445858539258,5.966791849913557,9.604533933669668
23,6.184573743096459,6.108021185932378,10.029422783052537
24,6.439066290912585,6.2283491375662985,10.454311632435408
25,6.721334573554768,6.331747645560724,10.879200481818277
26,6.963071580205219,6.521604622119375,11.304089331201148
27,7.101866600246302,6.8101671467755365,11.728978180584019
28,7.337926157634326,6.917988649913323,12.153867029966888
29,7.447508408091918,7.053110725936034,12.578755879349758
30,7.611305466057017,7.287424250682986,13.003644728732624
31,7.923483256852009,7.424606271582294,13.428533578115495
32,8.065283571410175,7.659039107415528,13.853422427498364
33,8.24725399839507,7.839602395580821,14.278311276881235
34,8.409772344503473,8.092445009738167,14.703200126264104
35,8.646323934313239,8.292795196694033,15.128088975646975
36,8.874602329251179,8.485924302584081,15.552977825029846
37,9.128518135965097,8.66955483444072,15.977866674412715
38,9.227858911900892,8.822840282091175,16.402755523795584
39,9.439592388777855,8.908261007903018,16.827644373178455
40,9.609709877965674,9.014891753106834,17.252533222561325
41,9.814895165935138,9.10898684990186,17.677422071944196
42,9.938627515745438,9.26069555860396,18.102310921327067
43,10.071741167043685,9.379427469183224,18.527199770709935
44,10.157305348404131,9.513472337528292,18.952088620092805
45,10.272282015627427,9.683348007815082,19.376977469475676
46,10.44562549996948,9.719843143473422,19.801866318858547
47,10.659275834618898,9.802223169386108,20.226755168241418
48,10.826442293406526,9.921962612025533,20.651644017624285
49,10.992197823253326,10.046575399547338,21.076532867007156
50,11.281064159935468,10.118671126563246,21.501421716390027
51,11.41886104710603,10.283786289150925,21.926310565772898
52,11.514961529689456,10.414110807892772,22.35119941515577
53,11.663807112335459,10.55617187257973,22.776088264538636
54,11.876055879309126,10.59266700823807,23.200977113921507
55,11.963622211947762,10.709687246075344,23.625865963304378
56,12.036802145311675,10.832505646909782,24.05075481268725
57,12.09913261502971,11.051497124905003,24.47564366207012
58,12.213537776733002,11.231219899620545,24.900532511452987
59,12.331442383351167,11.367952707166038,25.325421360835858
60,12.379145834913482,11.475162629414204,25.750310210218732
61,12.568194236632422,11.53525886622567,26.175199059601606
62,12.79594340729604,11.756198493772871,26.600087908984484
63,12.86986221356158,11.8913155045114,27.02497675836736
64,13.078839803949004,11.972013520117077,27.449865607750233
65,13.249790739270807,12.147176474296096,27.87475445713311
66,13.297494190833117,12.219347206958759,28.299643306515986
67,13.479382377245273,12.410454886965432,28.724532155898864
68,13.553242721961297,12.514043953648605,29.149421005281738
69,13.650141705628567,12.638355180120653,29.574309854664612
70,13.8310324475196,12.759929697182518,29.99919870404749
71,13.974491523006467,12.910346712225941,30.424087553430365
72,14.15302521870064,12.969707533443747,30.848976402813243
73,14.281717012441007,13.02134227203111,31.273865252196117
74,14.354569436673064,13.166832730070416,31.69875410157899
75,14.494112918156585,13.42651062183244,32.123642950961866
76,14.621984454608802,13.520239728438401,32.54853180034475
77,14.690179805631226,13.591970333211801,32.97342064972762
78,14.906376564096613,13.734552584361586,33.398309499110496
79,14.9809467461519,13.848061539777305,33.82319834849337
80,15.064708034919267,13.967214496575744,34.248087197876245
81,15.234157610458684,14.150185625711112,34.67297604725913
82,15.420849521048675,14.214215952153086,35.097864896642
83,15.516815129537665,14.354255405198694,35.522753746024875
84,15.721474086068216,14.377497843830298,35.94764259540775
85,15.868917138112057,14.575985847103585,36.372531444790624
86,16.058954153714566,14.742841182515173,36.797420294173506
87,16.170085851455156,14.841321403606196,37.22230914355638
88,16.243904936314788,15.006949177142113,37.647197992939255
89,16.327481498494862,15.139218201147619,38.07208684232213
90,16.440676138503463,15.204184022886556,38.496975691705
91,16.49749202485333,15.304951213786484,38.921864541087885
92,16.63730200941145,15.476179644411266,39.34675339047076
93,16.67933991507148,15.544603555982537,39.771642239853634
94,16.822230828323804,15.66449730388776,40.19653108923651
95,16.96610747670164,15.767707148194424,40.62141993861938
96,17.063601642569058,15.867825356164747,41.046308788002264
97,17.12965135849341,15.949880916190054,41.47119763738514
98,17.193632247532967,16.093655297873973,41.89608648676801
99,17.340306245001536,16.131437714569934,42.32097533615089
100,17.35818213655312,16.282257013423028,42.74586418553376
101,17.495028139955423,16.410771964355327,43.17075303491664
102,17.634980543828696,16.544558528665824,43.59564188429952
103,17.766940960219817,16.614853583246436,44.02053073368239
104,17.917344755838258,16.77132981597826,44.44541958306527
105,18.00397554477394,16.96890025006806,44.87030843244814
106,18.18441381657047,17.041413645217315,45.29519728183102
107,18.292565420376327,17.06465608384892,45.7200861312139
108,18.405247314465832,17.197316996831155,46.14497498059677
109,18.490243988016722,17.29036692556943,46.569863829979646
110,18.53358721157275,17.35284889262842,46.99475267936252
111,18.72471839063643,17.473343838497904,47.4196415287454
112,18.825733862936325,17.65207371149564,47.844530378128276
113,18.941198490346707,17.677908649252707,48.26941922751115
114,19.012232672014548,17.769926927504073,48.694308076894025
115,19.128997038823464,17.843137318352213,49.1191969262769
116,19.214522369227044,17.966112695757193,49.54408577565978
117,19.29793378310243,18.145663388865596,49.968974625042655
118,19.464732889029534,18.22657437169703,50.39386347442553
119,19.48458262242359,18.311568258332528,50.818752323808404
120,19.575154941307773,18.38107089124946,51.24364117319128
121,19.664392650700286,18.474969761026465,51.668530022574146
122,19.7121852788987,18.59132628656689,52.09341887195701
123,19.73203501229276,18.62782142222523,52.51830772133987
124,19.81602474770648,18.758904183409186,52.94319657072274
125,19.9621023234932,18.832672496835066,53.3680854201056
126,20.02790700234854,18.855914935466668,53.79297426948847
127,20.219358357611025,18.918922353632052,54.217863118871335
128,20.371553878823267,19.042532391116985,54.642751968254196
129,20.449100674990852,19.091812731557756,55.06764081763706
130,20.609782467424665,19.162370391231395,55.49252966701992
131,20.645041019265655,19.264796277912204,55.91741851640279
132,20.749075410726412,19.457042775810162,56.34230736578566
133,20.803897206207214,19.480285214441768,56.76719621516852
134,20.9087591733271,19.631242810706276,57.192085064551385
135,20.970781091269107,19.73140471775338,57.56468900576848
136,21.01592771628307,19.92965152850413,57.93729294698558
137,21.035777449677127,20.118617717274574,58.30989688820267
138,21.10788609555153,20.16789805771534,58.682500829419766
139,21.149912685645234,20.241297958845355,59.055104770636866
140,21.16976241903929,20.264540397476956,59.42770871185396
141,21.298652410509984,20.34802669959138,59.80031265307106
142,21.35826712343782,20.4925311647089,60.172916594288154
143,21.609427865609558,20.541614591470065,60.54552053550525
144,21.670686105203604,20.63383891601089,60.91812447672235
145,21.69053583859766,20.846523429729498,61.29072841793944
146,21.710385571991715,20.869765868361103,61.66333235915654
147,21.827676503317367,20.995354548753536,62.035936300373635
148,21.98902445599002,21.139336219448616,62.40854024159073
149,22.176633413460863,21.252927561515108,62.78114418280783
150,22.282206779375095,21.276170000146713,63.15374812402492
151,22.302056512769152,21.299412438778315,63.52635206524202
152,22.33629248740576,21.48260383421239,63.898956006459116
153,22.420257035703028,21.577942471778364,64.27155994767621
154,22.49821796704658,21.653002043846765,64.6441638888933
155,22.564083081173113,21.67624448247837,65.01676783011041
156,22.564083081173113,21.82425282690182,65.3893717713275
157,22.673689841773232,21.87778777039506,65.7619757125446
158,22.857315300799243,21.950847922714765,66.13457965376169
159,22.956337669463185,22.00923378905658,66.50718359497878
160,22.956337669463185,22.232861148335495,66.87978753619589
161,23.121393200963123,22.256103586967097,67.25239147741298
162,23.254884525988935,22.279346025598702,67.62499541863008
163,23.332792661894494,22.332825080303458,67.99759935984717
164,23.505366361117062,22.588464598394953,68.37020330106427
165,23.575927848633327,22.7202616683577,68.74280724228137
166,23.618912541025168,22.906634876588313,69.11541118349847
167,23.75884147443907,22.92987731521992,69.48801512471556
168,23.904397219649418,23.067733430020503,69.86061906593265
169,23.92550160397241,23.299470094288335,70.23322300714975
170,23.92550160397241,23.39315384268579,70.60582694836685
171,24.064032240285897,23.53158708190086,70.97843088958395
172,24.19979585260935,23.606073108385303,71.35103483080104
173,24.408836073384066,23.69449214444438,71.72363877201813
174,24.408836073384066,23.739091302131143,72.09624271323523
175,24.49435245487271,23.76233374076275,72.46884665445234
176,24.49435245487271,23.80639051260828,72.84145059566943
177,24.57772855028885,23.864608452249367,73.21405453688652
178,24.59685162391158,23.939159877633763,73.58665847810362
179,24.713739686808474,24.002063547946225,73.95926241932071
180,24.86963111300558,24.113267699474786,74.33186636053782
181,25.051719007297454,24.144755498574945,74.70447030175491
182,25.14040420028928,24.259621745231794,75.077074242972
183,25.17348703255674,24.335956192471762,75.4496781841891
184,25.17771657896331,24.467029522053487,75.82228212540619
185,25.27173542148156,24.49027196068509,76.1948860666233
186,25.373543133419652,24.555686583864645,76.56749000784039
187,25.394647517742644,24.651645006373155,76.94009394905748
188,25.478756065581088,24.700728433134323,77.31269789027458
189,25.581808862240415,24.787962163175994,77.68530183149167
190,25.581808862240415,24.83305917514552,78.05790577270878
191,25.674836023583293,24.874349917705672,78.43050971392587
192,25.801557723625756,24.94707214960558,78.80311365514297
193,25.801557723625756,25.005695400132645,79.17571759636006
194,25.902541175339262,25.114521079954635,79.54832153757715
195,25.966173367728135,25.22554171435003,79.92092547879426
196,26.046445408355755,25.339317427624557,80.29352942001135
197,26.122956336783023,25.451667947944816,80.66613336122845
198,26.122956336783023,25.543148107340013,81.03873730244554
199,26.2527270053856,25.64290147439889,81.41134124366263
200,26.333342658831224,25.6661439130305,81.78394518487974
201,26.414876559130892,25.718228849643673,82.15654912609683
202,26.50394537493391,25.808605997831318,82.52915306731393
203,26.57558037812252,25.86561121580351,82.90175700853102
204,26.628839048939728,25.969018775602343,83.27436094974811
205,26.683456123829057,26.076072056473986,83.64696489096522
206,26.723105158018296,26.151696504894907,84.01956883218232
207,26.747790044683008,26.190222335952637,84.39217277339941
208,26.761656377962566,26.27045472972809,84.7647767146165
209,26.950372715910287,26.37032931858503,85.1373806558336
210,26.950372715910287,26.481892670276903,85.5099845970507
211,27.00875206281023,26.61954211913612,85.8825885382678
212,27.12356506684272,26.642784557767733,86.25519247948489
213,27.221584399562925,26.736668152719794,86.62779642070198
214,27.293253146530276,26.80579548160575,87.00040036191908
215,27.33993556046058,26.846340736936412,87.37300430313618
216,27.392317570249894,26.86958317556802,87.74560824435328
217,27.44782688579584,26.924417373433197,88.11821218557037
218,27.598752937170083,27.016753604145368,88.49081612678746
219,27.629888797347405,27.039996042776977,88.86342006800456
220,27.753160674587484,27.063238481408586,89.23602400922167
221,27.78463199208793,27.086480920040195,89.60862795043876
222,27.899910332223605,27.109723358671808,89.98123189165585
223,27.9681638720733,27.2890101341922,90.35383583287295
224,28.11215591715984,27.332131441618156,90.72643977409004
225,28.15729768145595,27.594163854479604,91.09904371530715
226,28.22908878415675,27.707906531749103,91.47164765652424
227,28.263519557593497,27.861107540709384,91.84425159774133
228,28.318518948728773,27.95635249103504,92.21685553895843
229,28.32676430919733,28.026647545615656,92.58945948017552
230,28.399830913594702,28.07288851925175,92.96206342139263
231,28.424721181167065,28.160853695512213,93.33466736260972
232,28.424721181167065,28.250928252863634,93.70727130382681
233,28.424721181167065,28.372138650905345,94.07987524504391
234,28.424721181167065,28.57541211780852,94.452479186261
235,28.424721181167065,28.6351611950858,94.82508312747811
236,28.508565407672922,28.709450241655766,95.1976870686952
237,28.547804936100306,28.970656045713575,95.5702910099123
238,28.6841747553311,29.0462804941345,95.94289495112939
239,28.80893424468183,29.06952293276611,96.31549889234648
240,28.81459979058411,29.203878403300052,96.68810283356359
241,28.950379932828884,29.347811787773065,97.06070677478068
242,29.047752375356872,29.405714762608493,97.43331071599778
243,29.07934413459044,29.54174591454514,97.80591465721487
244,29.1830171645863,29.60392015955303,98.17851859843196
245,29.235399174375612,29.75225729738917,98.55112253964907
246,29.235399174375612,29.818484428412624,98.92372648086616
247,29.340637886258463,29.91327516900892,99.29633042208326
248,29.340637886258463,30.09397666350568,99.66893436330035
