Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,LinTS
0,0.35048989393728247,0.16442865986376942,0.16317039812636183
1,0.6809666961966805,0.32589151433684604,0.3065353531516572
2,0.8662252261071248,0.4517594988895205,0.44052874368515393
3,0.9838537779896178,0.48177156154904976,0.5229007385850863
4,1.130668996613529,0.5421015446072277,0.5762008012895233
5,1.4114647120973904,0.5694531377458081,0.6268422325699176
6,1.575226963815443,0.5778125156973907,0.7088884012271054
7,1.6479541209950654,0.5778125156973907,0.7923370299359467
8,1.7816485211770299,0.5778125156973907,0.8413637457738424
9,1.8484575615305268,0.5778125156973907,0.8836457991026541
10,1.8921770655115278,0.5778125156973907,0.9281991023115671
11,1.9627822345930004,0.5800837655774922,0.9686663744354387
12,2.153938341849714,0.6190261588534899,1.0109484277642502
13,2.261947106343684,0.627585602567514,1.0943970564730918
14,2.3547028691890235,0.6518969186995033,1.1366791098019033
15,2.421958715044687,0.656370331328486,1.1834345757596976
16,2.475842543661673,0.6721541011007673,1.2279878789686107
17,2.643282513008222,0.6849868916813326,1.2725411821775237
18,2.957174395354016,0.6935463353953567,1.3148232355063354
19,3.018572615195484,0.6935463353953567,1.3593765387152483
20,3.0339690034238247,0.6935463353953567,1.39984381083912
21,3.1350257261363303,0.6935463353953567,1.4443971140480332
22,3.1979486620165134,0.6935463353953567,1.4866791673768447
23,3.2196013467244597,0.6996344634668379,1.5294176893808178
24,3.2214161279293996,0.6996344634668379,1.5716997427096293
25,3.2562503619536316,0.7057225915383191,1.6139817960384408
26,3.3098427724257418,0.7118107196098002,1.683615442505833
27,3.345220239567355,0.7178988476812813,1.7258974958346442
28,3.437163164575918,0.737736751184288,1.7704507990435574
29,3.524453827556137,0.739551532389228,1.8127328523723687
30,3.673130905487189,0.739551532389228,1.85501490570118
31,3.8218916118121165,0.739551532389228,1.8995682089100931
32,3.921541706517239,0.739551532389228,1.9418502622389044
