Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.31760132164316496,0.4829819623239386
1,0.8668506332162802,1.1150150809898294
2,1.1844519548594452,1.478218804441065
3,1.7337012664325604,1.478218804441065
4,2.365734385098451,1.5133094223401473
5,2.8963073670078376,1.9305350681358018
6,2.93139798490692,2.2481363897789666
7,2.9664886028060025,2.778709371688353
8,3.336988228437071,3.1492089973194215
9,3.3720788463361533,3.373569157702284
10,3.4071694642352357,3.8044684382721545
11,3.442260082134318,4.103518645387278
12,3.4773507000334005,4.614632683461038
13,3.512441317932483,5.256468042425137
14,3.8253369123588232,5.569363636851477
15,4.124387119473947,5.863401431389473
16,4.159477737373029,6.042469440042167
17,4.7525858709328475,6.2913723169484275
18,5.115789594384083,6.52935986792288
19,5.150880212283165,7.078609179495995
20,5.185970830182248,7.141790739377733
21,5.22106144808133,7.588913021160874
22,5.862896807045429,7.869465394163498
23,5.897987424944511,8.215914237999822
24,5.933078042843594,8.80902237155964
25,6.112146051496287,9.089574744562265
26,6.458594895332611,9.436023588398589
27,7.10043025429671,9.68492646530485
28,7.135520872195793,9.909286625687713
