Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,HEHEHEHHE
0,0.36173235116564817,0.31852592955455833,0.31852592955455833,0.3201908201888616
1,0.7082497381265483,0.6115116172600759,0.5990148119373551,0.5702213153709826
2,0.9919850099272824,1.012383163471668,0.8910873722044108,0.948918035435101
3,1.2405178382909259,1.3354967803914242,1.2838037356454746,1.3105061380217888
4,1.4569616095577493,1.7567719923547311,1.6249670645517142,1.609085413520917
5,1.65424632820269,2.0468129965840407,1.9057092970635907,1.8743516124510815
6,1.857661579189672,2.3266857334426256,2.24644856988594,2.1843817268313943
7,1.9750630384610939,2.7450456066119657,2.6334996147683154,2.497283462444068
8,2.1486118407271406,2.9800593357488294,2.9101265296561727,2.8354525594603235
9,2.386577442173925,3.19086290490283,3.2683821828842015,3.1176897174208587
10,2.634136913443604,3.3717804364475668,3.544330516576223,3.431559950937544
11,2.7428757044819254,3.8302927576181474,3.86004770231638,3.7245554313727096
12,2.9236858938638712,4.181703241843852,4.169241565842907,3.9852792896440783
13,3.2623862126586483,4.477538477647121,4.508890344643065,4.359348397982657
14,3.478179505744675,4.846499847748498,4.727204195811865,4.701022899146111
15,3.618269568623204,5.088845366974843,5.0695834027166224,4.997198296332368
16,3.7817322831611713,5.5183573871847695,5.393656801706549,5.331223866843115
17,3.920068953563517,5.846575281558576,5.723949782078105,5.593328202771203
18,4.0951160974263825,6.080530107042506,5.994641193924308,5.914187676011563
19,4.229540609809886,6.421322597447203,6.190410571197992,6.167700933568517
20,4.43306452193543,6.874736820929802,6.404101082193063,6.558504498777074
21,4.574262143125181,7.19591482824706,6.78830881708654,6.880073306216696
22,4.8303402701225835,7.6420387644080945,7.078489577968459,7.196655381310366
23,5.106256914527574,7.972081091624313,7.273506683343976,7.499053467461351
24,5.231451137670379,8.320568755521613,7.433267367602862,7.710441130252875
25,5.353534321997315,8.374247121982757,7.620460493526956,7.954573151651277
26,5.371003111995057,8.43951458778738,7.792382136718369,8.179535279690189
27,5.484718824302066,8.49153631490342,7.954228154586342,8.49025698387328
28,5.603236109607011,8.56269195125206,8.080309270676263,8.678620167665088
29,5.700491396456447,8.611927519733694,8.109053958863504,8.960784494676515
30,5.879061663228826,8.653063782050284,8.210792478683612,9.262065732331626
31,5.998000212471154,8.689422154088975,8.261133726621843,9.585017102476476
32,6.164697924140321,8.735940816351675,8.295972943782674,9.794020521543441
33,6.371921420567184,8.817309431341673,8.385480112323824,10.05399408356893
34,6.464311597199517,8.870668743670139,8.430501900285687,10.3334157697145
35,6.51946972954895,8.88644672512423,8.453610064231944,10.539378618609996
36,6.549036683845911,8.935659777438548,8.496047360384583,10.879412408568816
37,6.615845862543281,8.980571747402205,8.565053812147632,11.144584787679516
38,6.717428455706122,9.036073529104907,8.593725234922559,11.415319151872806
39,6.800850536743259,9.050656829527252,8.68890403762388,11.639553388442186
40,6.984815822815461,9.074727079478503,8.721103574129753,11.912271858971332
41,7.1983681429825115,9.091228274222349,8.781943700321868,12.217127530118365
42,7.279293504230521,9.116485068517923,8.812149437104553,12.429241196170427
43,7.377235988038325,9.130459199849417,8.828042643461957,12.660452436246727
44,7.51253059590316,9.156852528152331,8.910593206534738,13.014683392239117
45,7.667033057821501,9.192136889790508,9.005829560568504,13.348674455989904
46,7.83563454538388,9.22662589258493,9.129609271946677,13.633158491394337
47,7.98497891207507,9.260290498295568,9.153372583337212,14.004734519447918
48,8.124031716230139,9.2879143445991,9.165218687255493,14.284502713284335
49,8.193666633584032,9.299298207824087,9.202797881875785,14.50245439431804
50,8.319871024781037,9.309022449483441,9.24622008083601,14.795850404640422
51,8.369071522742384,9.33449703838247,9.267162790733142,15.074534840396783
52,8.44969801055681,9.35545071323519,9.28703540009188,15.391238333457324
