Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta
0,0.9932984757619522,0.9876923037059232
1,0.9838415767331284,0.9658647134132187
2,0.9714360736532036,0.955333254283337
3,0.9626052211556096,0.955984814127951
4,0.9513506109517097,0.9466265928870546
5,0.9456144378347258,0.9349279604191997
6,0.9399518062083454,0.9283315122766747
7,0.9315587845604083,0.9216844990186974
8,0.9322937318839877,0.9117491263774555
9,0.92993913060359,0.9074892158983274
10,0.9231011536115586,0.9008938230102634
11,0.9186485070949704,0.8951733174553731
12,0.9173308803781269,0.8640353988009682
13,0.9164583486570684,0.8397474693465472
14,0.9125102010736399,0.8377457535531075
15,0.9125277159574174,0.8336465931385477
16,0.9011529886773811,0.8290493615105758
17,0.9012038287514678,0.8095828253009326
18,0.9028809346997164,0.7922792419321503
19,0.9036705009339292,0.7888376712536965
20,0.9019175372840547,0.7895156145569232
21,0.9008248003401537,0.7911120590683417
22,0.9041671228045572,0.8008158459054865
23,0.8992407381614456,0.7958038786303769
24,0.8963966752283451,0.7922205323293786
25,0.896789122523894,0.7980299979061695
26,0.8952286649183806,0.7829929719010617
27,0.8929936124225982,0.7823990493151503
28,0.890361965196238,0.7799435134764089
29,0.8897947390359132,0.7906717720540252
30,0.8890584286840888,0.794042255931693
31,0.8851941621766443,0.7949836945130726
32,0.8862742418952116,0.7928890133044713
33,0.8874441411502559,0.79205393373116
34,0.8780558264212649,0.7918631160831622
35,0.8722495603077721,0.7901814253732391
36,0.8768041579187761,0.7899664915845424
37,0.8760842338406338,0.7893420884165113
38,0.8751238730489546,0.7869601868147468
39,0.8699496338393518,0.7871782937509934
40,0.8721295617948905,0.7808454800600856
41,0.8720453850492624,0.7817803652617972
42,0.8764851582344338,0.7821232984358872
43,0.8703800955801467,0.7822681205352472
44,0.8699167428964716,0.7820945843081217
45,0.8710597034042513,0.7827166126169254
46,0.8695893045842311,0.7829536954942378
47,0.8670207680100445,0.7823327817041694
48,0.8555728385612195,0.7799828782865377
49,0.8566100420316989,0.787974218191501
50,0.8557865233634614,0.787954469454619
51,0.8559062312996323,0.7858356942906027
52,0.8554418861120782,0.781238187768645
53,0.8563616247288172,0.780661174764481
