Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
0,0.4206406668604664,0.3055900047891211,0.3991724671029839,0.3055900047891211
1,0.911029707542783,0.7356771665435579,0.7721028825117803,0.7356771665435579
2,1.1289029472531635,1.1588015081536718,1.0683055480024228,1.1588015081536718
3,1.4747099751781816,1.6454613216454956,1.4828115250124099,1.6454613216454956
4,1.7221751813409416,2.0125000330144767,1.8537067569836814,2.0125000330144767
5,1.9542104646908218,2.329360270298556,2.158199148712014,2.329360270298556
6,2.186500060369571,2.6786008433540096,2.6916365685954955,2.6786008433540096
7,2.5485542589826826,2.9885364204035096,3.196980358038876,2.9885364204035096
8,2.8621185732869563,3.4931199012468257,3.657239437742253,3.4931199012468257
9,3.1005891697867143,4.00849702403694,4.002775553900184,4.00849702403694
10,3.4422894112833076,4.397667641905936,4.403945915067723,4.397667641905936
11,3.6842411247239495,4.770475971240754,4.875845151746143,4.770475971240754
12,3.86653589545449,5.0393377521574525,5.249326916888377,5.0393377521574525
13,4.101089540117462,5.369604353672797,5.560524164042889,5.369604353672797
14,4.2732963257998255,5.807502260966925,5.954026653319788,5.807502260966925
15,4.503334301719414,6.1899988538061965,6.451767313073313,6.1899988538061965
16,4.692995559961395,6.5679907945062315,6.82227233051498,6.5679907945062315
17,4.859212952636037,7.050693685398192,7.194792218517098,7.050693685398192
18,4.989868593953422,7.544045250031897,7.6424694218355045,7.544045250031897
19,5.042991740548469,7.91262422536912,7.894326419417647,7.91262422536912
20,5.27852507898508,8.397256251619135,8.31888362877943,8.397256251619135
21,5.5695110149579925,8.796294232741474,8.662044519845288,8.796294232741474
22,5.682683415657755,9.205809146599938,9.044679495567173,9.205809146599938
23,5.756074364456954,9.599232014399949,9.391856929850809,9.599232014399949
24,5.835731273429011,10.007260737253358,9.75282513959794,10.007260737253358
25,5.952198844491183,10.094349498602108,10.198023786449387,10.127792244033568
26,6.043316517813112,10.168372586616004,10.583624355020406,10.274726082081042
27,6.191081486783117,10.319204222203828,10.981036233452727,10.400653475321727
28,6.383909329962188,10.372017078397768,11.284486747974574,10.623928195038678
29,6.411958738860756,10.52366067631004,11.54615052420894,10.830116348736981
30,6.4655936838343155,10.623061751017595,11.866216173866308,11.06145362976812
31,6.613237932801567,10.75273415176826,12.19314150571297,11.347794645219404
32,6.899088377316124,10.935223646937335,12.658301576550167,11.661705511802689
33,7.0424178689610795,11.13871190346819,12.931435486148995,11.936825538526024
34,7.1963198752442805,11.320523517766532,13.38938886793483,12.28783493429818
35,7.348748833451195,11.544775961779681,13.736699093770744,12.616234273125142
36,7.43848280186656,11.735696626616479,14.015028574086406,12.978257007222464
37,7.684499154724802,11.955959058374589,14.4076761462881,13.337762531780479
38,7.833543197017228,12.086703106032527,14.756357328060702,13.697272072897968
39,8.071352736305737,12.348990114785149,15.139314646471174,14.128738056849496
40,8.238450684587777,12.50990217203305,15.615610848137726,14.430035343509166
41,8.30298707654077,12.68065301309817,16.01087279406764,14.753941216331816
42,8.37382240630471,12.917034132296825,16.28442586861959,14.988852343633232
43,8.455522590641264,13.178791018964258,16.631218268437483,15.26362408052735
44,8.565423588541165,13.384227837031464,16.979867813200265,15.486619598422047
45,8.658295697092724,13.486901805784987,17.18265936095439,15.857543762731051
46,8.932068104080845,13.661240564742041,17.439292496959162,16.222411597930197
47,9.050525856980014,13.785562248609065,17.78115572942594,16.47794785411491
48,9.075458099585138,13.928347943076261,18.271637533948187,16.72593599006857
49,9.165101613288636,14.077729324834682,18.59589931014323,16.89250453678435
50,9.295747440784398,14.197841824767417,18.953846669199088,17.041149762187516
51,9.563292133140942,14.408397494845795,19.312055249978016,17.134326307652262
52,9.595349053154884,14.632275446078605,19.541344515722876,17.428999938859437
53,9.696533294678561,14.7585293891407,19.863944074581692,17.79906515556086
54,9.854095378028592,14.93813062724983,20.096572949470357,17.967193634886065
55,9.946021545547207,15.128453804224606,20.40468252493868,18.051214661197257
56,10.034342587395304,15.231844003722305,20.658197628579615,18.186746254700367
57,10.208822372435982,15.325097050869502,21.01753639834846,18.349338623890073
58,10.39101591580087,15.508488126988059,21.268309637582096,18.42005334082895
59,10.54705330306502,15.74085081081446,21.604263191521476,18.53196859704483
60,10.762660611721174,15.95809183421972,21.986745171820523,18.809627541913592
61,10.871293732871663,16.104454576924702,22.336415301119064,18.997673510387532
62,11.011167439044101,16.37500641747618,22.5485546203285,19.145299751835836
63,11.138070667549137,16.51394301470646,22.905906032347414,19.297239039227193
64,11.201493663736976,16.677686335088065,23.223954747612602,19.40027471357471
65,11.2335242513368,16.76505655550779,23.549351778459787,19.560245694033863
66,11.26467020201456,16.889181015241313,23.84967078173728,19.7091349514009
67,11.32645306794762,16.987091956251803,24.177165333873447,19.81807008129757
68,11.404313889966998,17.129548612683656,24.47147005793078,19.94802252772977
