Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta
0,0.997116327343806,0.997116327343806
1,0.9693513611133067,0.9693513611133067
2,0.9700296515344589,0.047838121674520215
3,0.9698989914490594,0.04384887771262467
4,0.05420763357424292,0.034330513854494614
5,0.02298129872449113,0.03812435371371637
6,0.01969807052863687,0.033649322358810206
7,0.04963448304866845,0.04218128940369964
8,0.05492395637193302,0.03594101185230687
9,0.05909035070084542,0.03330425275747791
10,0.07963474756687978,0.03725989170198404
11,0.06573147686359511,0.034669770349795605
12,0.0655665904116653,0.035215485966946194
13,0.058212219838600206,0.033541877414992004
14,0.06724329471213897,0.03705003710414655
15,0.06204302592562098,0.033429706636900376
16,0.054169147991331094,0.03353720235369329
17,0.05694090198932852,0.03441583742649923
18,0.05334432003543885,0.03394473605442272
19,0.037714340840875625,0.034740986371545705
20,0.040037806154032865,0.035726238132753
21,0.037292214113864915,0.03532968372124023
22,0.03738655946906776,0.03579664761302442
23,0.03713899350683829,0.03522518291228344
24,0.045372071944221076,0.03795755907448897
25,0.03384321196781443,0.03491488820212641
26,0.036771465710470366,0.03598556195831052
27,0.035002232023299544,0.035682479885492994
28,0.032629293655359055,0.03513934384784909
29,0.030258452297360353,0.034558921296111524
30,0.03673740002647546,0.03697299359659832
31,0.03651082297410697,0.037107206270956004
32,0.03341204100447351,0.03607301067157314
33,0.027586150767667645,0.03406434878753168
34,0.028464183860290447,0.03443806536797957
35,0.028304701806209295,0.034450631721323455
36,0.029348078115897274,0.034934175654142696
37,0.0269031121722463,0.034028732328461736
38,0.02655590807129985,0.033933927843175775
39,0.02794419543834551,0.03455592129589034
40,0.027832702305161876,0.03456230560340225
41,0.018540590719667814,0.03488569954264015
42,0.025483171333308453,0.03743635919223619
43,0.02855582008326966,0.038810527875604184
44,0.030388504313325862,0.03973986814320232
45,0.02815203642630717,0.040465486131688384
46,0.02840424570488202,0.040683127023713114
47,0.030860375363889612,0.04189532228423266
48,0.034862999383290974,0.043934760877689834
49,0.03694295274442463,0.04512306439445061
50,0.036696129876072375,0.045133983152592795
51,0.03520546579370641,0.044493999010995045
52,0.03393112046163954,0.04395972152480832
53,0.034439738023833294,0.04433232998473038
54,0.03163668019777639,0.043005931966050966
55,0.03210654374385848,0.04333724613204554
56,0.029244831983728767,0.04199180404657795
57,0.033521974029945,0.044257915123246186
58,0.03172965827074415,0.043407454983768745
59,0.029379526851479303,0.04228386503751778
60,0.030927993937755322,0.0411000723024268
61,0.027231135432786505,0.039155899883127024
62,0.035659304274634665,0.037785311124598354
63,0.03462386328849072,0.037029364895555694
64,0.0410771677567085,0.036190739420208194
65,0.040891249617654675,0.036065327063412755
66,0.04026222469828747,0.03541015468489137
67,0.04008010719522667,0.03523208007217708
68,0.026145959358493565,0.035962366977304795
69,0.027016344735354487,0.03616181441769292
70,0.026711813089328337,0.03601097044480347
71,0.0332958417836224,0.03674317926756566
72,0.03275908730238471,0.036286544601842566
73,0.035166658424490405,0.03585589110972595
74,0.03460337299315241,0.035247302151000186
75,0.03470208433612633,0.035393454933978365
76,0.03454964692878082,0.03522558573781855
77,0.03539326397836658,0.03621733510030638
78,0.03497477008457792,0.03579130975107108
79,0.03458583686799604,0.03533972511431337
80,0.034665110562415544,0.03546511842582398
81,0.02566026799253157,0.03634278769199454
82,0.025458579715534068,0.0362259730202795
83,0.02600023336771152,0.0365876411992724
84,0.02607598886781228,0.037479073828774315
85,0.02493324844068224,0.03687037233786786
86,0.02388768103190381,0.03630326738783179
87,0.024213207851310065,0.036481280456746125
88,0.02475791475027787,0.03677947419115115
89,0.02621659112313865,0.037049484012522414
90,0.02701720490900355,0.03748311699541267
91,0.027695219162652183,0.03785250659551145
92,0.02220563437179534,0.037387735826617106
93,0.021631484956434157,0.03715682757825676
94,0.022153788588431523,0.03737774591013796
95,0.02165519415288823,0.03717604431543057
96,0.020770317364902584,0.03681659842831334
97,0.021990848153860224,0.037325509975248014
98,0.021107049783221393,0.036961589218269475
99,0.02034500996812766,0.036651303832349755
100,0.018972010584526813,0.03609857301944716
101,0.031034808346876972,0.03686087711470215
102,0.030654845507278483,0.03657724215605395
103,0.031036517246511634,0.036847566187588665
104,0.029781068912085252,0.03648259526325805
105,0.029584791587707805,0.03633377170079531
106,0.028907998026808546,0.035810729102990484
107,0.02835472869977195,0.035352689230768966
108,0.02814614349236994,0.03516579777627806
109,0.029100245350317834,0.03594857108455307
110,0.030302788626194618,0.03684846229429701
111,0.029414068341250852,0.03618357783127369
112,0.02945648479711275,0.03621263527624076
113,0.028523819051647623,0.03546530481307836
114,0.02866055723759112,0.035574522769572285
115,0.028170300188420552,0.035150475059348145
116,0.02758935008222298,0.03458436641112268
117,0.02745712056331853,0.034431693798340116
118,0.02760353887671744,0.03458914003905433
119,0.02756021031211281,0.03453736873819357
120,0.027767808551219356,0.034748243037643435
121,0.027559157199009737,0.03452636310290239
122,0.027724247552396903,0.03469497210066111
123,0.027678113482371102,0.034643118833449796
124,0.027529114213979987,0.03447913110867364
125,0.02760654609833046,0.034558891604466936
126,0.027516527717046522,0.03445606987772899
127,0.027343263755351465,0.03424505336750211
128,0.02725103401997925,0.03411547553555429
129,0.02720504172259839,0.034041814405186416
130,0.02729840679264443,0.034173340939194
131,0.027205233834447982,0.03403406297347858
132,0.027378871821037005,0.034269115394437596
133,0.02758479267795193,0.03450202376583935
134,0.027501811993183644,0.03440641578662812
135,0.02736892107908156,0.03424507130848881
136,0.027512045586843406,0.03407788781932379
137,0.027581931413236963,0.03419681584614069
138,0.027525588961897933,0.0340987016666756
139,0.027683650880303674,0.03434339323754663
140,0.02752909956137927,0.03410082285232677
141,0.02753669289182986,0.03411234414889473
142,0.027618955223905863,0.03424406748950264
143,0.02762476057075734,0.03425085732507839
144,0.019957090901462405,0.03413047762902418
145,0.019895836366788627,0.034066114627263985
146,0.02003389589556608,0.03420302476504224
147,0.0202646084238775,0.03440480297102392
148,0.020520640709198183,0.03460749059417866
149,0.020286321778101083,0.0344215649790004
150,0.020143520685607954,0.034299453030711934
151,0.019991541693016483,0.03415815931083516
152,0.020113607964394733,0.03427142331252536
153,0.020297938811514496,0.03442893394644702
154,0.02028698278993184,0.0344193453943284
155,0.020354962805741086,0.03447451785856612
156,0.020516772655389984,0.03460199672219023
157,0.02043854034045143,0.034540525042003216
