Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.39150025282364886,0.3874980536215751
1,0.6341247297515501,0.8429028580926372
2,1.0044394389345608,1.185253243567334
3,1.3933166580177687,1.455751672056498
4,1.6399977691839922,1.8230550404142298
5,2.0521357968333245,2.031103728656455
6,2.264363185233618,2.371478724080494
7,2.59228017397906,2.6790870496052213
8,2.877061866772485,2.8948307245087705
9,3.043255626004685,3.1242525121137517
10,3.3063926390010914,3.362608330588388
11,3.5475550688406017,3.7196733908145063
12,3.7441002438170665,4.046644401435667
13,3.933821561877887,4.2614545635026015
14,4.2291801138704095,4.535386670406503
15,4.403075599711902,4.688426263652214
16,4.59730821588418,4.816839996675049
17,4.8798393896572465,5.004858975993728
18,5.106888520988312,5.150715347823692
19,5.2640284454638655,5.360778356383021
20,5.4423332611326725,5.521970686333327
21,5.718413696891494,5.655453574373261
22,5.956464542170625,5.847247876979962
23,6.156033012044832,6.078742205737931
24,6.41267763520611,6.24373079643239
25,6.6487920704667385,6.372609536587764
26,6.87821478678635,6.450161347852108
27,7.0162816394612095,6.631196445573354
28,7.178321433167033,6.825340412373052
29,7.425746923633857,6.996189461680669
30,7.653000564373867,7.178419172874482
31,7.863747504749002,7.334193789549682
32,8.017074302153663,7.540547361404423
33,8.261374079780067,7.720888718919492
34,8.422101568355526,7.846334570431452
35,8.665878814371144,7.990230789678961
36,8.850051921840231,8.16914314474207
37,9.01153496102783,8.299951404125727
38,9.14617085188412,8.562165829460856
39,9.372730313169384,8.726494135569702
40,9.526801304252896,9.016782811916784
41,9.672307816931818,9.1171010112109
42,9.788177865983858,9.372481507708946
43,9.956631682121277,9.522344613726451
44,10.102331287994097,9.714362605288045
45,10.411294432465613,9.947553731966213
46,10.564429464486942,10.189405551916554
47,10.748028342338243,10.271813112666743
48,10.904194820158546,10.390971029162053
49,11.006573151825682,10.448693276886925
50,11.18607615275581,10.559857145206092
51,11.373223698180766,10.744772954423421
52,11.592835256588351,10.930272144942169
53,11.677871814139811,11.081084878277693
54,11.754462520804658,11.226919994113523
55,11.87320981072103,11.42693914618182
56,12.034224310630197,11.571288664373288
57,12.119738283571733,11.797096969635774
58,12.308572058868666,11.983171301315238
59,12.435503335995344,12.09393408913498
60,12.593831719676135,12.218227882893094
61,12.696915670432379,12.367366876329367
62,12.830304969609525,12.515941757070872
63,12.891445628966684,12.63124094743403
