Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
28,8.38142376929226,8.157805766836166,7.045132711265081,4.980397479903803
29,8.530655743840537,8.276770354842174,7.188488346919302,4.980397479903803
30,8.901450893025352,8.459167341666474,7.337720321467579,4.987033662468789
31,9.001770773982296,8.77872377032478,7.388758455334598,4.993669845033776
32,9.309957364546205,8.823125721626813,7.49816955546312,4.993669845033776
33,9.309957364546205,8.997358379277058,7.601875051824966,5.0380717963358075
34,9.579260016269995,9.074376052587628,7.6882239178224365,5.0380717963358075
35,9.715220530017245,9.074376052587628,7.789632638781218,5.0380717963358075
36,9.804412768156741,9.287291373755856,7.840670772648236,5.0380717963358075
37,10.130866633196181,9.673953610617165,7.885072723950269,5.0380717963358075
38,10.34134283981451,9.94914964166724,8.006136992306757,5.0380717963358075
39,10.526194863245403,9.94914964166724,8.314150269273105,5.044707978900794
40,10.842878546665068,10.290642081367164,8.428578355064607,5.044707978900794
41,11.058557092211823,10.57193314389126,8.549642623421096,5.044707978900794
42,11.238919557261104,10.57193314389126,8.706017623908036,5.05134416146578
43,11.425969393288602,10.57193314389126,8.750419575210069,5.05134416146578
44,11.608824960018024,10.797085895778007,8.906287732323332,5.05134416146578
45,11.608824960018024,11.341540373894832,9.009993228685179,5.108350931122529
46,12.044077724975926,11.456920109813085,9.061031362552196,5.314776952501971
47,12.170644180146684,11.709001618793552,9.204386998206417,5.3567238671974104
48,12.170644180146684,11.709001618793552,9.248788949508448,5.3567238671974104
49,12.25983641828618,11.775075139098359,9.460340567704893,5.3567238671974104
50,12.329862552775651,12.050582438461758,9.581760192317494,5.492114506769484
51,12.374264504077683,12.057218621026745,9.632798326184513,5.5581880270742925
52,12.54756658292962,12.057218621026745,9.73557324374805,5.5581880270742925
53,12.854495503149659,12.418322282012449,9.786611377615069,5.564824209639279
54,13.041545339177157,12.621906410493775,9.8310133289171,5.564824209639279
55,13.239433040537842,12.780877026727243,9.91736219491457,5.634850344128749
56,13.505398166476411,12.966880819637822,10.220948286737519,5.634850344128749
57,13.64135868022366,13.292459452444145,10.26535023803955,5.634850344128749
58,13.64135868022366,13.455602286545815,10.439582895689798,5.634850344128749
59,13.967037681148625,13.532619959856385,10.490621029556817,5.634850344128749
60,14.16492538250931,13.532619959856385,10.683361900359346,5.634850344128749
61,14.30088589625656,13.7074761175921,10.791654830384791,5.634850344128749
62,14.360323233996382,13.834042572762858,10.894429747948328,5.634850344128749
63,14.404725185298414,13.834042572762858,11.00477142687516,5.634850344128749
64,14.671741712598031,14.093648053383012,11.05580956074218,5.634850344128749
65,14.78746491008999,14.35318755016004,11.231350664879148,5.6942876818685715
66,14.858786156279919,14.456893046521888,11.34577875067065,5.6942876818685715
67,14.858786156279919,14.560598542883733,11.515695755782392,5.6942876818685715
68,14.858786156279919,14.560598542883733,11.62374065930616,5.6942876818685715
69,15.119443038261121,14.617605312540482,11.674778793173179,5.6942876818685715
70,15.119443038261121,14.78290501222268,11.733151759434682,5.6942876818685715
71,15.23646673979915,14.854226258412606,11.733151759434682,5.6942876818685715
72,15.353490441337177,14.911233028069356,11.733151759434682,5.6942876818685715
73,15.479005495146888,14.911233028069356,11.77509867413012,5.6942876818685715
74,15.614966008894138,15.028256729607383,11.781734856695106,5.8978718103498995
75,15.691983682204707,15.27158208741842,11.853056102885034,5.956244776611403
76,15.755874660928123,15.370535771770609,11.853056102885034,5.956244776611403
77,15.870302746719625,15.474241268132454,11.85969228545002,5.962880959176389
78,16.039023748689285,15.777083793525467,11.866328468015007,5.962880959176389
79,16.116041421999856,15.880923082567321,11.866328468015007,5.962880959176389
80,16.116041421999856,15.939296048828826,11.923335237671756,5.962880959176389
81,16.116041421999856,16.16851659900038,11.993862398960157,6.007282910478421
82,16.17441438826136,16.272222095362228,12.000498581525143,6.007282910478421
83,16.300980843432118,16.272222095362228,12.000498581525143,6.007282910478421
84,16.44143091556098,16.50249404689483,12.142525403662203,6.007282910478421
85,16.44143091556098,16.50249404689483,12.184472318357642,6.007282910478421
86,16.8243517425271,16.566385025618246,12.184472318357642,6.007282910478421
87,16.882724708788604,16.764366431152105,12.261134635412098,6.013919093043407
88,17.02892371658485,17.0355338960191,12.267770817977084,6.013919093043407
89,17.02892371658485,17.15449848402511,12.267770817977084,6.013919093043407
90,17.1703405891378,17.493931480336983,12.36359923868157,6.013919093043407
91,17.30630110288505,17.493931480336983,12.36359923868157,6.013919093043407
92,17.571530682530433,17.793352168699307,12.370235421246555,6.020555275608393
93,17.571530682530433,17.968378911251083,12.370235421246555,6.020555275608393
94,17.571530682530433,18.169233121543858,12.485615157164808,6.020555275608393
95,17.707491196277683,18.22867045928368,12.485615157164808,6.020555275608393
96,17.920469383335504,18.495963523829868,12.492251339729794,6.020555275608393
97,18.269168015825635,18.53791043852531,12.611215927735802,6.020555275608393
98,18.328605353565457,18.53791043852531,12.61785211030079,6.020555275608393
99,18.469055425694314,18.943416776701987,12.61785211030079,6.020555275608393
100,18.469055425694314,19.142239815092353,12.624488292865776,6.020555275608393
101,18.610472298247267,19.253706020903586,12.631124475430763,6.020555275608393
102,18.610472298247267,19.317596999627,12.631124475430763,6.020555275608393
103,18.727495999785297,19.483806911077068,12.70778679248522,6.027191458173379
104,18.727495999785297,19.645643703980063,12.84299901739856,6.027191458173379
105,18.854062454956054,19.868926368930005,12.84299901739856,6.027191458173379
106,18.995479327509006,19.955275234927477,12.884945932093999,6.027191458173379
107,19.291962787791505,20.06010525817372,12.891582114658984,6.1163836963128775
108,19.438161795587753,20.40460129152906,12.891582114658984,6.1163836963128775
109,19.497599133327576,20.904294542355114,12.898218297223972,6.193046013367334
110,19.56149011205099,21.286015692692807,12.898218297223972,6.193046013367334
111,19.56149011205099,21.426742302068238,12.904854479788957,6.193046013367334
112,19.63850778536156,21.53044779843008,12.904854479788957,6.193046013367334
113,19.70853391985103,21.792974767348092,13.009684503035203,6.193046013367334
114,19.70853391985103,21.792974767348092,13.051631417730642,6.193046013367334
115,19.772424898574446,21.90999846888612,13.193479825208971,6.193046013367334
116,19.899457802720665,22.10842211109582,13.193479825208971,6.193046013367334
117,20.199999599082147,22.197614349235316,13.200116007773957,6.193046013367334
118,20.444155167572852,22.274632022545887,13.258488974035462,6.193046013367334
119,20.51547641376278,22.274632022545887,13.258488974035462,6.193046013367334
120,20.676902066602842,22.487370141288768,13.265125156600448,6.193046013367334
