Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.41818771757041406,0.0
1,0.7999494625994644,0.6751456525323905
2,1.2675221028992676,1.0180748949141727
3,1.6492838479283178,1.576089696778238
4,2.274152938712134,1.8640273807554124
5,2.692340656282548,1.9448341608476034
6,2.8844758345680246,2.502848962711669
7,3.076611012853501,2.970421603011472
8,3.7078050486240612,3.1625567812969484
9,3.8999402269095382,3.7937508170675085
10,4.092075405195015,4.175512562096559
11,4.284210583480491,4.3676477403820355
12,4.753453491125209,4.791551518408959
13,4.945588669410686,5.521310212652794
14,5.539868401945735,5.945213990679718
15,5.732003580231211,6.496801294700965
16,6.106637294237207,6.778352314322667
17,6.298772472522684,7.372632046857716
18,6.680534217551734,7.997501137641533
19,7.148106857851537,8.5110946359502
20,7.706121659715603,8.980337543594919
21,8.21971515802427,9.467127385462474
22,8.411850336309747,9.755065069439649
23,8.603985514595225,10.036616089061352
24,8.796120692880702,10.454803806631766
25,9.378276711094491,10.56730053470426
26,9.570411889379969,10.608787947898309
27,9.762547067665446,11.122381446206976
28,10.249336909533001,11.85214014045081
