Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
0,0.3025579544180559,0.3437344709775463,0.3027695714180776,0.3437344709775463
1,0.5870837920328622,0.6535806344009242,0.6722673428987881,0.6535806344009242
2,0.9433775062236902,0.9998122005509321,0.9772979612212455,0.9998122005509321
3,1.2677380162918876,1.247612862506045,1.3194546116794617,1.247612862506045
4,1.5629110083399216,1.6367246586773117,1.6601920068926759,1.6367246586773117
5,1.7602180703613293,1.911550382194004,1.9758638666998416,1.911550382194004
6,2.0383020847687137,2.227146452601842,2.2184290391888486,2.227146452601842
7,2.23928626727934,2.59388720845011,2.564865722985167,2.59388720845011
8,2.5319825735227828,3.0321122280926622,2.908324944168119,3.0321122280926622
9,2.806079866453051,3.4447478498193163,3.236833021003206,3.4447478498193163
10,3.0306298908098688,3.7458461187006065,3.5609128314001737,3.7458461187006065
11,3.268636008831551,4.10621304629436,3.873120890672408,4.10621304629436
12,3.488919311033951,4.4476313324510155,4.243336600051763,4.4476313324510155
13,3.680751935144367,4.759698121231547,4.583660365115646,4.759698121231547
14,3.820667530117072,5.127525547704164,4.873642314546843,5.127525547704164
15,3.979030893539734,5.35581309008535,5.196613658706784,5.35581309008535
16,4.173238980292473,5.724448211215764,5.5212259284277625,5.724448211215764
17,4.413067304036746,6.063161423886521,5.710516921993391,6.063161423886521
18,4.598892662171087,6.362752395811176,6.10302515443248,6.362752395811176
19,4.759886812488522,6.74336592868424,6.439597500075995,6.74336592868424
20,4.907361562850553,7.056019855393994,6.727698286467637,7.056019855393994
21,5.126612818078185,7.291473118268516,7.087506476881245,7.291473118268516
22,5.321401000504446,7.657826288463353,7.4609260778364455,7.657826288463353
23,5.500278311543038,8.010966072500127,7.719377773656069,8.010966072500127
24,5.657744259415428,8.28133612191876,8.013326932627152,8.28133612191876
25,5.8888285575935475,8.667370531616566,8.324026069810042,8.667370531616566
26,6.0554800045807635,9.026434418442639,8.613352389980287,9.026434418442639
27,6.360955169753598,9.390752421192936,8.920412385025372,9.390752421192936
28,6.528799366491175,9.7163884392037,9.26883449954969,9.7163884392037
29,6.670040605682606,10.080016444561782,9.608519441289278,10.080016444561782
30,6.781547353523678,10.43999433965084,9.914634625717849,10.43999433965084
31,7.017579197683022,10.775518911368978,10.213795935860082,10.775518911368978
32,7.253299649465288,11.14216707876553,10.537211970139925,11.14216707876553
33,7.350791291495463,11.418303686133612,10.833362434760327,11.418303686133612
34,7.578301342010356,11.6682090871935,11.188413056043785,11.6682090871935
35,7.7368013937455675,12.041197215355718,11.56579747298366,12.041197215355718
36,7.9555184845470635,12.303792182482615,11.858631317305214,12.303792182482615
37,8.12028894149255,12.57741571951033,12.334691146565078,12.57741571951033
38,8.306216582514288,13.042260506076962,12.618906457137204,13.042260506076962
39,8.485272274791681,13.320131897371956,12.9573563162725,13.320131897371956
40,8.716946125232246,13.71599229974077,13.311605982263245,13.71599229974077
41,8.830772536178946,13.971306090223667,13.658597722996621,13.971306090223667
42,8.983808611502507,14.26745623440732,13.991997576067913,14.26745623440732
43,9.127018575159662,14.586288551047904,14.356832006863915,14.586288551047904
44,9.279922153832123,14.901020667468416,14.76220562658732,14.901020667468416
45,9.386443772749303,15.26772172190609,15.047698094933475,15.26772172190609
46,9.474951847573683,15.587963281553893,15.319173999065399,15.587963281553893
47,9.618934392434884,15.82792118530072,15.665731729777429,15.82792118530072
48,9.717854198640456,16.15381209570637,15.946120783456305,16.15381209570637
49,9.855800595333656,16.497432012811768,16.245698913324848,16.497432012811768
50,10.034503571283622,16.557756374426333,16.58956895669901,16.56043671166153
51,10.169588024274123,16.66642635169789,16.955550876997826,16.718025324011535
52,10.298092470582079,16.826703995155523,17.24981139932884,16.88234593704507
53,10.409828970907547,16.990547437210754,17.560120064361364,17.008188541395402
54,10.476533409051711,17.167903885598722,17.901158591984434,17.1603923294294
55,10.651519708921175,17.290489113317044,18.23862954685682,17.330467384112605
56,10.822522109361387,17.475598162813284,18.521662669372837,17.52042419933268
57,10.966600939872809,17.638794695775182,18.780813045070836,17.750069922337183
58,11.069037394958638,17.795801847992816,19.078302114234273,17.973366602486458
59,11.239452869925,18.034765698026778,19.370983816235547,18.18547249718683
60,11.343908273702123,18.22351322653799,19.643930205264173,18.422576102825467
61,11.507892068975343,18.41777577445354,19.863462102473605,18.692240907652167
62,11.611378726317195,18.65464547642002,20.201130892003906,18.966613893133758
63,11.75602342638496,18.844264496369966,20.46042236544975,19.197378571267407
64,11.868763728111771,19.069435348427252,20.69886329333712,19.507307693359085
65,12.038200781730138,19.22970730495963,21.0308546249263,19.748635847045996
66,12.217573706491763,19.46333809757912,21.344718996454397,20.07049891494099
67,12.409008920798037,19.623856185957553,21.62198925681677,20.303606880791975
68,12.586521744431826,19.90527606956841,21.99129863027837,20.586671435113335
69,12.7453000882583,20.113790345377847,22.29579451209148,20.89975544066403
70,12.860115309594818,20.36773456031103,22.5288160078834,21.21516296134821
71,12.959534527631101,20.65860626870748,22.832990429064544,21.488756289134052
72,13.059094345222988,20.880534233810987,23.13263108918726,21.77570312514331
73,13.158311295609332,21.12911892650046,23.498462555376967,22.095132809239573
74,13.32646093422972,21.379642175160683,23.779380850806852,22.428207675494555
75,13.385286479872402,21.56030132095378,24.170628238474187,22.803764306135115
76,13.456442003691375,21.763011166247633,24.461082513994334,23.142173635399153
77,13.528053945390639,22.02678729032342,24.70820925837571,23.46279042850457
78,13.550881581991643,22.26860953168934,25.038967411843295,23.781773683141974
79,13.685920697888296,22.54422270541902,25.38189672112747,24.090051814706737
80,13.864354111058526,22.86485477282337,25.680677160168692,24.43147503750193
81,14.018515553054684,23.139595738675663,25.975129952842742,24.747452327237713
82,14.104247585577331,23.30251035064699,26.2229489487254,25.102130003737113
83,14.266935937413868,23.61387703037527,26.50823397362805,25.48650707761104
84,14.312066162646307,23.851576535542005,26.862097873486835,25.867942816630755
85,14.405873076973355,24.05237390161248,27.1774124129349,26.167504829162745
86,14.549694173531583,24.26910808677642,27.452152540078135,26.488321396639115
87,14.62357185094037,24.550555751991247,27.75479885705203,26.79617809909422
88,14.660531376313362,24.71371701953921,28.026015227261297,27.193737346317654
89,14.737880919521578,24.966011564309078,28.338207118330775,27.537029544491645
90,14.774676820909207,25.278658243154744,28.624106439203253,27.939342959892496
91,14.982702819778527,25.522703316899754,28.94710623618809,28.328444951560613
92,15.06107922451954,25.722130564551055,29.16987987423147,28.51799041825496
93,15.172475321799103,25.9767278829122,29.480395219823485,28.725829169227985
94,15.301244605453885,26.227395468671755,29.763581094282216,29.048415625129984
95,15.348269077522952,26.510534639037864,30.121675137633304,29.337371662653617
96,15.47430873326013,26.742363314527488,30.38502486071706,29.55519350168825
97,15.671407920082567,27.004036767700264,30.728805282539223,29.901015535842333
98,15.81161544418145,27.271134030223674,31.023829015484733,30.12185601502291
99,15.89471046861777,27.517277493250486,31.258939816586356,30.283979911474766
100,15.97782925680246,27.765441924179477,31.638334231175897,30.564878247481687
101,16.0669247670235,27.97247148257359,31.928229491945217,30.854329443467503
102,16.232012248251728,28.216053340168934,32.19173519743712,31.18335058872906
103,16.30265580983473,28.43874751509376,32.51852883633242,31.365316583398293
104,16.440322485194866,28.69067069008193,32.84564662394014,31.53343334625668
105,16.512022170217584,28.84863730551752,33.17188228498228,31.684218029700652
106,16.600640436704765,29.1291369106877,33.42729993217945,31.858459119834116
107,16.65210608026162,29.304349662192585,33.73077560380711,32.15702306529074
108,16.739699482738114,29.55569166790073,34.085136764160765,32.36013099402968
109,16.901445018994757,29.837963534715147,34.4013428017585,32.49922513299429
110,17.053574395988413,30.06653227782843,34.73048280581016,32.623738882195894
111,17.14490549902446,30.320939461269766,35.01253519202133,32.76228419224567
112,17.181445505019674,30.470149114464988,35.293680267461454,33.00337484815479
113,17.255032042391484,30.675261312172836,35.53532910525145,33.12490111179814
114,17.370649981950823,30.838549477139413,35.88016947439617,33.30545237677042
