Time(Iteration),EpsilonGreedyMultiArmedBandit
0,0.5246848795629674
1,1.2232956997438182
2,1.7962022324400353
3,2.211800788265829
4,2.211800788265829
5,2.6677512533064482
6,2.893277695709772
7,2.893277695709772
8,3.1274224537092974
9,3.6624695113094656
10,3.8879959537127893
11,4.412680833275757
12,4.412680833275757
13,4.412680833275757
14,4.412680833275757
15,4.412680833275757
16,4.412680833275757
17,4.412680833275757
18,4.412680833275757
19,4.725387041596086
20,4.725387041596086
21,5.0682671624223925
22,5.0682671624223925
23,5.0682671624223925
24,5.9251585792338375
25,6.184790433610835
26,6.184790433610835
27,6.184790433610835
28,6.184790433610835
