Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.6284860749916478,0.556999633758305,0.45780553596735435
1,1.224937057464434,0.9624140744341867,0.9972160376795334
2,1.8439443520933956,1.5834646405209498,1.5404742113868077
3,2.2556990408248465,1.8463670958161458,1.9196662189878815
4,2.8254119099337927,2.3634443597845474,2.4855047697183967
5,3.2503081806631497,2.897291033751223,2.936408233514899
6,3.5933136355835145,3.3010542341024873,3.218026009273917
7,3.9779593243306244,3.7950598632829573,3.6563644569915765
8,4.4104565844346215,4.395439770523348,4.2248747809307865
9,4.816923468385285,4.97257407668991,4.765356519632667
10,5.038116243921926,5.187528924683798,5.127809588893421
11,5.2805991024224515,5.46473132438526,5.4208703239826885
12,5.556007068947316,5.711692384079274,5.549090067765648
13,6.00026771886168,6.139888167290773,5.787030526448008
14,6.332674403534417,6.563993598246943,6.21262141717063
15,6.687888950426773,7.052949713415724,6.4734705706999005
16,7.014599218321953,7.535442343185177,7.113823635783793
17,7.350348262703444,7.92724520431076,7.603153457944707
18,7.951989079459207,8.373207750416578,7.8785536021682505
19,8.23860109160307,8.771894933975318,8.238107634022157
20,8.551754391234844,9.011162232481404,8.469788105157834
21,8.657007555427315,9.441379916374533,8.968072475948686
22,9.050519352720428,9.711349486202568,9.414405452819214
23,9.328944393955323,10.048851233441217,9.884405043408949
24,9.585362385257472,10.471976632100393,10.163771468080892
25,9.897274466601075,10.641136697315048,10.466920370428573
26,10.09980732709077,10.940582143466097,10.813780406608682
27,10.45507899323633,11.255675166493985,11.221714347633487
28,10.897304141482056,11.624958817414006,11.432989154955912
29,11.164056724360837,12.128877323655312,11.821570055342972
30,11.431812171045063,12.623793815659996,12.083164150861734
31,11.637308561169498,12.95411181610965,12.396743419832177
32,11.819136050041028,13.30693853346997,12.64418117011066
33,12.034128942115647,13.560892417541927,13.003558196882128
34,12.271731471876885,13.941807963222995,13.299319188361864
35,12.483369881464458,14.309555246150357,13.603568706688074
36,12.804028211790023,14.628949276094184,13.846615967439382
37,13.059403081081172,15.071406234493145,14.061226294151131
38,13.20322289127545,15.363527245795698,14.52409527371105
39,13.68503127523615,15.588829479356004,14.550262970500194
40,13.838780662181204,15.844097618351896,14.881055611523252
41,14.06917679404658,16.02233117404614,15.11960151943936
42,14.315748464942256,16.236625441893302,15.312118129532454
43,14.467084918159362,16.495514700927956,15.529581273961323
44,14.633219195553181,16.922883698147267,15.937393257735796
45,14.746523802230152,17.38104551604142,16.25591589653744
46,14.859828408907124,17.670300732834182,16.412933197112256
47,15.013085624937045,17.97151509902199,16.691861616385616
48,15.281689146860705,18.27427087844617,16.906839095839068
49,15.449383766529783,18.669134478073882,17.103961731976604
50,15.623596947559557,18.84989985478587,17.37772877711585
51,15.811918143570882,19.10774379878471,17.527919665952542
52,16.034984396945806,19.228410107233596,17.767177588227714
53,16.159750615576947,19.488550077804998,18.07171471211257
54,16.3887909686858,19.81788320790197,18.214452816059154
55,16.444031815773272,20.091343142530498,18.280410740216205
56,16.61401668746411,20.373141496427632,18.397696948421224
57,16.82382474659741,20.533934377271333,18.656072659980364
58,16.904056877373517,20.724326766734997,18.92885457388306
59,17.013926872291872,21.049661736255317,18.99917935680168
60,17.222946998452926,21.23389134308517,19.181522590771937
61,17.42004167796925,21.432067778779263,19.304816551733815
62,17.700568930340317,21.74734609920722,19.50026623011814
63,17.8700680764859,22.06955018436448,19.585851115777903
64,17.91110246282316,22.353115318273947,19.793962672354276
65,18.019943451816708,22.61027288270607,19.894581524691183
66,18.299724913300196,22.773235480426813,20.08690817696636
67,18.607390984368163,23.073643224517486,20.28690227250567
68,18.779296238989737,23.603870374089045,20.449067746910444
69,18.95562621941691,23.899308724800573,20.546108270187908
70,19.13241467282308,24.13913547223101,20.691101393311254
71,19.32304803966436,24.330958627415864,20.792214004663048
72,19.443505879888292,24.469642979390937,21.130516170545537
73,19.499339013365233,24.66861878797363,21.236995996929597
74,19.73897573216412,24.786102142975714,21.38527129369428
75,19.803028679988532,24.95279626707733,21.68232027520137
76,20.03760594215629,25.162768791479547,21.893319712232305
77,20.169465492636988,25.297645193721806,22.223055316856453
78,20.32709372270492,25.48138725401774,22.349665235374694
79,20.42317732654433,25.829082850297926,22.60111736286796
80,20.54710844685315,26.045181276467694,22.72690312122783
81,20.602941580330093,26.36166129328713,22.81580749561882
82,20.88014278839062,26.69834406931613,22.900392711897698
83,21.001637739021426,27.117069264914658,22.9870775420834
84,21.15302409109803,27.252645440256664,23.135830655225174
85,21.417276655440965,27.522832289488594,23.286536654658953
86,21.530989530309252,27.852163284196205,23.427748864020558
87,21.649155054420397,28.051406766098534,23.554524422559698
88,21.684055019713934,28.205842616530116,23.815458941167513
89,21.72589900179332,28.52501017843549,23.875172617080885
90,21.755764321557745,28.64867183728945,24.051099809570438
91,21.825661987554852,29.002011545034673,24.183692880010053
92,21.8624538978291,29.267970531261767,24.211293507709648
93,21.992821090346865,29.456240111240522,24.278722248970105
94,22.251271842988004,29.788847712404227,24.344725745020384
95,22.355919256576502,30.125990902904732,24.403600674992795
96,22.438250328868655,30.311338992837968,24.49863709038976
97,22.664370022970875,30.515541034954254,24.567212242720508
98,22.936903186024317,30.65697178627928,24.71477632026701
99,23.181304401478315,30.8833605708211,24.879634798062362
100,23.255804210864834,31.15713151772571,24.94227938431624
101,23.347360989453712,31.236348500887637,25.120693775784
102,23.384152899727958,31.44587890030244,25.356984261886925
103,23.41876007984439,31.633329087742972,25.4793881526458
104,23.599411781138294,31.958488292022885,25.511198897187658
105,23.72977897365606,32.2506071289293,25.54306312185513
106,23.891360040248593,32.66604961940568,25.72563891406105
107,24.037037616246316,32.864650964338665,25.833646023674685
108,24.13198654296536,33.19201848239262,25.92786734093364
109,24.237832459386446,33.44719497824604,26.005305426393797
110,24.4202053147841,33.68745573987392,26.085386543872623
111,24.52791427035331,33.99556466237544,26.24704401686585
112,24.67775309700783,34.3588677886055,26.383328752989076
113,24.81148443406834,34.456870461731015,26.425792166265836
114,24.96264888329574,34.55621412186904,26.57548392605309
115,25.175294045136273,34.884636114390936,26.751753897867957
116,25.247836894892895,35.33813721361968,26.902575873014342
117,25.298835265917354,35.467453757770684,27.093874073132916
118,25.637456422219042,35.63444005801711,27.3732161643278
119,25.72901320080792,35.86191548112144,27.432263078041267
120,25.92061009573063,36.06787394704457,27.54127550616614
121,26.165262041127892,36.323005723826256,27.579259218932613
122,26.25830481363702,36.42937134472426,27.644255556526872
123,26.357141462466284,36.55068083218495,27.78306371776811
124,26.50541164088556,36.70202458309315,27.816263275527994
125,26.62081481648848,36.86896381949968,27.890866926955304
126,26.737567906767275,37.21070061684792,27.990003904590594
127,26.7674332265317,37.462839738337806,28.074432310900807
128,26.979666586025154,37.652778844440064,28.241284315026896
129,27.076831740559253,37.84332520415095,28.277404428041145
130,27.219396261969557,38.134699702855634,28.335247801313766
131,27.31398665545283,38.17366626707837,28.397914648255863
132,27.420511520809846,38.3105268758815,28.471881184520413
133,27.613826733385572,38.45655284751992,28.632564047635544
134,27.663557805039535,38.560514201421555,28.712261934276682
135,27.736332875230225,38.603034957281224,28.807409508803698
136,27.850142392801423,38.78331538517773,29.006508325450405
137,27.950114749914906,38.84911869899056,29.038372550117874
138,28.04035686369095,39.10893065513593,29.121245122877042
139,28.13919351252021,39.26067035344424,29.216835258433104
140,28.235981004521744,39.610062495739626,29.30815273164159
141,28.42524782705168,39.77476886769682,29.340016956309064
142,28.73438690782164,40.112479940937966,29.44170623568461
143,28.764252227586063,40.286393213587544,29.59698718075136
144,28.79411754735049,40.46483376809631,29.682459089616223
145,28.99592832116243,40.61960645285465,29.771207283162795
146,29.064991385365698,40.73390428735351,29.80301802770465
147,29.09485670513012,40.89314016925669,29.94926525534164
148,29.263643214619186,40.994396369423235,29.984614319794655
149,29.361054244638687,41.03259333444405,30.04004749904278
150,29.405126025153322,41.05658383871465,30.07616761205703
