Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.0,0.8347688007223837,0.8347688007223837
1,0.314240794779013,1.6695376014447674,1.6695376014447674
2,1.1490095955013966,1.6695376014447674,2.504306402167151
3,1.1490095955013966,1.9837783962237805,2.818547196946164
4,1.9837783962237803,2.2980191910027936,2.818547196946164
5,2.298019191002793,2.2980191910027936,3.132787991725177
6,2.298019191002793,2.2980191910027936,3.967556792447561
7,2.298019191002793,2.2980191910027936,3.967556792447561
8,2.298019191002793,2.6122599857818067,4.281797587226574
